eventid,region_desc_id,remetrica_description,state
15050774,3,US EQ -CA SF,CA
15050775,3,US EQ -CA SF,CA
15050776,3,US EQ -CA SF,CA
15050777,1,US EQ -CA LA,CA
15050778,1,US EQ -CA LA,CA
15050779,1,US EQ -CA LA,CA
15050780,1,US EQ -CA LA,CA
15050781,1,US EQ -CA LA,CA
15050782,1,US EQ -CA LA,CA
15050783,1,US EQ -CA LA,CA
15050784,1,US EQ -CA LA,CA
15050785,1,US EQ -CA LA,CA
15050786,1,US EQ -CA LA,CA
15050787,1,US EQ -CA LA,CA
15050788,1,US EQ -CA LA,CA
15050789,1,US EQ -CA LA,CA
15050790,1,US EQ -CA LA,CA
15050791,1,US EQ -CA LA,CA
15050792,1,US EQ -CA LA,CA
15050793,1,US EQ -CA LA,CA
15050794,1,US EQ -CA LA,CA
15050795,1,US EQ -CA LA,CA
15050796,1,US EQ -CA LA,CA
15050797,1,US EQ -CA LA,CA
15050798,1,US EQ -CA LA,CA
15050799,1,US EQ -CA LA,CA
15050800,1,US EQ -CA LA,CA
15050801,1,US EQ -CA LA,CA
15050802,1,US EQ -CA LA,CA
15050803,3,US EQ -CA SF,CA
15050804,3,US EQ -CA SF,CA
15050805,3,US EQ -CA SF,CA
15050806,3,US EQ -CA SF,CA
15050807,3,US EQ -CA SF,CA
15050808,3,US EQ -CA SF,CA
15050809,3,US EQ -CA SF,CA
15050810,3,US EQ -CA SF,CA
15050811,1,US EQ -CA LA,CA
15050812,1,US EQ -CA LA,CA
15050813,1,US EQ -CA LA,CA
15050814,1,US EQ -CA LA,CA
15050815,1,US EQ -CA LA,CA
15050816,1,US EQ -CA LA,CA
15050817,1,US EQ -CA LA,CA
15050818,1,US EQ -CA LA,CA
15050819,1,US EQ -CA LA,CA
15050820,1,US EQ -CA LA,CA
15050821,1,US EQ -CA LA,CA
15050822,1,US EQ -CA LA,CA
15050823,3,US EQ -CA SF,CA
15050824,1,US EQ -CA LA,CA
15050825,1,US EQ -CA LA,CA
15050826,1,US EQ -CA LA,CA
15050827,1,US EQ -CA LA,CA
15050828,1,US EQ -CA LA,CA
15050829,1,US EQ -CA LA,CA
15050830,1,US EQ -CA LA,CA
15050831,1,US EQ -CA LA,CA
15050832,3,US EQ -CA SF,CA
15050833,3,US EQ -CA SF,CA
15050834,3,US EQ -CA SF,CA
15050835,3,US EQ -CA SF,CA
15050836,1,US EQ -CA LA,CA
15050837,1,US EQ -CA LA,CA
15050838,1,US EQ -CA LA,CA
15050839,1,US EQ -CA LA,CA
15050840,3,US EQ -CA SF,CA
15050841,3,US EQ -CA SF,CA
15050842,3,US EQ -CA SF,CA
15050843,1,US EQ -CA LA,CA
15050844,1,US EQ -CA LA,CA
15050845,1,US EQ -CA LA,CA
15050846,1,US EQ -CA LA,CA
15050847,1,US EQ -CA LA,CA
15050848,1,US EQ -CA LA,CA
15050849,1,US EQ -CA LA,CA
15050850,1,US EQ -CA LA,CA
15050851,1,US EQ -CA LA,CA
15050852,1,US EQ -CA LA,CA
15050853,1,US EQ -CA LA,CA
15050854,1,US EQ -CA LA,CA
15050855,1,US EQ -CA LA,CA
15050856,1,US EQ -CA LA,CA
15050857,1,US EQ -CA LA,CA
15050858,1,US EQ -CA LA,CA
15050859,1,US EQ -CA LA,CA
15050860,1,US EQ -CA LA,CA
15050861,1,US EQ -CA LA,CA
15050862,1,US EQ -CA LA,CA
15050863,1,US EQ -CA LA,CA
15050864,1,US EQ -CA LA,CA
15050865,1,US EQ -CA LA,CA
15050866,1,US EQ -CA LA,CA
15050867,1,US EQ -CA LA,CA
15050868,1,US EQ -CA LA,CA
15050869,1,US EQ -CA LA,CA
15050870,1,US EQ -CA LA,CA
15050871,1,US EQ -CA LA,CA
15050872,1,US EQ -CA LA,CA
15050873,1,US EQ -CA LA,CA
15050874,1,US EQ -CA LA,CA
15050875,1,US EQ -CA LA,CA
15050876,3,US EQ -CA SF,CA
15050877,3,US EQ -CA SF,CA
15050878,3,US EQ -CA SF,CA
15050879,3,US EQ -CA SF,CA
15050880,3,US EQ -CA SF,CA
15050881,1,US EQ -CA LA,CA
15050882,1,US EQ -CA LA,CA
15050883,1,US EQ -CA LA,CA
15050884,1,US EQ -CA LA,CA
15050885,1,US EQ -CA LA,CA
15050886,1,US EQ -CA LA,CA
15050887,1,US EQ -CA LA,CA
15050888,1,US EQ -CA LA,CA
15050889,1,US EQ -CA LA,CA
15050890,1,US EQ -CA LA,CA
15050891,1,US EQ -CA LA,CA
15050892,1,US EQ -CA LA,CA
15050893,1,US EQ -CA LA,CA
15050894,1,US EQ -CA LA,CA
15050895,1,US EQ -CA LA,CA
15050896,1,US EQ -CA LA,CA
15050897,1,US EQ -CA LA,CA
15050898,1,US EQ -CA LA,CA
15050899,1,US EQ -CA LA,CA
15050900,1,US EQ -CA LA,CA
15050901,1,US EQ -CA LA,CA
15050902,3,US EQ -CA SF,CA
15050903,1,US EQ -CA LA,CA
15050904,1,US EQ -CA LA,CA
15050905,1,US EQ -CA LA,CA
15050906,1,US EQ -CA LA,CA
15050907,3,US EQ -CA SF,CA
15050908,3,US EQ -CA SF,CA
15050909,1,US EQ -CA LA,CA
15050910,1,US EQ -CA LA,CA
15050911,1,US EQ -CA LA,CA
15050912,3,US EQ -CA SF,CA
15050913,3,US EQ -CA SF,CA
15050914,3,US EQ -CA SF,CA
15050915,3,US EQ -CA SF,CA
15050916,1,US EQ -CA LA,CA
15050917,1,US EQ -CA LA,CA
15050918,1,US EQ -CA LA,CA
15050919,1,US EQ -CA LA,CA
15050920,1,US EQ -CA LA,CA
15050921,1,US EQ -CA LA,CA
15050922,1,US EQ -CA LA,CA
15050923,1,US EQ -CA LA,CA
15050924,1,US EQ -CA LA,CA
15050925,1,US EQ -CA LA,CA
15050926,1,US EQ -CA LA,CA
15050927,1,US EQ -CA LA,CA
15050928,1,US EQ -CA LA,CA
15050929,1,US EQ -CA LA,CA
15050930,1,US EQ -CA LA,CA
15050931,1,US EQ -CA LA,CA
15050932,1,US EQ -CA LA,CA
15050933,1,US EQ -CA LA,CA
15050934,1,US EQ -CA LA,CA
15050935,1,US EQ -CA LA,CA
15050936,1,US EQ -CA LA,CA
15050937,1,US EQ -CA LA,CA
15050938,1,US EQ -CA LA,CA
15050939,1,US EQ -CA LA,CA
15050940,1,US EQ -CA LA,CA
15050941,1,US EQ -CA LA,CA
15050942,1,US EQ -CA LA,CA
15050943,1,US EQ -CA LA,CA
15050944,1,US EQ -CA LA,CA
15050945,1,US EQ -CA LA,CA
15050946,1,US EQ -CA LA,CA
15050947,1,US EQ -CA LA,CA
15050948,1,US EQ -CA LA,CA
15050949,1,US EQ -CA LA,CA
15050950,1,US EQ -CA LA,CA
15050951,1,US EQ -CA LA,CA
15050952,1,US EQ -CA LA,CA
15050953,1,US EQ -CA LA,CA
15050954,1,US EQ -CA LA,CA
15050955,1,US EQ -CA LA,CA
15050956,3,US EQ -CA SF,CA
15050957,3,US EQ -CA SF,CA
15050958,3,US EQ -CA SF,CA
15050959,3,US EQ -CA SF,CA
15050960,3,US EQ -CA SF,CA
15050961,3,US EQ -CA SF,CA
15050962,3,US EQ -CA SF,CA
15050963,1,US EQ -CA LA,CA
15050964,1,US EQ -CA LA,CA
15050965,1,US EQ -CA LA,CA
15050966,1,US EQ -CA LA,CA
15050967,1,US EQ -CA LA,CA
15050968,1,US EQ -CA LA,CA
15050969,1,US EQ -CA LA,CA
15050970,1,US EQ -CA LA,CA
15050971,1,US EQ -CA LA,CA
15050972,1,US EQ -CA LA,CA
15050973,1,US EQ -CA LA,CA
15050974,1,US EQ -CA LA,CA
15050975,1,US EQ -CA LA,CA
15050976,1,US EQ -CA LA,CA
15050977,1,US EQ -CA LA,CA
15050978,1,US EQ -CA LA,CA
15050979,1,US EQ -CA LA,CA
15050980,1,US EQ -CA LA,CA
15050981,1,US EQ -CA LA,CA
15050982,3,US EQ -CA SF,CA
15050983,3,US EQ -CA SF,CA
15050984,3,US EQ -CA SF,CA
15050985,1,US EQ -CA LA,CA
15050986,1,US EQ -CA LA,CA
15050987,1,US EQ -CA LA,CA
15050988,1,US EQ -CA LA,CA
15050989,1,US EQ -CA LA,CA
15050990,1,US EQ -CA LA,CA
15050991,1,US EQ -CA LA,CA
15050992,1,US EQ -CA LA,CA
15050993,1,US EQ -CA LA,CA
15050994,3,US EQ -CA SF,CA
15050995,3,US EQ -CA SF,CA
15050996,3,US EQ -CA SF,CA
15050997,1,US EQ -CA LA,CA
15050998,1,US EQ -CA LA,CA
15050999,1,US EQ -CA LA,CA
15051000,1,US EQ -CA LA,CA
15051001,1,US EQ -CA LA,CA
15051002,1,US EQ -CA LA,CA
15051003,1,US EQ -CA LA,CA
15051004,1,US EQ -CA LA,CA
15051005,1,US EQ -CA LA,CA
15051006,1,US EQ -CA LA,CA
15051007,1,US EQ -CA LA,CA
15051008,1,US EQ -CA LA,CA
15051009,1,US EQ -CA LA,CA
15051010,1,US EQ -CA LA,CA
15051011,1,US EQ -CA LA,CA
15051012,1,US EQ -CA LA,CA
15051013,1,US EQ -CA LA,CA
15051014,1,US EQ -CA LA,CA
15051015,1,US EQ -CA LA,CA
15051016,1,US EQ -CA LA,CA
15051017,1,US EQ -CA LA,CA
15051018,1,US EQ -CA LA,CA
15051019,1,US EQ -CA LA,CA
15051020,1,US EQ -CA LA,CA
15051021,1,US EQ -CA LA,CA
15051022,1,US EQ -CA LA,CA
15051023,1,US EQ -CA LA,CA
15051024,1,US EQ -CA LA,CA
15051025,1,US EQ -CA LA,CA
15051026,1,US EQ -CA LA,CA
15051027,3,US EQ -CA SF,CA
15051028,3,US EQ -CA SF,CA
15051029,3,US EQ -CA SF,CA
15051030,3,US EQ -CA SF,CA
15051031,3,US EQ -CA SF,CA
15051032,3,US EQ -CA SF,CA
15051033,1,US EQ -CA LA,CA
15051034,1,US EQ -CA LA,CA
15051035,1,US EQ -CA LA,CA
15051036,1,US EQ -CA LA,CA
15051037,1,US EQ -CA LA,CA
15051038,1,US EQ -CA LA,CA
15051039,1,US EQ -CA LA,CA
15051040,1,US EQ -CA LA,CA
15051041,1,US EQ -CA LA,CA
15051042,1,US EQ -CA LA,CA
15051043,1,US EQ -CA LA,CA
15051044,3,US EQ -CA SF,CA
15051045,3,US EQ -CA SF,CA
15051046,3,US EQ -CA SF,CA
15051047,1,US EQ -CA LA,CA
15051048,1,US EQ -CA LA,CA
15051049,1,US EQ -CA LA,CA
15051050,1,US EQ -CA LA,CA
15051051,3,US EQ -CA SF,CA
15051052,3,US EQ -CA SF,CA
15051053,1,US EQ -CA LA,CA
15051054,1,US EQ -CA LA,CA
15051055,1,US EQ -CA LA,CA
15051056,3,US EQ -CA SF,CA
15051057,1,US EQ -CA LA,CA
15051058,1,US EQ -CA LA,CA
15051059,1,US EQ -CA LA,CA
15051060,1,US EQ -CA LA,CA
15051061,1,US EQ -CA LA,CA
15051062,1,US EQ -CA LA,CA
15051063,1,US EQ -CA LA,CA
15051064,1,US EQ -CA LA,CA
15051065,1,US EQ -CA LA,CA
15051066,1,US EQ -CA LA,CA
15051067,1,US EQ -CA LA,CA
15051068,1,US EQ -CA LA,CA
15051069,1,US EQ -CA LA,CA
15051070,1,US EQ -CA LA,CA
15051071,1,US EQ -CA LA,CA
15051072,1,US EQ -CA LA,CA
15051073,1,US EQ -CA LA,CA
15051074,1,US EQ -CA LA,CA
15051075,1,US EQ -CA LA,CA
15051076,1,US EQ -CA LA,CA
15051077,1,US EQ -CA LA,CA
15051078,1,US EQ -CA LA,CA
15051079,1,US EQ -CA LA,CA
15051080,1,US EQ -CA LA,CA
15051081,1,US EQ -CA LA,CA
15051082,1,US EQ -CA LA,CA
15051083,1,US EQ -CA LA,CA
15051084,1,US EQ -CA LA,CA
15051085,1,US EQ -CA LA,CA
15051086,1,US EQ -CA LA,CA
15051087,1,US EQ -CA LA,CA
15051088,1,US EQ -CA LA,CA
15051089,1,US EQ -CA LA,CA
15051090,1,US EQ -CA LA,CA
15051091,1,US EQ -CA LA,CA
15051092,3,US EQ -CA SF,CA
15051093,3,US EQ -CA SF,CA
15051094,3,US EQ -CA SF,CA
15051095,3,US EQ -CA SF,CA
15051096,3,US EQ -CA SF,CA
15051097,3,US EQ -CA SF,CA
15051098,3,US EQ -CA SF,CA
15051099,3,US EQ -CA SF,CA
15051100,3,US EQ -CA SF,CA
15051101,3,US EQ -CA SF,CA
15051102,3,US EQ -CA SF,CA
15051103,1,US EQ -CA LA,CA
15051104,1,US EQ -CA LA,CA
15051105,1,US EQ -CA LA,CA
15051106,1,US EQ -CA LA,CA
15051107,1,US EQ -CA LA,CA
15051108,1,US EQ -CA LA,CA
15051109,1,US EQ -CA LA,CA
15051110,1,US EQ -CA LA,CA
15051111,1,US EQ -CA LA,CA
15051112,1,US EQ -CA LA,CA
15051113,1,US EQ -CA LA,CA
15051114,1,US EQ -CA LA,CA
15051115,1,US EQ -CA LA,CA
15051116,3,US EQ -CA SF,CA
15051117,1,US EQ -CA LA,CA
15051118,1,US EQ -CA LA,CA
15051119,1,US EQ -CA LA,CA
15051120,1,US EQ -CA LA,CA
15051121,1,US EQ -CA LA,CA
15051122,1,US EQ -CA LA,CA
15051123,1,US EQ -CA LA,CA
15051124,1,US EQ -CA LA,CA
15051125,1,US EQ -CA LA,CA
15051126,1,US EQ -CA LA,CA
15051127,1,US EQ -CA LA,CA
15051128,1,US EQ -CA LA,CA
15051129,3,US EQ -CA SF,CA
15051130,3,US EQ -CA SF,CA
15051131,3,US EQ -CA SF,CA
15051132,3,US EQ -CA SF,CA
15051133,1,US EQ -CA LA,CA
15051134,1,US EQ -CA LA,CA
15051135,1,US EQ -CA LA,CA
15051136,1,US EQ -CA LA,CA
15051137,1,US EQ -CA LA,CA
15051138,1,US EQ -CA LA,CA
15051139,1,US EQ -CA LA,CA
15051140,1,US EQ -CA LA,CA
15051141,1,US EQ -CA LA,CA
15051142,1,US EQ -CA LA,CA
15051143,1,US EQ -CA LA,CA
15051144,1,US EQ -CA LA,CA
15051145,1,US EQ -CA LA,CA
15051146,1,US EQ -CA LA,CA
15051147,1,US EQ -CA LA,CA
15051148,1,US EQ -CA LA,CA
15051149,1,US EQ -CA LA,CA
15051150,1,US EQ -CA LA,CA
15051151,1,US EQ -CA LA,CA
15051152,1,US EQ -CA LA,CA
15051153,1,US EQ -CA LA,CA
15051154,1,US EQ -CA LA,CA
15051155,1,US EQ -CA LA,CA
15051156,1,US EQ -CA LA,CA
15051157,1,US EQ -CA LA,CA
15051158,1,US EQ -CA LA,CA
15051159,1,US EQ -CA LA,CA
15051160,1,US EQ -CA LA,CA
15051161,1,US EQ -CA LA,CA
15051162,1,US EQ -CA LA,CA
15051163,1,US EQ -CA LA,CA
15051164,1,US EQ -CA LA,CA
15051165,1,US EQ -CA LA,CA
15051166,1,US EQ -CA LA,CA
15051167,1,US EQ -CA LA,CA
15051168,1,US EQ -CA LA,CA
15051169,1,US EQ -CA LA,CA
15051170,1,US EQ -CA LA,CA
15051171,1,US EQ -CA LA,CA
15051172,1,US EQ -CA LA,CA
15051173,1,US EQ -CA LA,CA
15051174,1,US EQ -CA LA,CA
15051175,1,US EQ -CA LA,CA
15051176,3,US EQ -CA SF,CA
15051177,3,US EQ -CA SF,CA
15051178,3,US EQ -CA SF,CA
15051179,3,US EQ -CA SF,CA
15051180,3,US EQ -CA SF,CA
15051181,3,US EQ -CA SF,CA
15051182,3,US EQ -CA SF,CA
15051183,3,US EQ -CA SF,CA
15051184,1,US EQ -CA LA,CA
15051185,1,US EQ -CA LA,CA
15051186,1,US EQ -CA LA,CA
15051187,1,US EQ -CA LA,CA
15051188,1,US EQ -CA LA,CA
15051189,1,US EQ -CA LA,CA
15051190,1,US EQ -CA LA,CA
15051191,1,US EQ -CA LA,CA
15051192,1,US EQ -CA LA,CA
15051193,1,US EQ -CA LA,CA
15051194,1,US EQ -CA LA,CA
15051195,1,US EQ -CA LA,CA
15051196,1,US EQ -CA LA,CA
15051197,1,US EQ -CA LA,CA
15051198,1,US EQ -CA LA,CA
15051199,1,US EQ -CA LA,CA
15051200,1,US EQ -CA LA,CA
15051201,1,US EQ -CA LA,CA
15051202,1,US EQ -CA LA,CA
15051203,1,US EQ -CA LA,CA
15051204,1,US EQ -CA LA,CA
15051205,1,US EQ -CA LA,CA
15051206,3,US EQ -CA SF,CA
15051207,3,US EQ -CA SF,CA
15051208,1,US EQ -CA LA,CA
15051209,1,US EQ -CA LA,CA
15051210,1,US EQ -CA LA,CA
15051211,3,US EQ -CA SF,CA
15051212,3,US EQ -CA SF,CA
15051213,3,US EQ -CA SF,CA
15051214,3,US EQ -CA SF,CA
15051215,3,US EQ -CA SF,CA
15051216,1,US EQ -CA LA,CA
15051217,1,US EQ -CA LA,CA
15051218,3,US EQ -CA SF,CA
15051219,3,US EQ -CA SF,CA
15051220,3,US EQ -CA SF,CA
15051221,3,US EQ -CA SF,CA
15051222,3,US EQ -CA SF,CA
15051223,1,US EQ -CA LA,CA
15051224,1,US EQ -CA LA,CA
15051225,1,US EQ -CA LA,CA
15051226,1,US EQ -CA LA,CA
15051227,1,US EQ -CA LA,CA
15051228,1,US EQ -CA LA,CA
15051229,1,US EQ -CA LA,CA
15051230,1,US EQ -CA LA,CA
15051231,1,US EQ -CA LA,CA
15051232,1,US EQ -CA LA,CA
15051233,1,US EQ -CA LA,CA
15051234,1,US EQ -CA LA,CA
15051235,1,US EQ -CA LA,CA
15051236,1,US EQ -CA LA,CA
15051237,1,US EQ -CA LA,CA
15051238,1,US EQ -CA LA,CA
15051239,1,US EQ -CA LA,CA
15051240,1,US EQ -CA LA,CA
15051241,1,US EQ -CA LA,CA
15051242,1,US EQ -CA LA,CA
15051243,1,US EQ -CA LA,CA
15051244,1,US EQ -CA LA,CA
15051245,1,US EQ -CA LA,CA
15051246,1,US EQ -CA LA,CA
15051247,1,US EQ -CA LA,CA
15051248,1,US EQ -CA LA,CA
15051249,1,US EQ -CA LA,CA
15051250,3,US EQ -CA SF,CA
15051251,3,US EQ -CA SF,CA
15051252,1,US EQ -CA LA,CA
15051253,3,US EQ -CA SF,CA
15051254,3,US EQ -CA SF,CA
15051255,1,US EQ -CA LA,CA
15051256,1,US EQ -CA LA,CA
15051257,3,US EQ -CA SF,CA
15051258,3,US EQ -CA SF,CA
15051259,1,US EQ -CA LA,CA
15051260,1,US EQ -CA LA,CA
15051261,1,US EQ -CA LA,CA
15051262,1,US EQ -CA LA,CA
15051263,1,US EQ -CA LA,CA
15051264,1,US EQ -CA LA,CA
15051265,1,US EQ -CA LA,CA
15051266,1,US EQ -CA LA,CA
15051267,1,US EQ -CA LA,CA
15051268,1,US EQ -CA LA,CA
15051269,1,US EQ -CA LA,CA
15051270,1,US EQ -CA LA,CA
15051271,1,US EQ -CA LA,CA
15051272,1,US EQ -CA LA,CA
15051273,1,US EQ -CA LA,CA
15051274,1,US EQ -CA LA,CA
15051275,1,US EQ -CA LA,CA
15051276,1,US EQ -CA LA,CA
15051277,1,US EQ -CA LA,CA
15051278,1,US EQ -CA LA,CA
15051279,1,US EQ -CA LA,CA
15051280,1,US EQ -CA LA,CA
15051281,1,US EQ -CA LA,CA
15051282,1,US EQ -CA LA,CA
15051283,1,US EQ -CA LA,CA
15051284,3,US EQ -CA SF,CA
15051285,1,US EQ -CA LA,CA
15051286,1,US EQ -CA LA,CA
15051287,3,US EQ -CA SF,CA
15051288,1,US EQ -CA LA,CA
15051289,1,US EQ -CA LA,CA
15051290,1,US EQ -CA LA,CA
15051291,1,US EQ -CA LA,CA
15051292,1,US EQ -CA LA,CA
15051293,1,US EQ -CA LA,CA
15051294,1,US EQ -CA LA,CA
15051295,1,US EQ -CA LA,CA
15051296,1,US EQ -CA LA,CA
15051297,1,US EQ -CA LA,CA
15051298,1,US EQ -CA LA,CA
15051299,1,US EQ -CA LA,CA
15051300,1,US EQ -CA LA,CA
15051301,1,US EQ -CA LA,CA
15051302,1,US EQ -CA LA,CA
15051303,1,US EQ -CA LA,CA
15051304,1,US EQ -CA LA,CA
15051305,1,US EQ -CA LA,CA
15051306,1,US EQ -CA LA,CA
15051307,1,US EQ -CA LA,CA
15051308,1,US EQ -CA LA,CA
15051309,1,US EQ -CA LA,CA
15051310,1,US EQ -CA LA,CA
15051311,1,US EQ -CA LA,CA
15051312,3,US EQ -CA SF,CA
15051313,3,US EQ -CA SF,CA
15051314,1,US EQ -CA LA,CA
15051315,1,US EQ -CA LA,CA
15051316,1,US EQ -CA LA,CA
15051317,1,US EQ -CA LA,CA
15051318,1,US EQ -CA LA,CA
15051319,1,US EQ -CA LA,CA
15051320,1,US EQ -CA LA,CA
15051321,1,US EQ -CA LA,CA
15051322,1,US EQ -CA LA,CA
15051323,1,US EQ -CA LA,CA
15051324,1,US EQ -CA LA,CA
15051325,1,US EQ -CA LA,CA
15051326,1,US EQ -CA LA,CA
15051327,1,US EQ -CA LA,CA
15051328,1,US EQ -CA LA,CA
15051329,1,US EQ -CA LA,CA
15051330,1,US EQ -CA LA,CA
15051331,1,US EQ -CA LA,CA
15051332,1,US EQ -CA LA,CA
15051333,1,US EQ -CA LA,CA
15051334,1,US EQ -CA LA,CA
15051335,3,US EQ -CA SF,CA
15051336,1,US EQ -CA LA,CA
15051337,3,US EQ -CA SF,CA
15051338,3,US EQ -CA SF,CA
15051339,1,US EQ -CA LA,CA
15051340,1,US EQ -CA LA,CA
15051341,1,US EQ -CA LA,CA
15051342,1,US EQ -CA LA,CA
15051343,1,US EQ -CA LA,CA
15051344,1,US EQ -CA LA,CA
15051345,1,US EQ -CA LA,CA
15051346,1,US EQ -CA LA,CA
15051347,1,US EQ -CA LA,CA
15051348,1,US EQ -CA LA,CA
15051349,1,US EQ -CA LA,CA
15051350,1,US EQ -CA LA,CA
15051351,1,US EQ -CA LA,CA
15051352,1,US EQ -CA LA,CA
15051353,1,US EQ -CA LA,CA
15051354,1,US EQ -CA LA,CA
15051355,1,US EQ -CA LA,CA
15051356,1,US EQ -CA LA,CA
15051357,1,US EQ -CA LA,CA
15051358,1,US EQ -CA LA,CA
15051359,1,US EQ -CA LA,CA
15051360,1,US EQ -CA LA,CA
15051361,1,US EQ -CA LA,CA
15051362,1,US EQ -CA LA,CA
15051363,1,US EQ -CA LA,CA
15051364,1,US EQ -CA LA,CA
15051365,3,US EQ -CA SF,CA
15051366,3,US EQ -CA SF,CA
15051367,3,US EQ -CA SF,CA
15051368,1,US EQ -CA LA,CA
15051369,1,US EQ -CA LA,CA
15051370,1,US EQ -CA LA,CA
15051371,3,US EQ -CA SF,CA
15051372,3,US EQ -CA SF,CA
15051373,1,US EQ -CA LA,CA
15051374,1,US EQ -CA LA,CA
15051375,1,US EQ -CA LA,CA
15051376,1,US EQ -CA LA,CA
15051377,1,US EQ -CA LA,CA
15051378,1,US EQ -CA LA,CA
15051379,1,US EQ -CA LA,CA
15051380,1,US EQ -CA LA,CA
15051381,1,US EQ -CA LA,CA
15051382,1,US EQ -CA LA,CA
15051383,1,US EQ -CA LA,CA
15051384,1,US EQ -CA LA,CA
15051385,1,US EQ -CA LA,CA
15051386,1,US EQ -CA LA,CA
15051387,1,US EQ -CA LA,CA
15051388,1,US EQ -CA LA,CA
15051389,1,US EQ -CA LA,CA
15051390,1,US EQ -CA LA,CA
15051391,1,US EQ -CA LA,CA
15051392,1,US EQ -CA LA,CA
15051393,1,US EQ -CA LA,CA
15051394,1,US EQ -CA LA,CA
15051395,1,US EQ -CA LA,CA
15051396,1,US EQ -CA LA,CA
15051397,1,US EQ -CA LA,CA
15051398,1,US EQ -CA LA,CA
15051399,1,US EQ -CA LA,CA
15051400,1,US EQ -CA LA,CA
15051401,1,US EQ -CA LA,CA
15051402,3,US EQ -CA SF,CA
15051403,3,US EQ -CA SF,CA
15051404,3,US EQ -CA SF,CA
15051405,3,US EQ -CA SF,CA
15051406,1,US EQ -CA LA,CA
15051407,1,US EQ -CA LA,CA
15051408,1,US EQ -CA LA,CA
15051409,1,US EQ -CA LA,CA
15051410,3,US EQ -CA SF,CA
15051411,3,US EQ -CA SF,CA
15051412,3,US EQ -CA SF,CA
15051413,3,US EQ -CA SF,CA
15051414,3,US EQ -CA SF,CA
15051415,1,US EQ -CA LA,CA
15051416,1,US EQ -CA LA,CA
15051417,1,US EQ -CA LA,CA
15051418,1,US EQ -CA LA,CA
15051419,1,US EQ -CA LA,CA
15051420,1,US EQ -CA LA,CA
15051421,1,US EQ -CA LA,CA
15051422,1,US EQ -CA LA,CA
15051423,1,US EQ -CA LA,CA
15051424,1,US EQ -CA LA,CA
15051425,1,US EQ -CA LA,CA
15051426,1,US EQ -CA LA,CA
15051427,1,US EQ -CA LA,CA
15051428,1,US EQ -CA LA,CA
15051429,1,US EQ -CA LA,CA
15051430,1,US EQ -CA LA,CA
15051431,1,US EQ -CA LA,CA
15051432,1,US EQ -CA LA,CA
15051433,1,US EQ -CA LA,CA
15051434,1,US EQ -CA LA,CA
15051435,1,US EQ -CA LA,CA
15051436,1,US EQ -CA LA,CA
15051437,1,US EQ -CA LA,CA
15051438,1,US EQ -CA LA,CA
15051439,1,US EQ -CA LA,CA
15051440,1,US EQ -CA LA,CA
15051441,1,US EQ -CA LA,CA
15051442,1,US EQ -CA LA,CA
15051443,1,US EQ -CA LA,CA
15051444,1,US EQ -CA LA,CA
15051445,1,US EQ -CA LA,CA
15051446,1,US EQ -CA LA,CA
15051447,1,US EQ -CA LA,CA
15051448,1,US EQ -CA LA,CA
15051449,1,US EQ -CA LA,CA
15051450,1,US EQ -CA LA,CA
15051451,1,US EQ -CA LA,CA
15051452,1,US EQ -CA LA,CA
15051453,1,US EQ -CA LA,CA
15051454,1,US EQ -CA LA,CA
15051455,1,US EQ -CA LA,CA
15051456,1,US EQ -CA LA,CA
15051457,1,US EQ -CA LA,CA
15051458,1,US EQ -CA LA,CA
15051459,1,US EQ -CA LA,CA
15051460,1,US EQ -CA LA,CA
15051461,1,US EQ -CA LA,CA
15051462,1,US EQ -CA LA,CA
15051463,1,US EQ -CA LA,CA
15051464,1,US EQ -CA LA,CA
15051465,1,US EQ -CA LA,CA
15051466,1,US EQ -CA LA,CA
15051467,1,US EQ -CA LA,CA
15051468,1,US EQ -CA LA,CA
15051469,1,US EQ -CA LA,CA
15051470,1,US EQ -CA LA,CA
15051471,1,US EQ -CA LA,CA
15051472,1,US EQ -CA LA,CA
15051473,1,US EQ -CA LA,CA
15051474,1,US EQ -CA LA,CA
15051475,1,US EQ -CA LA,CA
15051476,1,US EQ -CA LA,CA
15051477,1,US EQ -CA LA,CA
15051478,1,US EQ -CA LA,CA
15051479,1,US EQ -CA LA,CA
15051480,1,US EQ -CA LA,CA
15051481,1,US EQ -CA LA,CA
15051482,1,US EQ -CA LA,CA
15051483,1,US EQ -CA LA,CA
15051484,1,US EQ -CA LA,CA
15051485,1,US EQ -CA LA,CA
15051486,1,US EQ -CA LA,CA
15051487,1,US EQ -CA LA,CA
15051488,1,US EQ -CA LA,CA
15051489,1,US EQ -CA LA,CA
15051490,1,US EQ -CA LA,CA
15051491,1,US EQ -CA LA,CA
15051492,1,US EQ -CA LA,CA
15051493,1,US EQ -CA LA,CA
15051494,1,US EQ -CA LA,CA
15051495,1,US EQ -CA LA,CA
15051496,1,US EQ -CA LA,CA
15051497,1,US EQ -CA LA,CA
15051498,1,US EQ -CA LA,CA
15051499,1,US EQ -CA LA,CA
15051500,1,US EQ -CA LA,CA
15051501,1,US EQ -CA LA,CA
15051502,1,US EQ -CA LA,CA
15051503,1,US EQ -CA LA,CA
15051504,1,US EQ -CA LA,CA
15051505,1,US EQ -CA LA,CA
15051506,1,US EQ -CA LA,CA
15051507,1,US EQ -CA LA,CA
15051508,1,US EQ -CA LA,CA
