eventid,region_desc_id,remetrica_description,state
2847198,17,Other Wind,Other
2847199,17,Other Wind,Other
2847200,27,Canada Wind,Other
2847201,17,Other Wind,Other
2847202,15,Texas WS,TX
2847203,20,Caribbean Wind,Other
2847204,25,Florida SE - All Other,FL
2847205,20,Caribbean Wind,Other
2847206,22,Carolinas WS,NC
2847207,17,Other Wind,Other
2847208,17,Other Wind,Other
2847209,18,Florida non SE WS,FL
2847210,20,Caribbean Wind,Other
2847211,17,Other Wind,Other
2847212,17,Other Wind,Other
2847213,17,Other Wind,Other
2847214,17,Other Wind,Other
2847215,17,Other Wind,Other
2847216,22,Carolinas WS,NC
2847217,22,Carolinas WS,NC
2847218,17,Other Wind,Other
2847219,17,Other Wind,Other
2847220,18,Florida non SE WS,FL
2847221,19,Louisiana WS,LA
2847222,17,Other Wind,Other
2847223,17,Other Wind,Other
2847224,18,Florida non SE WS,FL
2847225,17,Other Wind,Other
2847226,20,Caribbean Wind,Other
2847227,22,Carolinas WS,NC
2847228,17,Other Wind,Other
2847229,17,Other Wind,Other
2847230,17,Other Wind,Other
2847231,20,Caribbean Wind,Other
2847232,20,Caribbean Wind,Other
2847233,17,Other Wind,Other
2847234,22,Carolinas WS,NC
2847235,17,Other Wind,Other
2847236,24,NE WS,NY
2847237,17,Other Wind,Other
2847238,22,Carolinas WS,NC
2847239,17,Other Wind,Other
2847240,17,Other Wind,Other
2847241,15,Texas WS,TX
2847242,18,Florida non SE WS,FL
2847243,18,Florida non SE WS,FL
2847244,18,Florida non SE WS,FL
2847245,15,Texas WS,TX
2847246,20,Caribbean Wind,Other
2847247,27,Canada Wind,Other
2847248,15,Texas WS,TX
2847249,17,Other Wind,Other
2847250,19,Louisiana WS,LA
2847251,17,Other Wind,Other
2847252,17,Other Wind,Other
2847253,17,Other Wind,Other
2847254,17,Other Wind,Other
2847255,17,Other Wind,Other
2847256,18,Florida non SE WS,FL
2847257,17,Other Wind,Other
2847258,22,Carolinas WS,NC
2847259,20,Caribbean Wind,Other
2847260,17,Other Wind,Other
2847261,15,Texas WS,TX
2847262,17,Other Wind,Other
2847263,17,Other Wind,Other
2847264,17,Other Wind,Other
2847265,19,Louisiana WS,LA
2847266,17,Other Wind,Other
2847267,17,Other Wind,Other
2847268,20,Caribbean Wind,Other
2847269,20,Caribbean Wind,Other
2847270,17,Other Wind,Other
2847271,17,Other Wind,Other
2847272,15,Texas WS,TX
2847273,17,Other Wind,Other
2847274,26,Florida SE - South Tip,FL
2847275,20,Caribbean Wind,Other
2847276,17,Other Wind,Other
2847277,24,NE WS,NY
2847278,18,Florida non SE WS,FL
2847279,17,Other Wind,Other
2847280,24,NE WS,NY
2847281,17,Other Wind,Other
2847282,20,Caribbean Wind,Other
2847283,17,Other Wind,Other
2847284,20,Caribbean Wind,Other
2847285,17,Other Wind,Other
2847286,16,Mexico Wind,Other
2847287,17,Other Wind,Other
2847288,17,Other Wind,Other
2847289,17,Other Wind,Other
2847290,17,Other Wind,Other
2847291,17,Other Wind,Other
2847292,27,Canada Wind,Other
2847293,23,Central America Wind,Other
2847294,15,Texas WS,TX
2847295,17,Other Wind,Other
2847296,26,Florida SE - South Tip,FL
2847297,27,Canada Wind,Other
2847298,20,Caribbean Wind,Other
2847299,20,Caribbean Wind,Other
2847300,17,Other Wind,Other
2847301,17,Other Wind,Other
2847302,20,Caribbean Wind,Other
2847303,17,Other Wind,Other
2847304,17,Other Wind,Other
2847305,20,Caribbean Wind,Other
2847306,17,Other Wind,Other
2847307,17,Other Wind,Other
2847308,17,Other Wind,Other
2847309,17,Other Wind,Other
2847310,20,Caribbean Wind,Other
2847311,20,Caribbean Wind,Other
2847312,17,Other Wind,Other
2847313,27,Canada Wind,Other
2847314,23,Central America Wind,Other
2847315,20,Caribbean Wind,Other
2847316,24,NE WS,NY
2847317,27,Canada Wind,Other
2847318,22,Carolinas WS,NC
2847319,17,Other Wind,Other
2847320,19,Louisiana WS,LA
2847321,22,Carolinas WS,NC
2847322,19,Louisiana WS,LA
2847323,17,Other Wind,Other
2847324,17,Other Wind,Other
2847325,17,Other Wind,Other
2847326,17,Other Wind,Other
2847327,17,Other Wind,Other
2847328,18,Florida non SE WS,FL
2847329,18,Florida non SE WS,FL
2847330,20,Caribbean Wind,Other
2847331,20,Caribbean Wind,Other
2847332,17,Other Wind,Other
2847333,20,Caribbean Wind,Other
2847334,17,Other Wind,Other
2847335,17,Other Wind,Other
2847336,20,Caribbean Wind,Other
2847337,17,Other Wind,Other
2847338,18,Florida non SE WS,FL
2847339,24,NE WS,NY
2847340,17,Other Wind,Other
2847341,18,Florida non SE WS,FL
2847342,27,Canada Wind,Other
2847343,17,Other Wind,Other
2847344,17,Other Wind,Other
2847345,17,Other Wind,Other
2847346,19,Louisiana WS,LA
2847347,18,Florida non SE WS,FL
2847348,17,Other Wind,Other
2847349,20,Caribbean Wind,Other
2847350,17,Other Wind,Other
