underwriter,programme,exposure_limit_new,exposure_limit_renewal,premium_new,premium_renewal,currency
CKK,Agg XL,5000000,5000000,250000,500000,USD
CKK,Cat XL,10000000,10000000,750000,1500000,USD
CKK,QS,3750000,3750000,375000,750000,USD
CKK,Risk XL,5000000,5000000,500000,1000000,USD
CXH,Agg XL,10000000,10000000,500000,1000000,USD
CXH,Cat XL,40000000,40000000,1700000,4000000,USD
CXH,QS,5000000,5000000,500000,1000000,USD
CXH,Risk XL,10000000,10000000,625000,1250000,USD
DSG,Agg XL,1000000,1000000,50000,100000,USD
DSG,Cat XL,2500000,2500000,125000,250000,USD
DSG,Risk XL,1500000,1500000,100000,200000,USD
JGC,Agg XL,10000000,10000000,500000,1000000,USD
JGC,Cat XL,40000000,40000000,1700000,4000000,USD
JGC,QS,5000000,5000000,250000,500000,USD
JGC,Risk XL,10000000,10000000,625000,1250000,USD
JOS,Agg XL,1000000,1000000,50000,100000,USD
JOS,Cat XL,2500000,2500000,125000,250000,USD
KAL,Agg XL,5000000,5000000,750000,1500000,USD
KAL,Cat XL,15000000,15000000,1500000,3000000,USD
KAL,QS,1500000,1500000,150000,300000,USD
KAL,Risk XL,2500000,2500000,250000,500000,USD
LKL,Agg XL,1000000,1000000,50000,100000,USD
LKL,Cat XL,2500000,2500000,125000,250000,USD
LKL,Risk XL,1500000,1500000,100000,200000,USD
MDV,Agg XL,15000000,15000000,1000000,2000000,USD
MDV,Cat XL,45000000,45000000,2000000,4500000,USD
MDV,QS,7500000,7500000,600000,1500000,USD
MDV,Risk XL,12500000,12500000,750000,1500000,USD
MYH,Agg XL,5000000,5000000,355000,700000,EUR
MYH,Cat XL,10000000,10000000,1000000,2000000,EUR
MYH,QS,2000000,2000000,200000,400000,EUR
MYH,Risk XL,3750000,3750000,375000,750000,EUR
PDH,Agg XL,20000000,20000000,1500000,3000000,USD
PDH,Cat XL,50000000,50000000,2500000,5000000,USD
PDH,QS,10000000,10000000,800000,1800000,USD
PDH,Risk XL,14000000,14000000,1400000,2800000,USD
WGK,Agg XL,5000000,5000000,750000,1500000,USD
WGK,Cat XL,15000000,15000000,1500000,3000000,USD
WGK,Risk XL,7500000,7500000,500000,1000000,USD
