field,code,name
fct,FCT,China Typhoon
fcq,FCQ,China Earthquake
fkr,FKR,Korea
fhk,FHK,Hong Kong
fia,FIA,Indonesia
oph,OPH,Philippines
fsp,FSP,Singapore
fsk,FSK,Sri Lanka
fta,FTA,Taiwan
fjq,FJQ,Japan Quake
fjw,FJW,Japan Wind
mbd,MBD,Bangladesh
fcy,FCY,Cambodia
ogm,OGM,Guam
fmy,FMY,Malaysia
mma,MMA,Maldives
fby,FBY,Myanmar
fnp,FNP,Nepal
mpk,MPK,Pakistan
opg,OPG,Papua New Guinea
fth,FTH,Thailand
fvn,FVN,Vietnam
mis,MIS,Israel
min,MIN,India
asa,ASA,South Africa
mae,MAE,United Arab Emirates
mba,MBA,Bahrain
aal,AAL,Algeria
amo,AMO,Morocco
aeg,AEG,Egypt
ali,ALI,Libya
amu,AMU,Mauritius
mjo,MJO,Jordan
mom,MOM,Oman
mqa,MQA,Qatar
ayt,AYT,Mayotte
agi,AGI,Guinea
