policy_option_id,policy_option_id_old,datafix,status,time,error_step,error_message,error_detail,time_taken
1412330,1383021,yes,succeeded,34:47.1,,,,13.69308615
1412331,1383022,yes,succeeded,34:50.5,,,,14.58520508
1412332,1383023,yes,succeeded,34:52.1,,,,13.67522764
1412333,1383024,yes,succeeded,34:52.8,,,,13.2911706
1412334,1383025,yes,succeeded,34:53.0,,,,12.97034383
1412335,1383026,yes,succeeded,34:55.3,,,,14.8711791
1412336,1383027,yes,succeeded,34:53.6,,,,12.44819951
1412337,1383028,yes,succeeded,35:00.1,,,,13.54145241
1412338,1383029,yes,succeeded,35:01.7,,,,14.582968
1412339,1383030,yes,succeeded,35:05.4,,,,14.89204741
1412340,1383031,yes,succeeded,35:06.8,,,,14.72214174
1412341,1383032,yes,succeeded,35:08.5,,,,15.65703964
1412342,1383033,yes,succeeded,35:08.3,,,,15.30042338
1412343,1383034,yes,succeeded,35:06.5,,,,12.8790791
1412344,1383035,yes,failed,35:36.0,get values,403,,40.76290512
1412345,1383036,yes,succeeded,35:13.7,,,,13.55782056
1412346,1383037,yes,succeeded,35:14.5,,,,12.79630947
1412347,1383038,yes,succeeded,35:18.4,,,,12.95138979
1412348,1383039,yes,succeeded,35:23.4,,,,16.92086649
1412349,1383040,yes,succeeded,35:23.7,,,,16.85289454
1412350,1383041,yes,succeeded,35:25.1,,,,16.82968855
1412351,1383042,yes,succeeded,35:21.5,,,,13.0441978
1412352,1383043,yes,succeeded,35:27.1,,,,13.41192031
1412353,1383045,yes,succeeded,35:27.2,,,,12.77231073
1412354,1383044,yes,succeeded,35:31.5,,,,13.08893967
1412355,1383046,yes,succeeded,35:35.2,,,,13.71574259
1412356,1383047,yes,succeeded,35:37.3,,,,13.89812851
1412357,1383048,yes,succeeded,35:37.1,,,,13.40324855
1412358,1383049,yes,succeeded,35:38.2,,,,13.16284609
1412359,1383050,yes,succeeded,35:40.1,,,,13.01067257
1412360,1383051,yes,succeeded,35:40.3,,,,13.03770947
1412361,1383052,yes,succeeded,35:44.5,,,,13.06503296
1412362,1383053,yes,failed,36:16.3,get values,403,,41.0564208
1412363,1383054,yes,succeeded,35:52.9,,,,16.81364346
1412364,1383055,yes,succeeded,35:54.0,,,,16.90432382
1412365,1383056,yes,succeeded,35:54.0,,,,16.67295337
1412366,1383057,yes,succeeded,35:51.7,,,,13.40913653
1412367,1383058,yes,succeeded,35:52.8,,,,12.75186276
1412368,1383060,yes,succeeded,35:53.7,,,,13.38339758
1412369,1383059,yes,succeeded,35:57.5,,,,12.95998621
1412370,1383061,yes,succeeded,36:05.7,,,,14.02200389
1412371,1383062,yes,succeeded,36:06.9,,,,14.09894133
1412372,1383063,yes,succeeded,36:08.5,,,,15.68317795
1412373,1383064,yes,succeeded,36:09.0,,,,15.31589031
1412374,1383065,yes,succeeded,36:07.8,,,,13.8060658
1412375,1383067,yes,succeeded,36:06.9,,,,12.83008623
1412376,1383066,yes,succeeded,36:12.0,,,,14.54149413
1412377,1383068,yes,succeeded,36:20.5,,,,14.86725521
1412378,1383069,yes,succeeded,36:19.7,,,,12.88022232
1412379,1383070,yes,succeeded,36:21.5,,,,14.53241134
1412380,1383071,yes,succeeded,36:23.1,,,,15.34255791
1412381,1383072,yes,succeeded,36:21.7,,,,13.17307019
1412382,1383073,yes,succeeded,36:23.6,,,,14.62981105
1412383,1383074,yes,succeeded,36:26.4,,,,14.41838574
1412384,1383075,yes,succeeded,36:30.8,,,,14.47136116
1412385,1383076,yes,succeeded,36:33.5,,,,13.81086254
1412386,1383077,yes,succeeded,36:33.1,,,,12.5200417
1412387,1383078,yes,succeeded,36:34.4,,,,12.94033241
1412388,1383079,yes,succeeded,36:35.1,,,,13.3298502
1412389,1383080,yes,succeeded,36:39.9,,,,16.76905155
1412390,1383081,yes,succeeded,36:38.9,,,,15.2972095
1412391,1383082,yes,succeeded,36:42.0,,,,15.59251761
1412393,1383084,yes,succeeded,36:45.9,,,,15.09759593
1412392,1383083,yes,succeeded,36:46.1,,,,13.06965995
1412394,1383085,yes,succeeded,36:48.7,,,,15.15859866
1412395,1383086,yes,succeeded,36:48.0,,,,13.57143569
1412396,1383087,yes,succeeded,36:51.9,,,,16.85339761
1412397,1383088,yes,succeeded,36:52.0,,,,13.0731163
1412398,1383089,yes,succeeded,36:54.8,,,,14.95964837
1412399,1383090,yes,succeeded,36:55.0,,,,12.99542761
1412400,1383092,yes,failed,37:26.9,get values,403,,41.0748589
1412401,1383091,yes,succeeded,36:59.6,,,,13.46755838
1412402,1383093,yes,succeeded,37:01.4,,,,13.37892914
1412403,1383094,yes,succeeded,37:01.9,,,,13.15189815
1412404,1383095,yes,succeeded,37:05.4,,,,13.50303245
1412405,1383096,yes,succeeded,37:07.5,,,,15.50418115
1412406,1383097,yes,succeeded,37:10.8,,,,15.91456294
1412407,1383098,yes,succeeded,37:10.7,,,,15.71564126
1412408,1383099,yes,succeeded,37:12.5,,,,12.93963957
1412409,1383100,yes,succeeded,37:15.8,,,,14.40196538
1412410,1383101,yes,succeeded,37:15.3,,,,13.44774389
1412411,1383102,yes,succeeded,37:19.2,,,,13.80128574
1412412,1383103,yes,succeeded,37:20.4,,,,12.90574956
1412413,1383104,yes,succeeded,37:24.7,,,,13.94916677
1412414,1383105,yes,succeeded,37:24.1,,,,13.31261563
1412415,1383106,yes,succeeded,37:26.0,,,,13.44248915
1412416,1383107,yes,succeeded,37:29.0,,,,13.67616749
1412417,1383108,yes,failed,37:59.3,get values,403,,43.58052349
1412418,1383109,yes,succeeded,37:33.9,,,,14.69602704
1412419,1383110,yes,succeeded,37:35.0,,,,14.59516644
1412420,1383111,yes,succeeded,37:38.8,,,,14.76567888
1412421,1383112,yes,succeeded,37:37.7,,,,12.98909187
1412422,1383113,yes,succeeded,37:40.2,,,,14.22450876
1412423,1383114,yes,succeeded,37:40.7,,,,13.76719236
1412424,1383115,yes,succeeded,37:44.0,,,,15.01098871
1412425,1383116,yes,succeeded,37:48.0,,,,14.03815269
1412426,1383118,yes,succeeded,37:47.9,,,,12.91100955
1412427,1383117,yes,succeeded,37:50.1,,,,12.39719462
