"Path","Name","Type","Mode","Optionality","Label","Default Value","Async Input","Async Output"
"cds/exposure/granular/event_cancel/base_coverages/windstorm/net_prem_mod","net_prem_mod","float","output","n/a","GN Benchmark Premium after UW Adj","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/windstorm","windstorm","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/wildfire/covered","covered","bool","input","required","Covered","True","['rarc_task', 'task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/wildfire/sublimit","sublimit","float","input","optional","Sublimit","None","['rarc_task', 'task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/wildfire/uw_adj_min","uw_adj_min","float","output","n/a","Minimum","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/wildfire/uw_adj_max","uw_adj_max","float","output","n/a","Maximum","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/wildfire/uw_adj_sel","uw_adj_sel","float","input","required","Selected","0","['rarc_task']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/wildfire/uw_adj_fin","uw_adj_fin","float","output","n/a","Selected - Final","n/a","['task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/wildfire/uw_comment","uw_comment","str","input","optional","UW Comment","None","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/wildfire/net_el_usd","net_el_usd","float","output","n/a","Expected Loss USD","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/wildfire/net_prem_usd","net_prem_usd","float","output","n/a","GN Benchmark Premium USD","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/wildfire/net_el","net_el","float","output","n/a","Expected Loss","n/a","['task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/wildfire/net_prem","net_prem","float","output","n/a","GN Benchmark Premium","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/wildfire/net_el_mod","net_el_mod","float","output","n/a","Expected Loss after UW Adj","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/wildfire/net_prem_mod","net_prem_mod","float","output","n/a","GN Benchmark Premium after UW Adj","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/wildfire","wildfire","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/terrorism/covered","covered","bool","input","required","Covered","True","['rarc_task', 'task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/terrorism/sublimit","sublimit","float","input","optional","Sublimit","None","['rarc_task', 'task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/terrorism/uw_adj_min","uw_adj_min","float","output","n/a","Minimum","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/terrorism/uw_adj_max","uw_adj_max","float","output","n/a","Maximum","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/terrorism/uw_adj_sel","uw_adj_sel","float","input","required","Selected","0","['rarc_task']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/terrorism/uw_adj_fin","uw_adj_fin","float","output","n/a","Selected - Final","n/a","['task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/terrorism/uw_comment","uw_comment","str","input","optional","UW Comment","None","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/terrorism/net_el_usd","net_el_usd","float","output","n/a","Expected Loss USD","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/terrorism/net_prem_usd","net_prem_usd","float","output","n/a","GN Benchmark Premium USD","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/terrorism/net_el","net_el","float","output","n/a","Expected Loss","n/a","['task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/terrorism/net_prem","net_prem","float","output","n/a","GN Benchmark Premium","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/terrorism/net_el_mod","net_el_mod","float","output","n/a","Expected Loss after UW Adj","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/terrorism/net_prem_mod","net_prem_mod","float","output","n/a","GN Benchmark Premium after UW Adj","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/terrorism","terrorism","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/cyber/covered","covered","bool","input","required","Covered","True","['rarc_task', 'task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/cyber/sublimit","sublimit","float","input","optional","Sublimit","None","['rarc_task', 'task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/cyber/trigger","trigger","str","input","optional","Trigger","None","['rarc_task']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/cyber/uw_adj_min","uw_adj_min","float","output","n/a","Minimum","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/cyber/uw_adj_max","uw_adj_max","float","output","n/a","Maximum","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/cyber/uw_adj_sel","uw_adj_sel","float","input","required","Selected","0","['rarc_task']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/cyber/uw_adj_fin","uw_adj_fin","float","output","n/a","Selected - Final","n/a","['task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/cyber/uw_comment","uw_comment","str","input","optional","UW Comment","None","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/cyber/net_el_usd","net_el_usd","float","output","n/a","Expected Loss USD","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/cyber/net_prem_usd","net_prem_usd","float","output","n/a","GN Benchmark Premium USD","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/cyber/net_el","net_el","float","output","n/a","Expected Loss","n/a","['task_simulation']","n/a"
