Country,BusinessJet1,BusinessJet2,PistonHeli1,PistonHeli2,PistonFixed1,PistonFixed2,TurbineHeli1,TurbineHeli2,Turboprops1,Turboprops2
Africa,3.555555556,3.555555556,3,3,8.153846154,8.153846154,2.9,5.227272727,8.153846154,8.153846154
Asia Pacific,4.477272727,4.477272727,1.510204082,1.510204082,9.061538462,9.061538462,2.870503597,4.14,9.061538462,9.061538462
Europe,2.975,2.975,1.539473684,1.539473684,6.454545455,6.454545455,2.705128205,3.684931507,6.454545455,6.454545455
Latin America,4.271428571,4.271428571,1.777777778,1.777777778,10.10869565,10.10869565,3.066298343,5,10.10869565217390,10.10869565217390
North America,2.750623441,2.750623441,1.351648352,1.351648352,6.048780488,6.048780488,2.442622951,4.427184466,6.048780488,6.048780488
Other,3.7,3.7,1.526315789,1.526315789,3,3,2.419354839,2.181818182,3,3
Middle East,3.7,3.7,1.526315789,1.526315789,3,3,2.419354839,2.181818182,3,3
Russia,3.7,3.7,1.526315789,1.526315789,3,3,2.419354839,2.181818182,3,3
