Fleet Size,Factor
1,1.101533145261560
2,1.101533145261560
4,1.101533145261560
6,1.101533145261560
8,1.101533145261560
10,1.046410197870970
12,1.004256960437250
14,0.969944481778912
16,0.941170739487365
18,0.916499848599188
20,0.894979477525638
22,0.875947576969156
24,0.858926424438808
26,0.843560710765568
28,0.829579458703256
30,0.816771591301186
32,0.804969693914131
34,0.794038892811241
36,0.783869038471250
38,0.774369086408948
40,0.765462976968074
45,0.745397910353270
50,0.727895191009924
55,0.712416368043902
60,0.698572905279213
70,0.674704743197218
80,0.654689391011250
90,0.637528030321177
100,0.622558208118510
110,0.609319395156797
120,0.600000000000000
130,0.600000000000000
140,0.600000000000000
150,0.600000000000000
160,0.600000000000000
170,0.600000000000000
180,0.600000000000000
500,0.600000000000000
1000,0.600000000000000
