YOA,Airlines Hull Rate Change,Airlines Liab Rate Change,GA Hull Rate Change,GA Liab Rate Change
2012,1.051970978,0.903924289,1,1
2013,0.901826324,0.887260231,0.931502041,0.932648836
2014,1.013713675,0.989464652,0.947940185,0.957219569
2015,0.896484463,0.902413335,0.991698861,0.98368523
2016,0.891789377,0.9015588,0.971589493,0.959325539
2017,1.000217237,0.991727425,1.092919707,1.054252682
2018,1.122427109,1.109214242,1.059244835,1.035326676
2019,1.302627126,1.236315704,1.245103957,1.230666005
2020,1.334609366,1.304332823,1.289600916,1.262388664
2021,1.087649819,1.069680349,1.112179935,1.104589496
2022,0.978620342,0.985489734,1.026386837,1.010499945
2023,0.963127132,0.9282492,1.003701805,1.007411362
2024,0.912061419,0.898228079,0.974926825,0.977235586
2025,1.040547549,1.013279636,0.956777824,0.956203825
