Country,PLL Awards
Africa - North,500000
Africa - South,500000
Africa - Central,250000
Africa - Eritrea,250000
Africa - Sudan,250000
Asia Pacific,500000
Asia Pacific - Japan,2000000
Asia Pacific - South Korea,1000000
Asia Pacific - Nepal,250000
Asia Pacific - Papua & Indo,250000
Europe,2000000
Europe - Russia,750000
International,500000
Australia,1000000
Latin America,750000
Middle East,1000000
Middle East - Iraq & Afghan,500000
North America,5000000
North America - Canada,2000000
