Number of Seats,Factor
1,1.97236479416845
2,1.45954210371527
3,1.15983721002734
4,1.07325011310466
5,1.05232150936047
6,1.03139290561628
8,1.00000000000000
10,1.00000000000000
1000,1.00000000000000
