Use,Adjuster
Agricultural,1.461872155665660
Utility,1.361647464479220
EMS / S&R,1.205679157777680
Government / Military Use / Police,1.000000000000000
Fire Fighting,1.607434490109570
Offshore,1.205679157777680
Training - Schools,1.174028879003980
Training - Experienced,1.174028879003980
Commercial,1.174028879003980
Aerial Survey / Calibration,1.174028879003980
Cargo,1.205679157777680
Other,0.850313025
Private / Industrial Aid,1.000000000000000
