Country,Factor
Africa,1.13794646139620
Asia Pacific,1.19443217267828
Europe,1.13188667566176
Latin America,1.20230439428783
North America,1.00000000000000
Other,1.00000000000000
Middle East,1.13794646139620
Russia,1.14066590363286
