YOA,Hull,Liab
2012,0.03,0.04
2013,0.03,0.04
2014,0.03,0.04
2015,0.03,0.04
2016,0.03,0.04
2017,0.03,0.04
2018,0.03,0.04
2019,0.03,0.04
2020,0.03,0.04
2021,0.03,0.04
2022,0.0777,0.06395
2023,0.05,0.06395
2024,0.036,0.046
2025,0.036,0.046
2026,0.036,0.046
