Country,Passenger Awards (USD)
Africa,384204.153585283
Africa - South,960510.383963208
Asia Pacific,320170.127987736
Asia Pacific - Japan & South Korea,835003.693792016
Asia Pacific - Hazardous,224119.089591415
Asia Pacific - Australia,928493.371164434
Asia Pacific - New Zealand,192102.076792642
Europe - Western,1280680.511950940
Europe - Eastern,416221.166384057
Latin America and Caribbean,448238.179182830
Middle East,320170.127987736
Middle East - Hazardous,320170.127987736
North America,7684083.071705660
North America - Canada,960510.383963208
