CSL,Price $,Rate
100000000,20000,0.0002
200000000,28000,0.00014
250000000,32500,0.00013
300000000,36000,0.00012
400000000,44000,0.00011
500000000,50000,0.0001
750000000,67500,9e-05
1000000000,85000,8.5e-05
