Class,Base Rate
BusinessJet1,0.386901291
BusinessJet2,0.386901291
PistonHeli1,0.440904039
PistonHeli2,0.440904039
PistonFixed1,0.386901291
PistonFixed2,0.386901291
TurbineHeli1,0.386901291
TurbineHeli2,0.386901291
Turboprops1,0.45900108
Turboprops2,0.45900108
