Fleet Size,Mid-point,Parameter
1,1.0,1.15
2-4,3.0,1.075
5-9,7.0,1.0
10-19,14.5,0.875
20-34,27.0,0.775
35-59,47.0,0.675
60-99,79.5,0.575
100+,100.0,0.5
