Country,BusinessJet1,BusinessJet2,PistonHeli1,PistonHeli2,PistonFixed1,PistonFixed2,TurbineHeli1,TurbineHeli2,Turboprops1,Turboprops2
Latin America,0.292287879,0.292287879,0.14355556,0.14355556,0.324007323,0.324007323,0.229304293,0.286217172,0.167079545,0.167079545
Asia Pacific,0.208056818,0.208056818,0.091195707,0.091195707,0.389419192,0.389419192,0.18377399,0.299117424,0.302911616,0.302911616
Africa,0.222474747,0.222474747,0.159491162,0.159491162,0.322489646,0.322489646,0.175426768,0.322641414,0.233098485,0.233098485
Other,0.167838384,0.167838384,0.331747475,0.331747475,0.414460859,0.414460859,0.294564394,0.236133838,0.262693182,0.262693182
North America,0.193638889,0.193638889,0.079813131,0.079813131,0.324007323,0.324007323,0.170444899,0.194397727,0.114719697,0.114719697
Europe,0.262693182,0.262693182,0.085125,0.085125,0.414460859,0.414460859,0.126861111,0.268005051,0.262693182,0.262693182
Middle East,0.262693182,0.262693182,0.085125,0.085125,0.414460859,0.414460859,0.126861111,0.268005051,0.262693182,0.262693182
Russia,0.262693182,0.262693182,0.085125,0.085125,0.414460859,0.414460859,0.126861111,0.268005051,0.262693182,0.262693182
