CSL,Net Price,Net RoL
5000000,1200,0.00024
10000000,1710,0.000171
25000000,3300,0.000132
50000000,5100,0.000102
100000000,8100,8.1e-05
150000000,10500,7e-05
250000000,16500,6.6e-05
500000000,28500,5.7e-05
