Total Loss EL Rates,Paramater
PistonHeli1,0.010268876
PistonHeli2,0.010268876
PistonFixed1,0.00548815
PistonFixed2,0.004740757
TurbineHeli1,0.006736386
TurbineHeli2,0.005971858
Turboprops1,0.00548815
Turboprops2,0.004740757
BusinessJet1,0.003047431
BusinessJet2,0.002681316
