Lloyds Risk Code
1E
1T
2E
2T
3E
3T
4E
4T
5T
6T
7T
8T
AG
AO
AP
AW
B
B2
B3
B4
B5
BB
BD
CB
CC
CF
CR
CT
CY
CZ
D2
D3
D4
D5
D6
D7
D8
D9
DC
E2
E3
E4
E5
E6
E7
E8
E9
EA
EB
EC
EF
EG
EH
EM
EN
EP
EY
EZ
F2
F3
F4
F5
FA
FG
FM
G
GC
GH
GM
GN
GS
GT
GX
H2
H3
HA
HP
JB
KA
KB
KC
KG
KM
KP
KS
KT
KX
L2
L3
LE
LJ
M2
M3
M4
M5
M6
MF
MG
MH
MI
MP
N
NA
NB
NC
NL
NP
NR
NS
NV
NX
O
P
P2
P3
P4
P5
P6
P7
PB
PC
PF
PG
PN
PQ
PR
PU
PZ
Q
RX
SA
SB
SC
SL
SO
SR
T
TC
TL
TO
TR
TS
TT
TU
TW
TX
UA
UC
UR
US
V
VL
VX
W
W3
W4
W5
W6
WA
WB
WL
WX
X1
X2
X3
XA
XC
XE
XF
XG
XH
XJ
XM
XN
XQ
XR
XT
XU
XY
