Grade,Description,Charge
Brand New Account - Exotic,Brand new facility - Exotic - Aims to reflect uncertainty in relation to facilities writing risks for LOBs 5623 has little to no exposure,0.02
Brand New Account - Standard,Brand new facility - Standard - Aims to reflect uncertainty in relation to new facilities writing risks similar to those already written within 5623,0.015
New Business - Not Established,New business to Syndicate 5623 - Facility is not yet well-established in the market and there is some uncertainty in relation to the performance of the facility,0.0125
New Business - Established,New business to Syndicate 5623 - Facility is well-established in the market and achieves targets year-on-year,0.01
Renewal - Uncertain portfolio composition,"Renewal business - Uncertainty in relation to portfolio composition and how this is expected to move within prospective pricing period when compared to historical years i.e. changes in line size, portfolio mix and risk profile",0.005
Renewal - Stable portfolio composition,"Renewal business - Portfolio composition is expected to remain broadly in line with prior year, therefore less uncertainty associated with the facility",0
