RiskCode,High Level Class of Business,Generic Class of Business,Type of Placement,Risk Code Description,Risk Code Description - Expanded,OECD Class Mapping,Assigned Tracker,Assigned BP Class
AW,Aviation,Aviation War,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",HULLS OF AIRCRAFT WAR OR CONFISCATION NO ACV,Aircraft hull war and confiscation excluding air cushioned vehicles,AIRCRAFT DMGE & LIAB,Tracker Marine,War
B,Marine,Marine Hull,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",Vessels TLO IV LOH and Containers Excl. WRO,"Total loss only in respect of vessels, shipbuilding, air cushioned vehicles, loss of hire and containers excluding war risks only",SHIPS DMGE & LIABILITY,Tracker Marine,Hull
B2,Property (D&F),Property D&F (US binder),"Direct, Facultative Proportional, Facultative Excess Loss",PHYS DAMAGE BINDER FOR PRIVATE PPTY IN USA,Physical damage binders for private property in USA,PROPERTY DAMAGE,Tracker Property,Covers
B3,Property (D&F),Property D&F (US binder),"Direct, Facultative Proportional, Facultative Excess Loss",PHYS DAMAGE BINDER FOR COMMERCIAL PPTY IN USA,Physical damage binders for commercial property in USA,PROPERTY DAMAGE,Tracker Property,Covers
B4,Property (D&F),Property D&F (non-US binder),"Direct, Facultative Proportional, Facultative Excess Loss",PHYS DAMAGE BINDER FOR PRIVATE PPTY EXCL USA,Physical damage binders for private property worldwide excluding USA,PROPERTY DAMAGE,Tracker Property,Covers
B5,Property (D&F),Property D&F (non-US binder),"Direct, Facultative Proportional, Facultative Excess Loss",PHYS DAMAGE BINDER FOR COMMERCIAL PPTY EXCL USA,Physical damage binders for commercial property worldwide excluding USA,PROPERTY DAMAGE,Tracker Property,Covers
BB,Casualty FinPro,BBB/ Crime,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",FIDELITY COMPUTER CRIME AND BANKERS POLICIES,"Fidelity, bankers and computer crime",GENERAL LIABILITY,Tracker SR,Fidelity and Crime
BD,Specialty Other,Terrorism,Direct,TERRORISM POOL RE,Terrorism coverage ceded to Pool Re,PROPERTY DAMAGE,Tracker PAC,Terrorism
CB,Specialty Other,Engineering,"Direct, Facultative Proportional, Facultative Excess Loss, Excess of Loss Treaty.",ENGINEERING ANNUAL RENEWABLE INCL CAR EAR MB CPE B&M EEI AND TREATY LOD,"Engineering annual - including contractors all risk, erection all risk, machinery breakdown, contractors plant and equipment, boilers and machinery, electronic equipment and treaty losses occurring",PROPERTY DAMAGE,Tracker Property,Open Market
CC,Specialty Other,Engineering,"Direct, Facultative Proportional, Facultative Excess Loss, Excess of Loss Treaty, Proportional Treaty",ENGINEERING SINGLE PROJECT NON RENEWABLE INCL CAR EAR AND TREATY RAD,"Engineering single long-term - including contractors all risk, erection all risk and treaty risks attaching",PROPERTY DAMAGE,Tracker Property,Open Market
CF,Specialty Other,"Political Risks, Credit & Financial Guarantee","Direct, Facultative Proportional, Facultative Excess Loss, Excess of Loss Treaty, Proportional Treaty",CONTRACT FRUSTRATION FROM 2019 IN ACCORD MKT BULLETIN Y5191,Contract frustration (contracts with soverign buyers),PECUNIARY LOSS,Tracker PAC,Contingency
CR,Specialty Other,"Political Risks, Credit & Financial Guarantee","Direct, Facultative Proportional, Facultative Excess Loss, Excess of Loss Treaty, Proportional Treaty",CREDIT RISK FROM 2019 IN ACCORD MKT BULLETIN Y5191,Credit risk (contracts with private sector buyers),PECUNIARY LOSS,Tracker PAC,Contingency
CT,Marine,Specie,"Direct, Facultative Proportional, Facultative Excess Loss, Excess of Loss Treaty, Proportional Treaty",ARMOURED CARRIERS AND CASH IN TRANSIT,Armoured carriers and cash in transit,GOODS IN TRANSIT,Tracker Marine,Specie
CY,Casualty FinPro,Cyber,"Direct, Facultative Proportional, Facultative Excess Loss","Cyber Security Data and Privacy Breach, excluding treaty reinsurance","Coverage in respect of first or third party costs, expenses or damages due to a breach (or threatened breach) of cyber security and/or privacy of data, that does not include damage to physical property, excluding inwards treaty reinsurance",GENERAL LIABILITY,Tracker Cyber,US Cyber
CZ,Casualty FinPro,Cyber,"Direct, Facultative Proportional, Facultative Excess Loss","CYBER SECURITY AND PROPERTY DAMAGE, EXCLUDING TREATY REINSURANCE","Coverage in respect of first or third party costs, expenses or damages due to a breach of cyber security that includes damage to physical property, excluding inwards treaty reinsurance.",PROPERTY DAMAGE,Tracker Cyber,US Cyber
D2,Casualty FinPro,Directors & Officers (US),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",D AND O LIAB EXCL FINANCIAL INSTITUTIONS IN USA,Directors and officers liability in USA excluding financial institutions,GENERAL LIABILITY,Tracker SR,US D&O
D3,Casualty FinPro,Directors & Officers (non-US),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",D AND O LIAB EXCL FINANCIAL INSTITUTIONS EXCL USA ,Directors and officers liability worldwide excluding USA and excluding financial institutions,GENERAL LIABILITY,Tracker SR,International ML
D4,Casualty FinPro,Financial Institutions (US),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",D AND O LIAB FOR FINANCIAL INSTITUTIONS INCL USA,Directors and officers liability for financial instituitons including USA,GENERAL LIABILITY,Tracker SR,US D&O
D5,Casualty FinPro,Financial Institutions (non-US),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",D AND O LIAB FOR FINANCIAL INSTITUTIONS EXCL USA,Directors and officers liability for financial instituitons worldwide excluding USA,GENERAL LIABILITY,Tracker SR,Financial Institutions
D6,Casualty FinPro,Directors & Officers (US),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",Employment Practices Liability Insurance (EPLI) Incl. US,This provides cover for wrongful acts and violations arising from employment related harassment and discrimination including USA,GENERAL LIABILITY,Tracker SR,US EPL
D7,Casualty FinPro,Directors & Officers (non-US),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",Employment Practices Liability Insurance (EPLI) Excl. US,This provides cover for wrongful acts and violations arising from employment related harassment and discrimination excluding USA,GENERAL LIABILITY,Tracker SR,London EPL
D8,Casualty FinPro,Directors & Officers (US),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",Transactional Liability insurance Incl. US,"This provides cover to reduce or extinguish the impact of potential liabilities which may arise in connection with a business merger, acquisition or restructure. The coverage caters for breaches of representations, warranties or indemnities in the transaction agreement, any potential tax liabilities that may arise and other contingent liability claims including USA",GENERAL LIABILITY,Tracker SR,M&A
D9,Casualty FinPro,Directors & Officers (non-US),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",Transactional Liability insurance Excl. US,"This provides cover to reduce or extinguish the impact of potential liabilities which may arise in connection with a business merger, acquisition or restructure. The coverage caters for breaches of representations, warranties or indemnities in the transaction agreement, any potential tax liabilities that may arise and other contingent liability claims Excluding USA",GENERAL LIABILITY,Tracker SR,M&A
DC,Property (D&F),Difference in Conditions,"Direct, Facultative Proportional, Facultative Excess Loss",DIFFERENCE IN CONDITIONS,Difference in conditions - all natural catastrophe perils excluding fire,PROPERTY DAMAGE,Tracker Property,Covers
E2,Casualty FinPro,Professional Indemnity (US),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",PROF INDTY E&O FOR LEGAL PROFESSIONS INCL USA,Professional indemnity for legal profession including USA,GENERAL LIABILITY,Tracker SR,Large Client Professional
E3,Casualty FinPro,Professional Indemnity (non-US),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",PROF INDTY E&O FOR LEGAL PROFESSIONS EXCL USA,Professional indemnity for legal profession excluding USA,GENERAL LIABILITY,Tracker SR,Large Client Professional
E4,Casualty FinPro,Professional Indemnity (US),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",PROF INDTY E&O FOR ACCOUNTANTS INCL USA,Professional indemnity for accountants including USA,GENERAL LIABILITY,Tracker SR,Large Client Professional
E5,Casualty FinPro,Professional Indemnity (non-US),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",PROF INDTY E&O FOR ACCOUNTANTS EXCL USA,Professional indemnity for accountants excluding USA,GENERAL LIABILITY,Tracker SR,Large Client Professional
E6,Casualty FinPro,Professional Indemnity (US),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty","PROF INDTY E&O ARCHITECTS, ENGINEERS, OTHER CONSTRUCTION RELATED INDUSTRIES INCL USA","Professional indemnity for all construction related industries eg.architects & engineers, design & construct, and single projects including USA",GENERAL LIABILITY,Tracker SR,Specialty Professions
E7,Casualty FinPro,Professional Indemnity (non-US),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty","PROF INDTY E&O ARCHITECTS, ENGINEERS, OTHER CONSTRUCTION RELATED INDUSTRIES EXCL USA","Professional indemnity for all construction related industries eg.architects & engineers, design & construct, and single projects excluding USA",GENERAL LIABILITY,Tracker SR,Specialty Professions
E8,Casualty FinPro,Professional Indemnity (US),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty","MISC PROF IND E&O INCL USA EXCL ""E2"" ""E4"" ""E6"" CODES","Miscellaneous professional indemnity including USA and excluding business under risk codes E2, E4 and E6",GENERAL LIABILITY,Tracker SR,US E&O
E9,Casualty FinPro,Professional Indemnity (non-US),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty","MISC PROF IND E&O EXCL USA EXCL ""E3"" ""E5"" ""E7"" CODES","Miscellaneous professional indemnity excluding USA and excluding business under risk codes E3, E5 and E7",GENERAL LIABILITY,Tracker SR,London E&O
EA,Energy,Energy Onshore Liability,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",ENERGY LIABILITY ONSHORE CLAIMS MADE,On-shore energy liability on a claims made basis, ,Tracker Marine,Energy Liab and Cas
EB,Energy,Energy Onshore Liability,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",ENERGY LIABILITY ONSHORE ALL OTHER,On-shore energy liability on any basis other than claims made,GENERAL LIABILITY,Tracker Marine,Energy Liab and Cas
EC,Energy,Energy Construction,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",ENERGY CONSTRUCTION OFFSHORE PROP AND SEARCH PROD VSSLS EXCL WRO,Off-shore energy construction of search and production vessels in respect of property damage perils excluding war risks only, ,Tracker Marine,Energy PD
ED,Casualty FinPro,Professional Indemnity (non-US),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",PROPERTY PROFESSIONAL SERVICES PI EXCL USA,"Professional indemnity coverage written for professional services insureds operating in the property sector, specifically  Surveyors, Valuers, Estate Agents and Property Managers.",GENERAL LIABILITY,Tracker SR,Specialty Professions
EE,Casualty FinPro,Professional Indemnity (non-US),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",INSURANCE & FINANCIAL SERVICES ADVISERS PI EXCL USA,"Professional indemnity coverage written for professional services insureds operating in the financial advice sector, Specifically Financial Planners, Actuaries, (Independent) Financial Advisers, Insurance Brokers, and Managing General Agencies.",GENERAL LIABILITY,Tracker SR,Specialty Professions
EF,Energy,Energy Onshore Property,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",ENERGY ONSHORE PROPERTY,On-shore energy property,PROPERTY DAMAGE,Tracker Marine,Energy PD
EG,Energy,Energy Offshore Liability,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",ENERGY LIABILITY OFFSHORE CLAIMS MADE,Off-shore energy liability on a claims made basis,SHIPS DMGE & LIABILITY,Tracker Marine,Energy Liab and Cas
EH,Energy,Energy Offshore Liability,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",ENERGY LIABILITY OFFSHORE ALL OTHER,Off-shore energy liability on any basis other than claims made,SHIPS DMGE & LIABILITY,Tracker Marine,Energy Liab and Cas
EM,Energy,Energy Offshore Property,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",ENERGY SEARCH PROD VSSLS AND OFFSHORE PROP GOM WIND EXCL WRO EXCL CONSTRUCTION,Off-shore energy search and production vessels in respect of property damage perils exposed to wind in Gulf of Mexico excluding war risks only and construction, ,Tracker Marine,Energy PD
EN,Energy,Energy Offshore Property,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",ENERGY SEARCH PROD VSSLS AND OFFSHORE PROP EXCL GOM WIND EXCL WRO EXCL CONSTRUCTION,Off-shore energy search and production vessels in respect of property damage perils excluding wind eposure in Gulf of Mexico excluding war risks only and construction,SHIPS DMGE & LIABILITY,Tracker Marine,Energy PD
EP,Casualty Other,NM General Liability (non-US direct),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",Environmental Impairment Liability or NM Pollution Liability ,This provides cover for first party clean-up costs and/or third party liabilities (including associated legal defence costs) resulting from sudden or gradual pollution or environmental damage. Policies written on both a claims made or other trigger (e.g. occurrence) and in any territory should be written in this risk code., ,Tracker SR,Environmental
EY,Energy,Energy Offshore Property,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",ENERGY OPERATORS XTRA EXPENSES AND CONTROL OF WELL GOM  WIND,Energy operators extra expense and control of well in respect of wind exposure in Gulf of Mexico, ,Tracker Marine,Energy PD
EZ,Energy,Energy Offshore Property,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",ENERGY OPERATORS XTRA EXPENSES AND CONTROL OF WELL EXCL GOM WIND,Energy operators extra expense and control of well excluding wind exposure in Gulf of Mexico,SHIPS DMGE & LIABILITY,Tracker Marine,Energy PD
F2,Casualty FinPro,Financial Institutions (US),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",PROF INDTY E&O FOR FIN INSTITUTIONS INCL USA,Professional indemnity for financial institutions including USA,GENERAL LIABILITY,Tracker SR,Financial Institutions
F3,Casualty FinPro,Financial Institutions (non-US),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",PROF INDTY E&O FOR FIN INSTITUTIONS EXCL USA,Professional indemnity for financial institutions excluding USA,GENERAL LIABILITY,Tracker SR,Financial Institutions
F4,Casualty FinPro,Professional Indemnity (US),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",Technology and Telecommunications E&O Incl. US,"This provides cover for Technology and Telecommunications Providers E&O, excluding coverage allocated to CY or CZ  including USA risks.",GENERAL LIABILITY,Tracker Cyber,London E&O
F5,Casualty FinPro,Professional Indemnity (non-US),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",Technology and Telecommunications E&O Excl. US,"This provides cover for Technology and Telecommunications Providers E&O, excluding coverage allocated to CY or CZ excluding USA risks.",GENERAL LIABILITY,Tracker Cyber,International E&O
FA,Marine,Fine Art,"Direct, Facultative Proportional, Facultative Excess Loss ",FINE ART,Fine art,PROPERTY DAMAGE,Tracker Property,Specie
FG,Specialty Other,"Political Risks, Credit & Financial Guarantee","Direct, Facultative Proportional, Facultative Excess Loss, Excess of Loss Treaty, Proportional Treaty",FINANCIAL GUARANTEE (authorised syndicates only),Financial guarantee other than excepted classes, ,Tracker PAC,Contingency
FM,Specialty Other,"Political Risks, Credit & Financial Guarantee","Direct, Facultative Proportional, Facultative Excess Loss, Excess of Loss Treaty, Proportional Treaty","MORTGAGE INDEMNITY - From 01/01/05 also includes business previously coded ""BS"" ",Mortgage indemnity (Nb: this covers the expenses of mortgage lenders incurred in foreclosure of property and does not include the US class of Mortgage Impairment), ,Tracker PAC,Contingency
G,Marine,Marine Liability,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",MARINE LEGAL LIAB ALL OTHER NO CARGO EXCL WRO,"Marine liability on any basis other than claims made excluding cargo, energy and war risks only",SHIPS DMGE & LIABILITY,Tracker Marine,Marine Liab
GC,Marine,Marine Liability,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",MARINE LEGAL LIAB CLAIMS MADE NO CARGO EXCL WRO,"Marine liability on a claims made basis excluding cargo, energy and war risks only", ,Tracker Marine,Marine Liab
GH,Casualty Other,Medical Malpractice,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",HOSPITALS/ INSTITUTIONAL HEALTHCARE INSURANCE RISKS IN USA,Medical malpractice liability in respect of hospitals and similar major institutional healthcare other than nursing homes and allied healthcare risks in the USA, ,Tracker SR,US Misc Med
GM,Casualty Other,Medical Malpractice,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",INSTITUTIONAL MEDICAL MALPRACTICE EXCL USA,Medical professional liability coverage and or general liability coverage for owners and or operators of institutions that provide medical care where there is no coverage required in the USA , ,Tracker SR,Intl Misc Med & Life Sciences
GN,Casualty Other,Medical Malpractice,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",LONGTERM HEALTHCARE IN USA,Medical professional Indemnity and or general liability coverage for single and multi-location operators and or owners of Long term or senior care operations , ,Tracker SR,US Misc Med
GO,Casualty Other,Medical Malpractice,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",ALLIED & MISC HEALTHCARE USA (EXCL LONGTERM HEALTHCARE USA),Medical professional liability coverage for owners and or operators of institutions that provide medical care within the USA ,GENERAL LIABILITY,Tracker SR,US Misc Med
GQ,Casualty Other,Medical Malpractice,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",INDIVIDUALS MEDICAL MALPRACTICE EXCL USA ,Medical professional liability coverage for medical practitioners either singular or in groups excluding coverage for any services provided where liability is found within the USA ,GENERAL LIABILITY,Tracker SR,US Misc Med
GS,Marine,Specie,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",GENERAL SPECIE INCLUDING VAULT RISK,General specie including vault risk,PROPERTY DAMAGE,Tracker Property,Specie
GT,Casualty Other,Medical Malpractice,Excess of Loss Treaty,MEDICAL MALPRACTICE TREATY XOL IN USA,Medical malpractice liability excess of loss treaty in the USA, ,Tracker SR,Specialty Reinsurance
GX,Marine,Marine XL,Excess of Loss Treaty,XOL MARINE LEGAL LIAB EXCL CARGO ALL OTHER EXCL WRO,"Excess of loss marine liability on any basis other than claims made basis excluding cargo, energy and war risks only",SHIPS DMGE & LIABILITY,Tracker Marine,Marine Liab
H2,Aviation,Airline,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",AIRLINE HULL,Airline hull,AIRCRAFT DMGE & LIAB,Tracker Marine,Aviation PD
H3,Aviation,General Aviation,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",GENERAL AVIATION HULL,General aviation hull,AIRCRAFT DMGE & LIAB,Tracker Marine,Aviation PD
HA,Property Treaty,Agriculture & Hail,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",AGRICULTURAL CROP AND FORESTRY EXCL XOL TREATY AND STOP LOSS,Agriculture crop and forestry excluding excess of loss treaty and stop loss,PROPERTY DAMAGE,Tracker Property,Open Market
HP,Property (D&F),Property D&F (non-US binder),"Direct, Facultative Proportional, Facultative Excess Loss",UK HOUSEHOLD BUSINESS,Household insurance business in the UK,PROPERTY DAMAGE,Tracker Property,Open Market
JB,Marine,Specie,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty","JEWELLERS BLOCK JEWELLERY ETC INCL ROBBERY - From 01/01/05 also includes business previously coded ""FR"" ",Jewellers' block and general jewellery including robbery,PROPERTY DAMAGE,Tracker Property,Jewellers
KA,Accident & Health,Accident & Health (direct),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",PERSONAL ACCIDENT AND HEALTH CARVE OUT,Personal accident and health carve-out from workers compensation,ACCIDENT AND HEALTH,Tracker PAC,PA Direct
KB,Accident & Health,Accident & Health (direct),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",DISABILITY LONG TERM BENEFIT,Disability insurance with benefits payable in regular instalments for periods greater than 60 months.,ACCIDENT AND HEALTH,Tracker PAC,PA Direct
KC,Accident & Health,Accident & Health (direct),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",PERSONAL ACCIDENT AND HEALTH CREDITOR  DISABILITY,Personal accident and health creditor disability,ACCIDENT AND HEALTH,Tracker PAC,PA Direct
KG,Accident & Health,Accident & Health (direct),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty","Personal Accident and Health Excl. K&R, KP KS AND KT CODES","General personal accident and health excluding Kidnap and Ransom risk and all other coverage falling under other ""K"" codes",ACCIDENT AND HEALTH,Tracker PAC,PA Direct
KM,Accident & Health,Medical Expenses,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",MEDICAL EXPENSES INCL XS SPEC AND AGG SELF FUND,Medical expenses including protection of self-insured employer medical plans,ACCIDENT AND HEALTH,Tracker PAC,PA Direct
KP,Accident & Health,Accident & Health (direct),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",MARITIME EXTORTION EXCL KIDNAP AND RANSOM WRITTEN UNDER 'P',Reimbursement of costs associated with securing the release of marine hull or cargo or crew following the illegal seizure of a vessel by persons meeting the description of pirates,ACCIDENT AND HEALTH,Tracker PAC,PA Direct
KS,Accident & Health,Accident & Health (direct),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",PA AND HEALTH INCL SPORTS DIS OTHER THAN ACC DEATH,Personal accident and health in respect of sports disability other than accidental death only,ACCIDENT AND HEALTH,Tracker PAC,PA Direct
KT,Accident & Health,Accident & Health (direct),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",PA AND HEALTH FOR TRAVEL PACKAGE SCHEMES,Personal accident and health in respect of travel,ACCIDENT AND HEALTH,Tracker PAC,PA Direct
KX,Accident & Health,Personal Accident XL,Excess of Loss Treaty,"PERSONAL ACCIDENT AND HEALTH CATASTROPHE XL - From 01/01/08 also includes business previously coded ""KL""",Whole account excess of loss treaty in respect of personal accident and health,ACCIDENT AND HEALTH,Tracker PAC,PA Direct
L2,Aviation,Airline,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",AIRLINE LIABILITY,Airline liability,AIRCRAFT DMGE & LIAB,Tracker Marine,Aviation Liab
L3,Aviation,General Aviation,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",GENERAL AVIATION LIABILITY,General aviation liability,AIRCRAFT DMGE & LIAB,Tracker Marine,Aviation Liab
LE,Specialty Other,Legal Expenses,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",LEGAL EXPENSES    ,Legal expenses,PECUNIARY LOSS,Tracker SR,DIN US Lawyers
LJ,Specialty Other,Lloyd's Japan,Not applicable,FOR USE BY LLOYDS JAPAN ONLY,For use by Lloyd's Japan only, ,Tracker SR,Financial Institutions
M2,Casualty Other,UK Motor,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",UK MOTOR COMP FOR PRIVATE CAR INCL MOTORCYCLE,Motor comprehensive for cars and motorcycles in the UK,MTR VHCLE DMGE & LIAB,Tracker Property,Package
M3,Casualty Other,UK Motor,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",UK MOTOR COMP FOR FLEET AND COMMERCIAL VEHICLE,Motor comprehensive for fleets and commercial vehicles in the UK,MTR VHCLE DMGE & LIAB,Tracker Property,Package
M4,Casualty Other,UK Motor,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty","OTHER UK MOTOR COMP AND NON COMP EXCL ""M2"" AND ""M3"" CODES - From 01/01/08 includes business previously coded ""M7""",Motor comprehensive and non comprehensive in the UK other than those falling under risk codes M2 and M3,MTR VHCLE DMGE & LIAB,Tracker Property,Package
M5,Casualty Other,UK Motor,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",UK MOTOR NON COMP FOR PRIVATE CAR INCL MOTORCYCLE,Motor other than comprehensive for private cars and motorcycles in the UK,MTR VHCLE DMGE & LIAB,Tracker Property,Package
M6,Casualty Other,UK Motor,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",UK MOTOR NON COMP FOR FLEET AND COMM VEHICLE,Motor other than comprehensive for fleets and commercial vehicles in the UK,MTR VHCLE DMGE & LIAB,Tracker Property,Package
MF,Casualty Other,Overseas Motor,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty","OVERSEAS MOTOR DAM AND TPL EXCL USA CAN EU AND EEA - From 01/01/05 also includes business previously coded ""MD"" and ""ME""","Overseas motor damage and third party liability excluding the USA, Canada the European Union and the European Economic Area",MTR VHCLE DMGE & LIAB,Tracker Property,Package
MG,Casualty Other,Overseas Motor,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",USA AND CANADA MOTOR VEHICLE PHYSICAL DAMAGE,Motor vehicle physical damage in the USA and Canada,MTR VHCLE DMGE & LIAB,Tracker Property,Package
MH,Casualty Other,Overseas Motor,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",USA AND CANADA MOTOR VEHICLE THIRD PARTY LIABILITY,Motor vehicle third party liability in the USA and Canada,MTR VHCLE DMGE & LIAB,Tracker Property,Package
MI,Casualty Other,Overseas Motor,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",USA AND CANADA MOTOR DAMAGE AND 3RD PARTY LIAB,Motor vehicle physical damage and third party liability in the USA and Canada,MTR VHCLE DMGE & LIAB,Tracker Property,Package
