RiskCode,High Level Class of Business,Generic Class of Business,Type of Placement,Risk Code Description,Risk Code Description - Expanded,OECD Class Mapping,Assigned Tracker,Assigned BP Class
PG,Energy,Power Generation,"Direct, Facultative Proportional, Facultative Excess Loss",OPERATIONAL POWER GENERATION AND UTILITIES EXCL. CONSTRUCTION AND POST 1/1/22 EXC. RENEWABLE ENERGY RISKS,Operational power generation and transmission and other utilities excluding construction risks POST 1/1/22 EXC. RENEWABLE ENERGY RISKS,PROPERTY DAMAGE,Tracker Marine,Energy PD
PN,Accident & Health,Contingency,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",NON APPEARANCE,"Non-appearance of performers, sports people and the like",PECUNIARY LOSS,Tracker PAC,Contingency
PQ,Casualty Other,UK Motor,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",ROADSIDE RESCUE     ,Roadside assistrance and rescue,MTR VHCLE DMGE & LIAB,Tracker Property,Open Market
PR,Specialty Other,"Political Risks, Credit & Financial Guarantee","Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",POLITICAL RISK EXCL CONFISCATION VESSELS AIRCRAFT,Political risks other than those risks classifed as CF and CR and excluding confiscation of ships and aircraft,PECUNIARY LOSS,Tracker PAC,Political
PU,Accident & Health,Contingency,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty","MISCELLANEOUS CONTINGENCY - From 01/01/05 also includes business previously coded ""PO""",Miscellaneous contingency,PECUNIARY LOSS,Tracker PAC,Contingency
PZ,Accident & Health,Contingency,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",PRIZE INDEMNITY INCLUDING HOLE IN ONE,Prize indemnity including hole in one cover,PECUNIARY LOSS,Tracker PAC,Contingency
Q,Marine,Marine War,"Direct, Facultative Proportional, Facultative Excess Loss, Excess of Loss Treaty, Proportional Treaty",CARGO WAR AND OR CONFISCATION RISKS ONLY,Cargo war and/or confiscation risks only,PROPERTY DAMAGE,Tracker Marine,War
R1,Energy,Power Generation,"Direct, Facultative Proportional, Facultative Excess Loss",OPERATIONAL RENEWABLE POWER/ENERGY OFFSHORE EXC. CONSTRUCTION ,Offshore operational renewable energy property excluding war risks and construction,PROPERTY DAMAGE,Tracker Marine,Energy PD
R2,Energy,Power Generation,"Direct, Facultative Proportional, Facultative Excess Loss",OPERATIONAL RENEWABLE POWER/ENERGY ONSHORE EXC. CONSTRUCTION,Onshore operational renewable energy property excluding war risks and construction,PROPERTY DAMAGE,Tracker Marine,Energy PD
R3,Energy,Power Generation,"Direct, Facultative Proportional, Facultative Excess Loss",CONSTRUCTION RENEWABLE POWER/ENERGY OFFSHORE EXC. OPERATIONAL RISKS,Off-shore construction of renewable energy property in respect of property damage perils excluding war risks.,PROPERTY DAMAGE,Tracker Marine,Energy PD
R4,Energy,Power Generation,"Direct, Facultative Proportional, Facultative Excess Loss",CONSTRUCTION RENEWABLE POWER/ENERGY ONSHORE. EXC. OPERATIONAL RISKS,Construction of renewable energy property in respect of property damage perils excluding war risks,PROPERTY DAMAGE,Tracker Marine,Energy PD
