year,business_plan_class,attr_base,attr_inflation,attr_rate_change,attr_rarc_margin,attr_portfolio_change,attr_selected_attritional,cat_base,cat_inflation,cat_rate_change,cat_rarc_margin,cat_climate_change,cat_non_modelled_perils_general,cat_non_modelled_perils_weather,cat_anti_selection,cat_taiwan_rds,cat_greenwashing,cat_recession,cat_scaling,selected_cat,bp_expenses,cat_non_modelled_perils_all_other
2025,Open Market,0.39906424796195000000,0.00600000000000000000,-0.09797010823895150000,0.05000000000000000000,0.00000000000000000000,0.46731440828334900000,0.21700000000000000000,0.00600000000000000000,-0.09797010823895150000,0.05000000000000000000,0.00560000000000000000,0.02400000000000000000,0.00420000000000000000,0,0,0,0,0,0.28373556247453100000,0.15000000000000000000,0.00420000000000000000
2025,Ki Open Market,0.48838439977447200000,0.00600000000000000000,0.00000000000000000000,0.05000000000000000000,0.00000000000000000000,0.51588044148177500000,0.00000000000000000000,0.00600000000000000000,0.00000000000000000000,0.05000000000000000000,0.00560000000000000000,0.02400000000000000000,0.00420000000000000000,0.22000000000000000000,0,0,0,0,0.24820000000000000000,0.25997386581730600000,0.22420000000000000000
2025,US Property,0.35037058540060500000,0.00600000000000000000,-0.05000000000000000000,0.05000000000000000000,0.00000000000000000000,0.38957520985122000000,0.17400000000000000000,0.00600000000000000000,-0.05000000000000000000,0.05000000000000000000,0.00560000000000000000,0.02400000000000000000,0.00040000000000000000,0,0,0,0,0,0.21895311444210500000,0.11400000000000000000,0.00040000000000000000
2025,Beazley Canada Property,0.45854924825724200000,0.00600000000000000000,-0.05000000000000000000,0.05000000000000000000,0.00000000000000000000,0.50985849572013100000,0.17400000000000000000,0.00600000000000000000,-0.05000000000000000000,0.05000000000000000000,0.00560000000000000000,0.02400000000000000000,0.00040000000000000000,0,0,0,0,0,0.21895311444210500000,0.15500000000000000000,0.00040000000000000000
2025,Covers,0.44502494541711000000,0.00600000000000000000,0.02966271104358110000,0.05000000000000000000,0.00000000000000000000,0.45653770385416800000,0.16700000000000000000,0.00600000000000000000,0.02966271104358110000,0.05000000000000000000,0.00560000000000000000,0.02400000000000000000,0.00540000000000000000,0,0,0,0,0,0.20167966969903400000,0.25769906179970600000,0.00540000000000000000
2025,Package,0.84967889576973100000,0.08600000000000000000,0.04792635537199820000,0.00000000000000000000,0.00000000000000000000,0.88054974099622200000,0.00000000000000000000,0.00600000000000000000,0.04792635537199820000,0.00000000000000000000,0,0.02400000000000000000,0,0,0,0,0,0,0.02400000000000000000,0.23000000000000000000,0.00000000000000000000
2025,Jewellers,0.63466886784019800000,0.00600000000000000000,0.00030868334111460900,0.00000000000000000000,0.00000000000000000000,0.63827985468912700000,0.00377358490566038000,0.00600000000000000000,0.00030868334111460900,0.00000000000000000000,0,0.02400000000000000000,0.00000000000000000000,0,0,0,0,0,0.02779505494485420000,0.31502357016821900000,0.00000000000000000000
2025,Specie,0.47957509267284800000,0.00600000000000000000,-0.03893128129913390000,0.00000000000000000000,0.00000000000000000000,0.50199588628901000000,0.00943396226415094000,0.00600000000000000000,-0.03893128129913390000,0.00000000000000000000,0,0.02400000000000000000,0.00000000000000000000,0,0,0,0,0,0.03387501294451120000,0.31000000000000000000,0.00000000000000000000
2025,Private Clients,0.64632592614743900000,0.00600000000000000000,0.01500000000000000000,0.00000000000000000000,0.00000000000000000000,0.64059495734416200000,0.01584905660377360000,0.00600000000000000000,0.01500000000000000000,0.00000000000000000000,0,0.02400000000000000000,0,0,0,0,0,0,0.03970852309694210000,0.37000000000000000000,0.00000000000000000000
2025,E&S Homeowners,0.42329321161391300000,0.00600000000000000000,0.08000000000000000000,0.05000000000000000000,0.00000000000000000000,0.41400427724794100000,0.16800000000000000000,0.00600000000000000000,0.08000000000000000000,0.05000000000000000000,0.00560000000000000000,0.02400000000000000000,0.00360000000000000000,0,0,0,0,0,0.19283348800000000000,0.19000000000000000000,0.00360000000000000000
2025,Aviation PD,0.42069372162676600000,0.00600000000000000000,-0.05846278317152100000,0.00000000000000000000,0.00000000000000000000,0.44949671281408800000,0.10000000000000000000,0.00600000000000000000,-0.05846278317152100000,0.00000000000000000000,0,0.02400000000000000000,0.01900000000000000000,0,0,0,0,0,0.14984654647945400000,0.22000000000000000000,0.01900000000000000000
2025,Aviation Liab,0.33157434982347900000,0.00600000000000000000,-0.05846278317152100000,0.00000000000000000000,0.00000000000000000000,0.35427574179809100000,0.43000000000000000000,0.00600000000000000000,-0.05846278317152100000,0.00000000000000000000,0,0.02400000000000000000,0,0,0,0,0,0,0.48344014986165300000,0.22000000000000000000,0.00000000000000000000
2025,Satellite,0.58004808231200900000,0.00600000000000000000,0.20000000000000000000,0.20000000000000000000,0.00000000000000000000,0.58352837080588100000,0.06000000000000000000,0.00600000000000000000,0.20000000000000000000,0.20000000000000000000,0,0.02400000000000000000,0,0,0,0,0,0,0.08436000000000000000,0.08426150121065370000,0.00000000000000000000
2025,Ki Cargo,0.71961703450163100000,0.00600000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.72393473670864100000,0.00000000000000000000,0.00600000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.02400000000000000000,0.01900000000000000000,0.22000000000000000000,0,0,0,0,0.26300000000000000000,0.25997386581730600000,0.23900000000000000000
2025,Cargo,0.47692597968135300000,0.00600000000000000000,-0.04650395087932600000,0.00000000000000000000,0.00000000000000000000,0.50318775416207200000,0.04000000000000000000,0.00600000000000000000,-0.04650395087932600000,0.00000000000000000000,0,0.02400000000000000000,0.01900000000000000000,0,0,0,0,0,0.08520258703442960000,0.25780575381605900000,0.01900000000000000000
2025,Energy PD,0.51953054139125100000,0.00600000000000000000,0.00498196248196248000,0.00000000000000000000,0.00000000000000000000,0.52005682106854700000,0.14000000000000000000,0.00600000000000000000,0.00498196248196248000,0.00000000000000000000,0,0.02400000000000000000,0.01900000000000000000,0,0,0,0,0,0.18314181871699800000,0.13044326612201500000,0.01900000000000000000
2025,Energy Liab and Cas,0.30541104003198600000,0.00600000000000000000,0.10000000000000000000,0.00000000000000000000,0.00000000000000000000,0.27931227842925300000,0.38000000000000000000,0.00600000000000000000,0.10000000000000000000,0.00000000000000000000,0,0.02400000000000000000,0,0,0,0,0,0,0.37152727272727300000,0.22000000000000000000,0.00000000000000000000
2025,Ki Energy Midstream,0.57523061513359900000,0.00600000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.57868199882440100000,0.00000000000000000000,0.00600000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.02400000000000000000,0.01900000000000000000,0.22000000000000000000,0,0,0,0,0.26300000000000000000,0.25997386581730600000,0.23900000000000000000
2025,Downhole,0.63199742662293100000,0.00600000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.63578941118266900000,0.00000000000000000000,0.00600000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.02400000000000000000,0.01900000000000000000,0,0,0,0,0,0.04300000000000000000,0.28000000000000000000,0.01900000000000000000
2025,Ki Hull,0.71477611780713200000,0.00600000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.71906477451397500000,0.00000000000000000000,0.00600000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.02400000000000000000,0.01900000000000000000,0.22000000000000000000,0,0,0,0,0.26300000000000000000,0.25997386581730600000,0.23900000000000000000
2025,Hull,0.48089099362035200000,0.00600000000000000000,-0.04157730334319720000,0.00000000000000000000,0.02660947413964620000,0.51819450364852900000,0.04000000000000000000,0.00600000000000000000,-0.04157730334319720000,0.00000000000000000000,0,0.02400000000000000000,0.01900000000000000000,0,0,0,0,0,0.08498565011071450000,0.20292649554396100000,0.01900000000000000000
2025,Marine Misc,0.37296351543072500000,0.00600000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.37520129652331000000,0.00000000000000000694,0.00600000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.02400000000000000000,0.01900000000000000000,0,0,0,0,0,0.04300000000000000000,0.13000000000000000000,0.01900000000000000000
2025,Marine Liab,0.50000000000000000000,0.00600000000000000000,0.05818231549600050000,0.00000000000000000000,0.00000000000000000000,0.47534341921432400000,0.20000000000000000000,0.00600000000000000000,0.05818231549600050000,0.00000000000000000000,0,0.02400000000000000000,0,0,0,0,0,0,0.21413736768573000000,0.14900201612903200000,0.00000000000000000000
2025,War,0.24382941458688800000,0.00600000000000000000,0.02000000000000000000,0.00000000000000000000,0.13500000000000000000,0.27294790575436700000,0.20379568660210400000,0.00600000000000000000,0,0,0,0.02400000000000000000,0.00000000000000000000,0,0,0,0,0,0.22901846072171700000,0.29000000000000000000,0.00000000000000000000
2025,Contingency,0.48428651143193300000,0.00600000000000000000,-0.07472773052679980000,0.00000000000000000000,0.00000000000000000000,0.52653931882980300000,0.10000000000000000000,0.00600000000000000000,-0.07472773052679980000,0.00000000000000000000,0,0.02400000000000000000,0,0,0,0,0,0,0.13272475412807500000,0.22204559492095500000,0.00000000000000000000
2025,Ki Contingency,0,0,0,0,0,0.68000000000000000000,0.00000000000000000000,0.00600000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.02400000000000000000,0,0.22000000000000000000,0,0,0,0,0.24400000000000000000,0.25997386581730600000,0.22000000000000000000
2025,Political,0.34424469104299700000,0.00600000000000000000,0.02498367693780050000,0.00000000000000000000,0.00000000000000000000,0.33786895048307200000,0.16600000000000000000,0.00600000000000000000,0.02498367693780050000,0.00000000000000000000,0,0.02400000000000000000,0,0,0.06000000000000000000,0,0,0,0.24692552140821400000,0.20973816981347600000,0.06000000000000000000
2025,Terrorism,0.14672951338230100000,0.00600000000000000000,0.03058456599197870000,0.00000000000000000000,0.00000000000000000000,0.14322928494520500000,0.39000000000000000000,0.00600000000000000000,0.03058456599197870000,0.00000000000000000000,0,0.02400000000000000000,0,0,0,0,0,0,0.40469656090993100000,0.18580615456554600000,0.00000000000000000000
2025,DWP,0.15480347218533000000,0.08600000000000000000,0.05000000000000000000,0.00000000000000000000,0.00000000000000000000,0.16011101980311300000,0.39000000000000000000,0.00600000000000000000,0.05000000000000000000,0.00000000000000000000,0,0.02400000000000000000,0,0,0,0,0,0,0.39765714285714300000,0.22948670501376900000,0.00000000000000000000
2025,PA Direct,0.61023377461163200000,0.00600000000000000000,0.01988035638158910000,0.00000000000000000000,0.00000000000000000000,0.60192862174277700000,0.00000000000000000000,0.00600000000000000000,0.01988035638158910000,0.00000000000000000000,0,0.02400000000000000000,0,0,0,0,0,0,0.02400000000000000000,0.39000000000000000000,0.00000000000000000000
2025,PA Reinsurance,0.28126248908172300000,0.00600000000000000000,0.01222473940925440000,0.00000000000000000000,0.00000000000000000000,0.27953284779558600000,0.07900000000000000000,0.00600000000000000000,0.01222473940925440000,0.00000000000000000000,0,0.02400000000000000000,0,0,0,0,0,0,0.10251418455389800000,0.17010044724686600000,0.00000000000000000000
2025,Sports,0.60882451650573300000,0.00600000000000000000,0.01000000000000000000,0.00000000000000000000,0.00000000000000000000,0.60641333030175000000,0.00000000000000000000,0.00600000000000000000,0.01000000000000000000,0.00000000000000000000,0,0.02400000000000000000,0,0,0,0,0,0,0.02400000000000000000,0.29000000000000000000,0.00000000000000000000
2025,BICI A&H PA ,0.27074540272381000000,0.00600000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.27236987514015200000,0.00000000000000000000,0.00600000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.02400000000000000000,0,0,0,0,0,0,0.02400000000000000000,0.22000000000000000000,0.00000000000000000000
2025,Life Direct,0.61942071680545900000,0.00600000000000000000,0.00000000000000000000,0.00000000000000000000,-0.02500000000000000000,0.60755881007863400000,0.00000000000000000000,0.00600000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.02400000000000000000,0,0,0,0,0,0,0.02400000000000000000,0.16000000000000000000,0.00000000000000000000
2025,Life Reinsurance,0.44166802093935300000,0.00600000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.44431802906498900000,0.00000000000000000000,0.00600000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.02400000000000000000,0,0,0,0,0,0,0.02400000000000000000,0.17000000000000000000,0.00000000000000000000
2025,International E&O,0.88000000000000000000,0.00600000000000000000,-0.02500000000000000000,0.05000000000000000000,0.00000000000000000000,0.95337846153846200000,0.00000000000000000000,0.00600000000000000000,-0.02500000000000000000,0.05000000000000000000,0,0.02400000000000000000,0,0,0,0,0,0,0.02400000000000000000,0.07043153777511940000,0.00000000000000000000
2025,US E&O,0.63433441736480600000,0.00600000000000000000,-0.02000000000000000000,0.05000000000000000000,0.00000000000000000000,0.68372188271678000000,0.00000000000000000000,0.00600000000000000000,-0.02000000000000000000,0.05000000000000000000,0,0.02400000000000000000,0,0,0,0,0,0,0.02400000000000000000,0.10849927060404200000,0.00000000000000000000
