Grade,Description,Charge
Broadly flat participation,Broadly flat written participations across all underlying risks written,0
Varying participation,"Varying participations across underlying risks written, but within reasonable parameters",0.0025
Signficantly differing participation,Significantly differing participations across underlying risks written,0.0075
