Grade,Description,Charge
Standard Contract,Typical Market Facility,0.005
Niche Contract,Niche Market Facility (e.g. focused on locally placed business [rather than wholesale] in specific targeted domiciles and classes),0
Large Cross Class Market Facility,Large Cross-Class Market Facility,0.01
