lloyds_risk_code,yoa,gpi,gnpi,acquisition_cost,latest_paid_position,latest_incurred_position,gn_ulr,incurred_development,paid_development,premium_development
FA,2013,197663559.8,145206106.7,0.265387576,47143832.06,47154409.92,0,1,0,1
FA,2014,216386312.1,157756629.4,0.270949129,53373509.4,54673374.22,0,1,0,1
FA,2015,222598459.9,161826267,0.273012639,53144772.96,53491247.77,0,1,0,1
FA,2016,228214545.9,162102283.6,0.289693464,68161122.11,68945149.9,0,1,0,1
FA,2017,231215754.7,165486599,0.284276285,82174218.46,83365629.09,0,1,0,1
FA,2018,229335979.2,163577160.5,0.286735727,154333557.4,191894978.5,0,1,0,1
FA,2019,250599745.6,182808726.9,0.270515114,78508834.25,79511914.54,0,1,0,1
FA,2020,233762015.3,168563944,0.278907894,51098655.47,54390899.78,0,1,0,1
FA,2021,277691948.2,197560903.3,0.288560923,50579068.35,53393896.64,0,1,0,1
FA,2022,313154902.7,226142169.6,0.277858441,92504045.39,105190703.5,0,1,0,1
FA,2023,348910912.7,252351798.2,0.276744324,98092234.49,136460681,0,1,0,0.995654818
FA,2024,324441042.6,235953411.3,0.272738709,59916566.31,89380113.88,0,0.789260108,0,0.899312156
FA,2025,178391214.4,132951410.1,0.254719967,7115855.398,14369037.8,0,0.182786475,0,0.429448316
FG,2005,0,0,0,0,0,0,1,0,1
FG,2006,0,0,0,0,0,0,1,0,1
FG,2007,2124964.011,1472694.574,0.306955522,536747.8145,648408.5315,0,1,0,1
FG,2008,0,0,0,0,0,0,1.034318611,0,1
FG,2009,0,0,0,0,0,0,1.059347692,0,1
FG,2010,0,0,0,0,0,0,1.06258764,0,1
FG,2011,1318250.277,1015815.731,0.229421189,27715.98,27715.98,0,1.051275636,0,1
FG,2012,0,0,0,0,0,0,1.028283982,0,1
FG,2013,765095.0236,562181.2256,0.265213852,133806.41,139160.41,0,1.026901146,0,1.000000834
FG,2014,0,0,0,0,0,0,1.00327221,0,1.000002919
FG,2015,7880314.174,6875751.589,0.127477479,9345.08,9345.08,0,0.997569225,0,1.000004945
FG,2016,6813870.748,5919556.243,0.131249115,1863785.37,1865472.66,0,1.000354506,0,1.000230851
FG,2017,14479228.52,12103001.58,0.164112814,15027750.23,15027750.23,0,0.957092396,0,0.99354185
FG,2018,31552240.91,26330625.05,0.165491126,9669906.806,9675884.25,0,0.941943717,0,0.993471686
FG,2019,8121396.116,7252704.003,0.106963397,1910603.223,1913631.743,0,0.950657957,0,0.992640616
FG,2020,0,0,0,0,0,0,0.928796297,0,0.98304522
FG,2021,5899364,4416499.693,0.251360029,31607.4011,38784.4011,0,0.917333088,0,0.971878264
FG,2022,0,0,0,0,0,0,0.837146125,0,0.9336071
FG,2023,2548031.726,2086761.968,0.181029833,0,0,0,0.784554159,0,0.832345426
FG,2024,0,0,0,0,0,0,0.556951365,0,0.613149025
FG,2025,0,0,0,0,0,0,0.248426469,0,0.226486648
FM,2005,0,0,0,0,0,0,1,0,1
FM,2006,3681423.127,2806352.42,0.23769903,3331079.19,3331084.16,0,1,0,1
FM,2007,4470408.271,3447093.83,0.228908498,17144667.49,17144668.47,0,1,0,1
FM,2008,0,0,0,0,0,0,1.001982698,0,1
FM,2009,0,0,0,0,0,0,1.001983125,0,1
FM,2010,0,0,0,0,0,0,1.005440333,0,1
FM,2011,0,0,0,0,0,0,1.002950733,0,1
