risk_code,yoa,gn_written_premium,acquisition_costs,paid_cat,paid_total_ex_cat,paid_total,incurred_cat,incurred_total_ex_cat,incurred_total,rate_change
CR,2020,20582369.09,6382718.072,0,5855259.899,5855259.899,0,5861822.899,5861822.899,1.07116855
CR,2021,25771340.48,6892341.079,0,4600720.096,4600720.096,0,5473756.216,5473756.216,1.080792707
CR,2022,23535467.84,6913011.282,0,2093026.287,2093026.287,0,2094729.987,2094729.987,1.032245116
CR,2023,24963227.97,7857638.145,0,2320368.453,2320368.453,0,2429822.919,2429822.919,1.011780818
CR,2024,20743199.95,6941744.321,0,6376851.815,6376851.815,0,6644359.44,6644359.44,1.03676058
CR,2025,21725526.58,7756962.493,0,354885.5502,354885.5502,0,605541.34,605541.34,1.002162755
CR,2026,9643237.875,2462816.403,0,0,0,0,0,0,0.994667369
CR,2027,0,0,0,0,0,0,0,0,1
CT,2000,51903.0154,21457.39396,0,61703.3466,61703.3466,0,61703.3466,61703.3466,1.101457102
CT,2001,14988.1785,6423.505071,0,36559.1616,36559.1616,0,36559.1616,36559.1616,1.1
CT,2002,6958.0918,2982.039343,0,571.8233,571.8233,0,571.8233,571.8233,1.15
CT,2003,65180.757,7776.070045,0,2670.0814,2670.0814,0,2670.0814,2670.0814,1.05
CT,2004,246162.726,44218.95055,0,32.2525,32.2525,0,32.2525,32.2525,1
CT,2005,237841.1811,63034.74396,0,0,0,0,0,0,0.975986734
CT,2006,739862.9744,200362.9804,0,110.8093,110.8093,0,110.8093,110.8093,1.003473404
CT,2007,745173.7742,253627.0487,0,71508.36391,71508.36391,0,71508.36391,71508.36391,1.021214175
CT,2008,734947.6048,268314.1501,0,1076385.904,1076385.904,0,1076385.904,1076385.904,0.947995774
CT,2009,850145.169,300231.823,0,709155.1169,709155.1169,0,709155.1169,709155.1169,1.022138882
CT,2010,573662.1322,149331.3941,0,121.58135,121.58135,0,121.58135,121.58135,1.020478385
CT,2011,524259.7388,169466.9356,0,156487.3026,156487.3026,0,156487.3026,156487.3026,0.980986725
CT,2012,379591.5375,118854.5711,0,28259.5913,28259.5913,0,28259.5913,28259.5913,1.028713113
CT,2013,474754.3208,145613.3036,0,2850.21195,2850.21195,0,2850.21195,2850.21195,0.919472161
CT,2014,330789.3402,78978.75661,14.23965,6967.88199,6982.12164,14.23965,6967.88199,6982.12164,0.983795301
CT,2015,265601.859,105746.2687,0,553955.3583,553955.3583,0,553955.3583,553955.3583,0.958740321
CT,2016,336084.9012,149639.6361,8.2624,869068.2126,869076.475,8.2624,871600.4586,871608.721,0.94280374
CT,2017,3232788.941,1100489.24,1781.50385,1889980.867,1891762.371,1781.50385,1896522.867,1898304.371,0.96766863
CT,2018,5470676.553,1895426.277,0,4375636.978,4375636.978,0,4413920.22,4413920.22,1.03280457
CT,2019,3874312.462,1637082.016,43977.6042,913016.69,956994.2942,43977.6042,923822.167,967799.7712,1.083558537
CT,2020,3505799.196,1092497.594,104115.0177,999862.8027,1103977.82,104115.0177,1382783.033,1486898.051,1.028905559
CT,2021,3694235.443,987061.1396,49045.99413,769697.5986,818743.5927,49142.89691,1072588.025,1121730.922,1.019102577
CT,2022,3877866.192,866375.7727,187531.6878,1742670.659,1930202.347,188955.6699,1868365.813,2057321.483,1.005282261
CT,2023,4345617.893,1189232.884,7841.104075,6647585.542,6655426.646,13961.10069,7112502.426,7126463.527,1.015917328
CT,2024,4802004.649,1399744.468,26424.49665,752470.9406,778895.4372,32453.96725,938172.6291,970626.5963,0.992854307
CT,2025,4571698.304,1321756.288,201.868315,509084.568,509286.4363,309.888315,1220671.43,1220981.318,0.973863872
CT,2026,1272225.644,503655.329,0,5.0056,5.0056,0,117.44272,117.44272,0.937218912
CT,2027,0,0,0,0,0,0,0,0,1
CY,2000,0,0,0,0,0,0,0,0,1
CY,2001,0,0,0,0,0,0,0,0,1
CY,2002,0,0,0,0,0,0,0,0,1
CY,2003,0,0,0,0,0,0,0,0,1
CY,2004,0,0,0,0,0,0,0,0,1
CY,2005,0,0,0,0,0,0,0,0,1
CY,2006,0,0,0,0,0,0,0,0,1
CY,2007,0,0,0,0,0,0,0,0,1
CY,2008,0,0,0,0,0,0,0,0,1
CY,2009,0,0,0,0,0,0,0,0,1
CY,2010,0,0,0,0,0,0,0,0,1
CY,2011,0,0,0,0,0,0,0,0,1
CY,2012,7500,2500,0,0,0,0,0,0,1
CY,2013,83765210.15,15687507,0,28911513.39,28911513.39,0,28934240.39,28934240.39,0.999083694
CY,2014,140968878.4,25864225.54,0,32667006.33,32667006.33,0,32680240.33,32680240.33,1.008907212
CY,2015,149200069.2,29879005.4,0,62459235.98,62459235.98,0,62551871.58,62551871.58,1.065413071
CY,2016,209032716.8,42427175.19,0,63206279.07,63206279.07,0,63272002.68,63272002.68,1.007441894
CY,2017,334632135.4,49448447.64,45.78593333,107682340.4,107682386.2,45.78593333,108079701.3,108079747.1,1.008078152
CY,2018,303325308.4,66074038.06,277.9860667,136395293.2,136395571.2,277.9860667,138194478.5,138194756.5,0.976925639
CY,2019,318321820,72233518.93,31878.87,265518873,265550751.9,31878.87,304060373.3,304092252.2,1.012242763
CY,2020,367448415.1,80289002.67,304399.8625,375283887.5,375588287.4,347237.0143,379951421,380298658,1.063365563
CY,2021,598699863.3,95383833.96,108538.7068,184972873.7,185081412.4,117459.3141,196067504.6,196184963.9,1.638154322
CY,2022,917787345.6,140660062.6,37637.95987,290390248.9,290427886.9,229506.7779,344843836.6,345073343.3,1.367150271
CY,2023,1010117860,167172970,1204288.956,386350535.5,387554824.4,3721240.481,448193798,451915038.4,0.942429032
CY,2024,777097731.1,143870414.1,2765782.628,204699585.2,207465367.9,2847128.3,287036089.2,289883217.5,0.950974064
CY,2025,458431631,93273499.07,6554.324965,43412722.67,43419277,18112.27004,68785522.44,68803634.71,0.922329145
CY,2026,80765289,19328911.65,0,9879.821502,9879.821502,0,168624.0567,168624.0567,0.953634589
CY,2027,0,0,0,0,0,0,0,0,1
CZ,2000,0,0,0,0,0,0,0,0,1
CZ,2001,0,0,0,0,0,0,0,0,1
CZ,2002,0,0,0,0,0,0,0,0,1
CZ,2003,0,0,0,0,0,0,0,0,1
CZ,2004,0,0,0,0,0,0,0,0,1
CZ,2005,0,0,0,0,0,0,0,0,1
CZ,2006,0,0,0,0,0,0,0,0,1
CZ,2007,0,0,0,0,0,0,0,0,1
CZ,2008,0,0,0,0,0,0,0,0,1
CZ,2009,0,0,0,0,0,0,0,0,1
CZ,2010,0,0,0,0,0,0,0,0,1
CZ,2011,0,0,0,0,0,0,0,0,1
CZ,2012,0,0,0,0,0,0,0,0,1
CZ,2013,0,0,0,0,0,0,0,0,1
CZ,2014,0,0,0,0,0,0,0,0,1
CZ,2015,1264192.998,222967.5081,0,0,0,0,0,0,1.029537168
CZ,2016,2382617.092,306167.219,0,0,0,0,0,0,0.949797516
CZ,2017,3291579.398,321421.6509,0,15702.72903,15702.72903,0,15702.72903,15702.72903,1.022155697
CZ,2018,1835022.572,181211.2007,0,0,0,0,0,0,0.939919189
CZ,2019,2687441.21,325527.5485,418953.5892,455122.1508,874075.74,452058.5342,457183.0232,909241.5574,1.004197948
CZ,2020,6189158.184,1696496.35,150920.4006,839366.5021,990286.9027,152452.2117,915573.0195,1068025.231,1.033854192
CZ,2021,4921186.842,1234511.625,1342.170145,5159840.159,5161182.329,1564.365795,5193498.741,5195063.107,1.24939701
CZ,2022,5037978.562,919027.3835,2323.888619,1119518.281,1121842.169,14965.90765,1545616.845,1560582.753,1.160708821
CZ,2023,3928451.366,723598.0894,914.838613,478608.3969,479523.2355,923.014458,680282.5077,681205.5221,1.142109961
CZ,2024,4882078.339,1168765.417,11346.02998,410849.3707,422195.4007,27644.17825,1087063.177,1114707.356,0.982361259
CZ,2025,6054289.063,1126820.299,14081.92421,83180.16329,97262.0875,70540.79711,850808.6903,921349.4875,0.946424347
CZ,2026,4045253.051,939792.7109,0,1123.778289,1123.778289,0,37043.96185,37043.96185,0.929501204
CZ,2027,0,0,0,0,0,0,0,0,1
D2,2000,0,0,0,0,0,0,0,0,1
D2,2001,0,0,0,0,0,0,0,0,1
D2,2002,0,0,0,0,0,0,0,0,1
D2,2003,0,0,0,0,0,0,0,0,1
D2,2004,31673420.06,4569328.716,4555482.405,9343032.625,13898515.03,4555482.405,9343032.625,13898515.03,0.850759193
D2,2005,31825416.78,4666660.141,10399111.27,8425285.807,18824397.08,10399111.27,8425285.807,18824397.08,0.962002263
D2,2006,47209079.42,6525608.725,16107913.97,5731337.302,21839251.27,16107913.97,5731337.302,21839251.27,0.922643713
D2,2007,51007411.95,6785628.328,2392866.705,26555881.96,28948748.66,2392866.705,26572787.96,28965654.66,0.81992494
D2,2008,67959360.46,9190133.032,78396.898,31318830.53,31397227.43,78396.898,31506729.53,31585126.43,0.925236561
D2,2009,80877179.39,11076746.97,7532,26548813.02,26556345.02,7532,26548813.02,26556345.02,0.979880151
D2,2010,66808241.38,8811736.326,484867.2165,33974644.35,34459511.57,484867.2165,36924252.35,37409119.57,0.888823254
D2,2011,52844174.78,7233976.306,2225950.771,46665916.46,48891867.23,2726281.31,46665916.46,49392197.77,0.879127911
D2,2012,56842870.66,8341885.432,0,56232762.49,56232762.49,0,56399078.49,56399078.49,1.021302087
D2,2013,65829118.75,10411316.84,10077.4,58124595.89,58134673.29,10077.4,58124595.89,58134673.29,0.994909383
D2,2014,68364566.83,10626825.62,20818.92,88047596.76,88068415.68,20818.92,88050514.76,88071333.68,0.948341846
D2,2015,72293579.74,11539796.42,41080145.2,36797185.54,77877330.74,41192575.2,36802258.54,77994833.74,0.983631537
D2,2016,71993988.5,11425175.53,33909643.55,61423007.39,95332650.94,33909643.55,68973456.39,102883099.9,0.972556928
D2,2017,85378092.95,13378350.18,53135618.32,54938083.28,108073701.6,53149201.06,54985678.28,108134879.3,0.996273114
D2,2018,66555171.13,12210908.28,44761926.87,37308846.76,82070773.63,49711800.87,50116771.76,99828572.63,1.057769675
D2,2019,101716937.1,17573813.2,41525.575,60686758.26,60728283.84,43327.6,73343707.86,73387035.46,1.219951323
D2,2020,189580489.3,30895449.08,306237.9605,33995003.98,34301241.94,315398.1555,41631644.32,41947042.47,1.434606333
D2,2021,291058646.1,44873359.34,44058.77616,40000249.5,40044308.27,48519.54323,67423017.23,67471536.78,1.054298484
D2,2022,206110019.9,32426744.26,6163.85886,19091572.27,19097736.13,119265.0689,26177765.68,26297030.75,0.911004837
D2,2023,127775284.4,22186261.74,20633.31356,11446963.76,11467597.08,21701.0315,26618603.47,26640304.5,0.832472115
D2,2024,108695975.3,19640005.01,32639.01422,2853227.253,2885866.268,81477.43473,15061029.76,15142507.19,0.973531839
D2,2025,85720724.75,15092614.82,11627.90588,460041.7481,471669.654,25644.29759,958323.3681,983967.6657,0.959869788
D2,2026,18934890.3,4009634.783,0,1598.138942,1598.138942,0,11042.5268,11042.5268,0.993592246
D2,2027,0,0,0,0,0,0,0,0,1
D3,2000,0,0,0,0,0,0,0,0,1
D3,2001,0,0,0,0,0,0,0,0,1
D3,2002,0,0,0,0,0,0,0,0,1
D3,2003,1145.3932,490.8828,0,0,0,0,0,0,1
D3,2004,8036011.091,2747932.123,0,1866949.98,1866949.98,0,1873349.98,1873349.98,1.028735042
D3,2005,8461331.694,2551472.55,0,1404293.763,1404293.763,0,1466293.763,1466293.763,0.988013691
D3,2006,8327896.564,2624393.29,0,11298841.28,11298841.28,0,11301259.28,11301259.28,0.938072332
D3,2007,10051117.52,3181805.188,0,2863854.297,2863854.297,0,2904653.297,2904653.297,0.965673243
D3,2008,10013229.17,2834804.187,0,3006765.712,3006765.712,0,3131502.712,3131502.712,0.87581126
D3,2009,9914312.291,2910574.083,0,3462060.756,3462060.756,0,3508460.756,3508460.756,1.018041182
D3,2010,11262799.04,3053983.405,0,2637724.78,2637724.78,0,3702842.78,3702842.78,0.992429782
D3,2011,12917970.47,3289204.424,0,22047953.45,22047953.45,0,22050285.45,22050285.45,0.907913411
D3,2012,14857798.94,3458272.323,0,5748840.031,5748840.031,0,5836258.031,5836258.031,0.970015309
D3,2013,15073395.62,3154151.525,10077.4,2904382.603,2914460.003,10077.4,3003382.603,3013460.003,0.977618364
D3,2014,14342103.02,3036233.433,74468.12,3096255.456,3170723.576,119142.12,3360919.456,3480061.576,0.916629759
D3,2015,11552503.48,3019810.04,21007.65,2992767.841,3013775.491,21007.65,3413066.221,3434073.871,0.959127433
D3,2016,11547413.34,3068822.919,3209252.25,3746593.687,6955845.937,3209252.25,4124535.687,7333787.937,0.984102607
D3,2017,15401923.68,4114867.828,6183.3575,10608713.5,10614896.86,6183.3575,11820167.97,11826351.32,0.982980482
D3,2018,21317682.62,4315652.206,23376.0725,11680456.62,11703832.7,23376.0725,14971905.17,14995281.24,1.005757209
D3,2019,56203357.97,10480849.73,72350.2063,13087046.95,13159397.16,74152.2313,27883225.05,27957377.28,1.428258173
D3,2020,122472394.4,17854695.97,102328.2451,3396433.491,3498761.736,167759.4429,6597962.568,6765722.01,1.74117969
D3,2021,161301794.9,22582852.69,51558.54616,14342114.07,14393672.61,56019.31323,15061801.42,15117820.73,1.203420805
D3,2022,148818420.5,23337813.58,68954.10096,6710740.402,6779694.503,177366.6773,19466896.49,19644263.17,0.888153966
D3,2023,116935803.2,19708736.31,29518.52707,5113357.219,5142875.746,31116.01606,13341085.03,13372201.04,0.865769185
D3,2024,99190947.09,18060406.11,15577.28721,1957366.984,1972944.272,29541.15669,3321503.243,3351044.4,0.915238249
D3,2025,58542033.23,10684659.05,543.9071655,253185.8842,253729.7914,3164.46831,500178.1894,503342.6577,0.944604208
D3,2026,25518985.35,5249658.129,0,535.258031,535.258031,0,9126.968776,9126.968776,0.928047734
D3,2027,0,0,0,0,0,0,0,0,1
D4,2000,0,0,0,0,0,0,0,0,1
D4,2001,0,0,0,0,0,0,0,0,1
D4,2002,0,0,0,0,0,0,0,0,1
D4,2003,18820,4705,0,8999.02,8999.02,0,8999.02,8999.02,1
D4,2004,5536798.392,794977.2584,467983.9906,9579.2446,477563.2352,467983.9906,9579.2446,477563.2352,0.916609848
D4,2005,3514398.451,927707.1516,0,223567.5106,223567.5106,0,223567.5106,223567.5106,0.933195302
D4,2006,1680747.364,396026.4838,0,14754.04135,14754.04135,0,14754.04135,14754.04135,1.073090154
D4,2007,1629368.055,578491.291,5116758.644,19073.0019,5135831.646,5116758.644,19073.0019,5135831.646,0.979310923
D4,2008,6868283.316,1045047.807,23984222.94,1443325.138,25427548.08,23984222.94,1443325.138,25427548.08,1.00680805
D4,2009,16646614.4,2924950.639,323766.05,590131.321,913897.371,681070.55,1311845.821,1992916.371,1.154617254
D4,2010,9161234.601,1472076.305,99118.15,526285.3156,625403.4656,99118.15,526285.3156,625403.4656,0.920067887
D4,2011,6626370.172,902161.1052,2499.9975,826061.9876,828561.9851,2499.9975,826061.9876,828561.9851,0.879100006
D4,2012,4502953.756,731302.279,0,18368.7883,18368.7883,0,18368.7883,18368.7883,0.921058171
D4,2013,2799657.497,526207.0238,0,3293731.787,3293731.787,0,3293731.787,3293731.787,0.947413382
D4,2014,2922881.042,609142.8486,0,1188887.347,1188887.347,0,1188887.347,1188887.347,1.05251638
D4,2015,2557255.218,528585.0936,52449.74,19994.16,72443.9,52449.74,19994.16,72443.9,0.927571636
D4,2016,1846324.871,386215.1368,0,32908.5,32908.5,0,32908.5,32908.5,0.95316384
D4,2017,2645050.956,387529.9728,3255341.595,50166.86333,3305508.458,3255341.595,50166.86333,3305508.458,0.977049754
D4,2018,3498037.495,548358.6779,0,37084.19333,37084.19333,0,37084.19333,37084.19333,0.973834977
D4,2019,9638043.209,1672984.353,10556.30158,2119733.599,2130289.901,18002.19548,2210368.774,2228370.97,1.032588353
D4,2020,9021842.279,1277525.218,9960.429388,170948.7844,180909.2138,14484.43784,171514.0566,185998.4944,1.432139194
D4,2021,6174181.152,996175.8886,10959.0505,454854.46,465813.5105,11702.18901,474949.6154,486651.8044,1.110257056
D4,2022,8477331.055,1426594.72,11290.46816,2193900.337,2205190.805,38608.7852,2465952.278,2504561.064,0.855912867
D4,2023,6981978.241,1295766.477,131.7975,96828.26173,96960.05923,131.7975,163278.3199,163410.1174,0.786428321
D4,2024,6889794.381,1333039.051,40.784109,189652.1259,189692.91,74.607137,384374.5412,384449.1483,0.910812209
D4,2025,7203885.67,1365690.331,148.02726,11561.30326,11709.33052,9235.330725,15430.76599,24666.09672,0.966790775
D4,2026,4795043.849,1197519.539,0,38.99087,38.99087,0,218.558625,218.558625,0.942154639
D4,2027,0,0,0,0,0,0,0,0,1
D5,2000,0,0,0,0,0,0,0,0,1
D5,2001,0,0,0,0,0,0,0,0,1
D5,2002,0,0,0,0,0,0,0,0,1
D5,2003,0,0,0,0,0,0,0,0,1
D5,2004,759469.4337,158699.4935,0,35914.01,35914.01,0,35914.01,35914.01,0.827307927
D5,2005,640592.3169,150259.8942,0,12440.555,12440.555,0,12440.555,12440.555,0.944561647
D5,2006,721093.0974,270135.1756,0,2735.137867,2735.137867,0,2735.137867,2735.137867,0.949585441
