"Path","Name","Type","Mode","Optionality","Label","Default Value"
"cds/exposure/granular/crcf/exposure_profile/pre_uw_adj_average_severity","pre_uw_adj_average_severity","float","output","n/a","Pre UW Adj:
Average Severity (at n)","n/a"
"cds/exposure/granular/crcf/exposure_profile/pre_uw_adj_average_loss","pre_uw_adj_average_loss","float","output","n/a","Pre UW Adj:
Average Loss Cost (at n=0)","n/a"
"cds/exposure/granular/crcf/exposure_profile/pre_uw_adj_average_loss_adj_lim_xs","pre_uw_adj_average_loss_adj_lim_xs","float","output","n/a","Pre UW Adj:
Average Loss Cost (after adjustment for limit and excess)","n/a"
"cds/exposure/granular/crcf/exposure_profile/pre_uw_adj_premium_benchmark","pre_uw_adj_premium_benchmark","float","output","n/a","Pre UW Adj:
Benchmark Premium","n/a"
"cds/exposure/granular/crcf/exposure_profile/pre_uw_adj_premium_achieved","pre_uw_adj_premium_achieved","float","output","n/a","Pre UW Adj:
Achieved Premium","n/a"
"cds/exposure/granular/crcf/exposure_profile/pre_uw_adj_premium_achieved_adj_pod","pre_uw_adj_premium_achieved_adj_pod","float","output","n/a","Pre UW Adj:
Expected Achieved Premium","n/a"
"cds/exposure/granular/crcf/exposure_profile/pst_uw_adj_tenor_load","pst_uw_adj_tenor_load","float","output","n/a","Post UW Adj:
Tenor Load","n/a"
"cds/exposure/granular/crcf/exposure_profile/pst_uw_adj_pod_adj_inc","pst_uw_adj_pod_adj_inc","float","output","n/a","Post UW Adj:
Adjusted Probability of Default (at n)","n/a"
"cds/exposure/granular/crcf/exposure_profile/pst_uw_adj_pod_adj_inc_allow_prior","pst_uw_adj_pod_adj_inc_allow_prior","float","output","n/a","Post UW Adj:
Adjusted Probability of Default (at n), allowing for prior defaults","n/a"
"cds/exposure/granular/crcf/exposure_profile/pst_uw_adj_average_severity","pst_uw_adj_average_severity","float","output","n/a","Post UW Adj:
Average Severity (at n)","n/a"
"cds/exposure/granular/crcf/exposure_profile/pst_uw_adj_average_loss","pst_uw_adj_average_loss","float","output","n/a","Post UW Adj:
Average Loss Cost (at n=0)","n/a"
"cds/exposure/granular/crcf/exposure_profile/pst_uw_adj_average_loss_adj_lim_xs","pst_uw_adj_average_loss_adj_lim_xs","float","output","n/a","Post UW Adj:
Average Loss Cost (after adjustment for limit and excess)","n/a"
"cds/exposure/granular/crcf/exposure_profile/pst_uw_adj_premium_benchmark","pst_uw_adj_premium_benchmark","float","output","n/a","Post UW Adj:
Benchmark Premium","n/a"
"cds/exposure/granular/crcf/exposure_profile/pst_uw_adj_premium_achieved","pst_uw_adj_premium_achieved","float","output","n/a","Post UW Adj:
Achieved Premium","n/a"
"cds/exposure/granular/crcf/exposure_profile/pst_uw_adj_premium_achieved_adj_pod","pst_uw_adj_premium_achieved_adj_pod","float","output","n/a","Post UW Adj:
Expected Achieved Premium","n/a"
"cds/exposure/granular/crcf/exposure_profile/implied_lgd_average_loss_adj_lim_xs","implied_lgd_average_loss_adj_lim_xs","float","output","n/a","Implied LGD:
Average Loss Cost (after adjustment for limit and excess)","n/a"
"cds/exposure/granular/crcf/exposure_profile/implied_lgd_average_loss","implied_lgd_average_loss","float","output","n/a","Implied LGD:
Average Loss Cost (at n=0)","n/a"
"cds/exposure/granular/crcf/exposure_profile/implied_lgd_average_severity","implied_lgd_average_severity","float","output","n/a","Implied LGD:
Average Severity (at n)","n/a"
"cds/exposure/granular/crcf/exposure_profile/implied_lgd","implied_lgd","float","output","n/a","Implied LGD:
Loss Given Default (at n)","n/a"
"cds/exposure/granular/crcf/exposure_profile/implied_grade_average_loss_adj_lim_xs","implied_grade_average_loss_adj_lim_xs","float","output","n/a","Implied Grade:
Average Loss Cost (after adjustment for limit and excess)","n/a"
"cds/exposure/granular/crcf/exposure_profile/implied_grade_average_loss","implied_grade_average_loss","float","output","n/a","Implied Grade:
Average Loss Cost (at n=0)","n/a"
"cds/exposure/granular/crcf/exposure_profile/implied_grade_pod_adj_inc_allow_prior","implied_grade_pod_adj_inc_allow_prior","float","output","n/a","Implied Grade:
Cumulative Adjusted Probability of Default (from n=0)","n/a"
"cds/exposure/granular/crcf/exposure_profile/implied_grade_pod_adj_inc","implied_grade_pod_adj_inc","float","output","n/a","Implied Grade:
Adjusted Probability of Default (at n)","n/a"
"cds/exposure/granular/crcf/exposure_profile/implied_grade_pod_inc","implied_grade_pod_inc","float","output","n/a","Implied Grade:
Probability of Default (at n)","n/a"
"cds/exposure/granular/crcf/exposure_profile","exposure_profile","list","n/a","n/a","n/a","n/a"
"cds/exposure/granular/crcf","crcf","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/political/tenor","tenor","float","output","n/a","Tenor (mths)","n/a"
