Rated Premium,Level,Premium Lower,Premium Upper,Rounding amount
"Less than $8,000",1,0,8000,150
"$8,001 - $25,000",2,8001,25000,250
"$25,001 - $50,000",3,25001,50000,450
"$50,001 - $100,000",4,50001,100000,750
"$100,001 - $250,000",5,100001,250000,1500
"$250,001 - $500,000",6,250001,500000,2500
"More than $500,000",7,500001,0,5500
