Band,GLM ModelRelativity,"""Mid""-point",Lower,Upper,SelectedRelativityLower,SelectedRelativityUpper
<250k,1.0,125000,0,125000,1.0,1.0
<250k,1.0,125000,125000,2125000,1.0,1.1692062093671298
250k-4m,1.1692062093671298,2125000,2125000,6800000,1.1692062093671298,1.8206376295118585
4m+,1.8206376295118585,6800000,6800000,1000000000,1.8206376295118585,1.8206376295118585
