ParameterName,Value
ArelDismissed,0.5
BNoCase,0.8
BDismissed,0.02
ProbDIC,0.01
ProbPlaintiff,0.038461538461538464
Z_BaseConstant,0.111803398874989
Z_BaseLambda,-1.34119826036175
Z_Max,0.1
Z_T1,1.2
Z_T2,1.4
Z_T3,3.3
Z_T4,0.6
Z_T5,0.999
SideACatLoad,0.13
s_adjustment,0.0
sd_adjustment,0.5
d_adjustment,1.0
ma_adjustment,0.0
def_dis_adjusment,0.0
sca_monc_adjustment,0.0
der_monc_adjustment,1.0
