Lag,Sector,Factor,Reduction to apply in RC
0,0,2.67,1.0
1,0,1.66,0.7
2,0,1.45,0.8
3,0,1.03,0.8
4,0,1.0,0.8
5,0,1.0,1.0
0,1,1.41,1.0
1,1,1.25,0.8865248226950355
2,1,1.15,0.9199999999999999
3,1,1.1,0.9565217391304349
4,1,1.0,0.9090909090909091
5,1,1.0,1.0
