Mcap Lower,Mcap Upper,Factor Lower,Factor Upper
0,500000000,1.2,1.2
500000000,3000000000,1.2,1.1
3000000000,45000000000,1.1,1.0
45000000000,150000000000,1.0,0.75
150000000000,150000000000,0.75,0.75
