Retention - Low,Retention - High,Asset Size - 0,Asset Size - 50000000,Asset Size - 150000000
0,5000,1.3,0,0
5000,10000,1.2,1.6,0
10000,15000,1.1,1.45,2.25
15000,20000,1,1.3,2
20000,25000,0.95,1.25,1.75
25000,30000,0.9,1.15,1.6
30000,35000,0.85,1.1,1.5
35000,40000,0.8,1,1.4
40000,50000,0.75,0.95,1.3
50000,75000,0.7,0.9,1.2
75000,100000,0.6,0.85,1
100000,250000,0.5,0.8,0.9
250000,500000,0.4,0.7,0.8
500000,1000000,0,0.55,0.75
1000000,999999999,0,0.45,0.6
