Total Assets,Asset Range 1 Lower,Asset Range 1 Upper,Asset Range 2,Annual Premium
Less than $10mm,0,10000000,10000000,8000
$10mm to $25mm,10000000,25000000,15000000,10000
$25mm to $50mm,25000000,50000000,25000000,14000
$51mm to $100mm,50000000,100000000,50000000,18000
$101mm to $250mm,100000000,250000000,150000000,30000
$250mm to $500mm,250000000,500000000,250000000,42000
$500mm to $750mm,500000000,750000000,250000000,51000
$750mm to $1B,750000000,1000000000,250000000,61000
$1B to $5B,1000000000,5000000000,4000000000,68000
$5B to $10B,5000000000,10000000000,5000000000,75000
$10B to $50B,10000000000,50000000000,40000000000,90000
$50B to $100B,50000000000,100000000000,50000000000,100000
Greater than $100B,100000000001,100000000002,0,0
