Excess Lower,Excess Upper,Factor Lower,Factor Upper
0,10000000,1.0,1.23912134806749
10000000,20000000,1.23912134806749,1.4180783975019065
20000000,30000000,1.4180783975019065,1.56
30000000,40000000,1.56,1.6767256370269648
40000000,50000000,1.6767256370269648,1.7751969657759985
50000000,60000000,1.7751969657759985,1.8598496619770049
60000000,70000000,1.8598496619770049,1.9337005954033148
70000000,80000000,1.9337005954033148,1.9988931111611747
80000000,90000000,1.9988931111611747,2.0570051095393986
90000000,100000000,2.0570051095393986,2.109224627108097
100000000,110000000,2.109224627108097,2.1564863629054796
110000000,120000000,2.1564863629054796,2.199511366044387
120000000,130000000,2.199511366044387,2.238895705189663
130000000,140000000,2.238895705189663,2.275107443222177
140000000,150000000,2.275107443222177,2.3085446143912143
150000000,160000000,2.3085446143912143,2.339537721284927
160000000,170000000,2.339537721284927,2.3683529611552023
170000000,180000000,2.3683529611552023,2.3952360974900957
180000000,190000000,2.3952360974900957,2.4203854072408726
190000000,200000000,2.4203854072408726,2.443963734970417
200000000,210000000,2.443963734970417,2.4661398349626
210000000,220000000,2.4661398349626,2.4870208437498453
220000000,230000000,2.4870208437498453,2.506726863385283
230000000,240000000,2.506726863385283,2.525363949821305
240000000,250000000,2.525363949821305,2.5430292954087483
250000000,260000000,2.5430292954087483,2.5597947779517156
260000000,270000000,2.5597947779517156,2.5757149731733118
270000000,280000000,2.5757149731733118,2.590866096334716
280000000,290000000,2.590866096334716,2.6053117414604614
290000000,300000000,2.6053117414604614,2.6191001615551044
300000000,310000000,2.6191001615551044,2.6322769025080857
310000000,320000000,2.6322769025080857,2.6448937737190303
320000000,330000000,2.6448937737190303,2.6569500807104127
330000000,340000000,2.6569500807104127,2.6685081243638127
340000000,350000000,2.6685081243638127,2.6796133289107296
350000000,360000000,2.6796133289107296,2.6902731294061697
360000000,370000000,2.6902731294061697,2.7004975132022944
370000000,380000000,2.7004975132022944,2.710367678712702
380000000,390000000,2.710367678712702,2.7198570649562033
390000000,400000000,2.7198570649562033,2.7289992933267957
400000000,410000000,2.7289992933267957,2.7378292605818837
410000000,420000000,2.7378292605818837,2.746300870502971
420000000,430000000,2.746300870502971,2.7545757888609783
430000000,440000000,2.7545757888609783,2.7624756899325806
440000000,450000000,2.7624756899325806,2.7701429979113197
450000000,460000000,2.7701429979113197,2.7776447138042317
460000000,470000000,2.7776447138042317,2.784805109893558
470000000,480000000,2.784805109893558,2.791717910450788
480000000,490000000,2.791717910450788,2.7984908219702165
490000000,500000000,2.7984908219702165,2.805138598411788
500000000,510000000,2.805138598411788,2.811425725695683
510000000,520000000,2.811425725695683,2.8175290373008517
520000000,530000000,2.8175290373008517,2.8235414765538343
530000000,540000000,2.8235414765538343,2.829418848628509
540000000,550000000,2.829418848628509,2.8351371658202664
550000000,560000000,2.8351371658202664,2.840578944138575
560000000,570000000,2.840578944138575,2.8458443954815262
570000000,580000000,2.8458443954815262,2.8510863717215997
580000000,590000000,2.8510863717215997,2.8561441724473813
590000000,600000000,2.8561441724473813,2.861198962436525
600000000,610000000,2.861198962436525,2.8660647743660435
610000000,620000000,2.8660647743660435,2.870727204375345
620000000,630000000,2.870727204375345,2.875191316660368
630000000,640000000,2.875191316660368,2.879621534833521
640000000,650000000,2.879621534833521,2.8839672543555226
650000000,660000000,2.8839672543555226,2.8882054837324116
660000000,670000000,2.8882054837324116,2.8924437131092997
670000000,680000000,2.8924437131092997,2.8965213038042084
680000000,690000000,2.8965213038042084,2.9005675443848338
690000000,700000000,2.9005675443848338,2.904613784965459
700000000,710000000,2.904613784965459,2.9082479263252137
710000000,720000000,2.9082479263252137,2.911858573149473
720000000,1000000000000,2.911858573149473,3.0
