Rated Premium,Level,Premium,Rounding amount
"Less than $8,000",1,0,150
"$8,001 - $25,000",2,8001,250
"$25,001 - $50,000",3,25001,450
"$50,001 - $100,000",4,50001,750
"$100,001 - $250,000",5,100001,1500
"$250,001 - $500,000",6,250001,2500
"More than $500,000",7,500001,5500
