Bankruptcy Rating,BankruptcyScore,Load
AAA,0.00732859699010943,1.0
AA+,0.00842483668132408,1.0
AA,0.00968505611684944,1.0
AA-,0.0111337840167818,1.0
A+,0.0127992182013985,1.0
A,0.0147137744292585,1.0
A-,0.0169147173326138,1.0
BBB+,0.0194448857305639,1.0
BBB,0.0223535264373385,1.0
BBB-,0.0256972527948251,1.0
BB+,0.0295411465860763,1.0731349438579656
BB,0.0339600247772707,1.089305367449151
BB-,0.0390398957438035,1.10785379074545
B+,0.0448796333242705,1.1305700511736756
B,0.0515929012858767,1.1575230333233004
B-,0.0593103656587747,1.1901307157969268
CCC+,0.0681822379998723,1.2301860510798066
CCC,0.07838119908781,1.2794453089446272
CCC-,0.15625,1.4289925767529448
CC,0.3125,1.8504527321916826
C,0.625,2.0
D/SD,0.625,2.0
