Band,GLM ModelRelativity,"""Mid""-point",Lower,Upper,SelectedRelativityLower,SelectedRelativityUpper
0-2,1.0,1.0,0.0,1.0,0.5739196377433218,0.5739196377433218
0-2,1.0,1.0,1.0,2.5,0.5739196377433218,1.0
2-3,1.7424042221870044,2.5,2.5,4.26,1.0,1.591064782994651
>=3,2.7722779956629298,4.26,4.26,1000.0,1.591064782994651,1.591064782994651
