SICCode,Admitted
2679,Paper
2711,Printing and Publishing
2721,Printing and Publishing
2731,Printing and Publishing
2732,Printing and Publishing
2741,Printing and Publishing
2750,Printing and Publishing
2752,Printing and Publishing
2754,Printing and Publishing
2759,Printing and Publishing
2761,Printing and Publishing
2771,Printing and Publishing
2780,Paper
2782,Paper
2789,Paper
2790,Paper
2791,Printing and Publishing
2796,Printing and Publishing
2800,Printing and Publishing
2810,Manufacturing - All other 
2812,Manufacturing - All other 
2813,Manufacturing - All other 
2816,Manufacturing - All other 
2819,Manufacturing - Chemicals
2820,Manufacturing - Chemicals
2821,Manufacturing - All other 
2822,Manufacturing - All other 
2823,Manufacturing - All other 
2824,Manufacturing - All other 
2833,Pharmaceuticals
2834,Pharmaceuticals
2835,Pharmaceuticals
2836,Pharmaceuticals
2840,Manufacturing - All other 
2841,Manufacturing - All other 
2842,Manufacturing - All other 
2843,Manufacturing - All other 
2844,Manufacturing - All other 
2851,Manufacturing - All other 
2860,Manufacturing - Chemicals
2861,Manufacturing - Chemicals
2865,Manufacturing - Chemicals
2869,Manufacturing - Chemicals
2870,Manufacturing - Chemicals
2873,Manufacturing - Chemicals
2874,Manufacturing - Chemicals
2875,Manufacturing - Chemicals
2879,Manufacturing - Chemicals
2890,Manufacturing - Chemicals
2891,Manufacturing - Chemicals
2892,Manufacturing - Chemicals
2893,Manufacturing - Chemicals
2895,Manufacturing - Chemicals
2899,Manufacturing - Chemicals
2911,Oil and Gas
2951,Building Materials
2952,Building Materials
2990,Oil and Gas
2992,Oil and Gas
2999,Oil and Gas
3011,Manufacturing - All other 
3021,Manufacturing - All other 
3050,Manufacturing - All other 
3052,Manufacturing - All other 
3053,Manufacturing - All other 
3061,Manufacturing - All other 
3069,Manufacturing - All other 
3080,Manufacturing - All other 
3081,Manufacturing - All other 
3082,Manufacturing - All other 
3083,Manufacturing - All other 
3084,Manufacturing - All other 
3085,Manufacturing - All other 
3086,Manufacturing - All other 
3087,Manufacturing - All other 
3088,Manufacturing - All other 
3089,Manufacturing - All other 
3100,Manufacturing - All other 
3111,Manufacturing - All other 
3131,Manufacturing - All other 
3140,Manufacturing - Apparel
3142,Manufacturing - Apparel
3143,Manufacturing - Apparel
3144,Manufacturing - Apparel
3149,Manufacturing - Apparel
3151,Manufacturing - Apparel
3161,All other 
3171,Manufacturing - Apparel
3172,Manufacturing - Apparel
3199,Manufacturing - All other 
3211,Building Materials
3220,Manufacturing - All other 
3221,Manufacturing - All other 
3229,Manufacturing - All other 
3231,Manufacturing - All other 
3241,Building Materials
3250,Building Materials
3251,Building Materials
3253,Building Materials
3255,Manufacturing - All other 
3259,Building Materials
3260,Building Materials
3261,Manufacturing - All other 
3262,Manufacturing - All other 
3263,Manufacturing - All other 
3264,Manufacturing - All other 
3269,Manufacturing - All other 
3270,Manufacturing - All other 
3271,Building Materials
3272,Manufacturing - All other 
3273,Building Materials
3274,Building Materials
3275,Manufacturing - All other 
3281,Building Materials
3290,Manufacturing - All other 
3291,Manufacturing - All other 
3292,Manufacturing - All other 
3295,Manufacturing - All other 
3296,All other 
3297,Manufacturing - All other 
3299,Manufacturing - All other 
3310,Manufacturing - All other 
3312,Manufacturing - All other 
3313,Manufacturing - All other 
3315,Manufacturing - All other 
3316,Manufacturing - All other 
3317,Manufacturing - All other 
3320,Manufacturing - All other 
3321,Manufacturing - All other 
3322,Manufacturing - All other 
3324,Manufacturing - All other 
3325,Manufacturing - All other 
3330,Manufacturing - All other 
3331,Manufacturing - All other 
3334,Manufacturing - All other 
3339,Manufacturing - All other 
3341,Manufacturing - All other 
3350,Manufacturing - All other 
3351,Manufacturing - All other 
3353,Manufacturing - All other 
3354,Manufacturing - All other 
3355,Manufacturing - All other 
3356,Manufacturing - All other 
3357,Manufacturing - All other 
3360,Manufacturing - All other 
3363,Manufacturing - All other 
3364,Manufacturing - All other 
3365,Manufacturing - All other 
3366,Manufacturing - All other 
3369,Manufacturing - All other 
3390,Manufacturing - All other 
3398,Manufacturing - All other 
3399,Manufacturing - All other 
3411,Manufacturing - All other 
3412,Manufacturing - All other 
3420,Manufacturing - All other 
3421,Manufacturing - All other 
3423,Manufacturing - All other 
3425,Manufacturing - All other 
3429,Manufacturing - All other 
3430,Manufacturing - All other 
3431,Manufacturing - All other 
3432,Manufacturing - All other 
3433,Manufacturing - All other 
3440,Manufacturing - All other 
3441,Manufacturing - All other 
3442,Manufacturing - All other 
3443,Manufacturing - All other 
3444,Manufacturing - All other 
3446,Manufacturing - All other 
3448,Manufacturing - All other 
3449,Manufacturing - All other 
3451,Manufacturing - All other 
3452,Manufacturing - All other 
3460,Manufacturing - All other 
3462,Manufacturing - All other 
3463,Manufacturing - All other 
3465,Manufacturing - All other 
3466,Manufacturing - All other 
3469,Manufacturing - All other 
3470,Manufacturing - All other 
3471,Manufacturing - All other 
3479,Manufacturing - All other 
3480,Manufacturing - All other 
3482,Manufacturing - All other 
3483,Manufacturing - All other 
3484,Manufacturing - All other 
3489,Manufacturing - All other 
3490,Manufacturing - All other 
3491,Manufacturing - All other 
3492,Manufacturing - All other 
3493,Manufacturing - All other 
3494,Manufacturing - All other 
3495,Manufacturing - All other 
3496,Manufacturing - All other 
3497,Manufacturing - All other 
3498,Manufacturing - All other 
3499,Manufacturing - All other 
3510,Manufacturing - Machinery
3511,Manufacturing - Machinery
3519,Manufacturing - Machinery
3523,Manufacturing - Machinery
3524,Manufacturing - All other 
3530,Manufacturing - Machinery
3531,Manufacturing - Machinery
3532,Manufacturing - Machinery
3533,Manufacturing - Machinery
3534,Manufacturing - Machinery
3535,Manufacturing - Machinery
3536,Manufacturing - Machinery
3537,Manufacturing - Machinery
3540,Manufacturing - Machinery
3541,Manufacturing - Machinery
3542,Manufacturing - Machinery
3543,Manufacturing - Machinery
3544,Manufacturing - Machinery
3545,Manufacturing - Machinery
3546,Manufacturing - Machinery
3547,Manufacturing - Machinery
3548,Manufacturing - Machinery
3549,Manufacturing - Machinery
3550,Manufacturing - Machinery
3552,Manufacturing - Machinery
3553,Manufacturing - Machinery
3554,Manufacturing - Machinery
3555,Manufacturing - Machinery
3556,Manufacturing - Machinery
3559,Manufacturing - Machinery
3560,Manufacturing - Machinery
3561,Manufacturing - Machinery
3562,Manufacturing - Machinery
3563,Manufacturing - Machinery
3564,Manufacturing - Machinery
3565,Manufacturing - Machinery
3566,Manufacturing - Machinery
3567,Manufacturing - Machinery
3568,Manufacturing - Machinery
3569,Manufacturing - Machinery
3570,Manufacturing - Machinery
3571,Manufacturing - Computers
3572,Manufacturing - Computers
3575,Manufacturing - Computers
3576,Manufacturing - Computers
3577,Manufacturing - Computers
3578,Manufacturing - Computers
