Rated Premium Lower,Rated Premium Upper,Round Up,Round Down
0,8001,150,150
8001,25001,250,250
25001,50001,450,450
50001,100001,750,750
100001,250001,1500,1500
250001,500001,2500,2500
500001,1000000000,5500,5500
