Band,GLM ModelRelativity,"""Mid""-point",Lower,Upper,SelectedRelativityLower,SelectedRelativityUpper
<40%,1.0,0.2,0.0,0.2,0.9947695330332617,1.0158156264266094
<40%,1.0,0.2,0.2,0.7,1.0158156264266094,1.0684308599099785
>=40%,1.5655539307076551,0.7,0.7,1.0,1.0684308599099785,1.1
