Class,Year,CAT Load,CHE,Variable Expenses,Fixed Expenses,RI /GP,RI REC / GP,Invesment Income,Captial Per GNP,Number of Policies,GNP,Cost of RI,CHE Rate,Scale Factor
UK,2023,0,0.0,0.092,3913.0,0.0,0.0,0.07,0.0,0,0.0,0.125,0.0,0.8042858368799138
UK,2024,0,1674256.8584481846,0.12670866418347637,5683.829767,0.12480865041752161,0.09296554137415951,0.11972845973075151,1.345169104308269,461,109940000.00000001,0.0318431090433621,0.015228823525997675,0.8494511612130031
UK,2025,0,1694117.6186946547,0.13609638189370196,4145.3907633922545,0.14826260879373937,0.10899125953756315,0.12128086187748031,1.46980782683954,551,96999999.99999999,0.039271349256176216,0.017465130089635617,0.7831172421985751
UK,2026,0,1948801.9242588994,0.14056892858488157,4207.9468614887755,0.15644824297501367,0.12337810219755951,0.10644514596900896,1.2344477276084938,631,95000000.00000001,0.033070140777454154,0.02051370446588315,0.8302757668175264
US,2023,0,0.0,0.079,1509.0,0.0,0.0,0.07,0.0,0,0.0,0.078,0.0,0.7165280609492525
US,2024,0,1389364.412663765,0.1487512314516999,3980.015521,0.11709145439220228,0.09418815489211796,0.12131163416651145,1.357030434599185,661,83650000.0,0.022903299500084323,0.016609257772429945,0.7234696568175585
US,2025,0,1345762.6551560143,0.1571486290239258,3085.5911177255757,0.1614708265090356,0.12109166770735652,0.11940011313389415,1.2516046844687456,652,73999999.99999997,0.04037915880167908,0.01818598182643263,0.6605621293323881
US,2026,0,1195678.8267127778,0.18621693773385267,3577.9602755272604,0.13939396137249813,0.09905070613792669,0.12208573311598579,1.4106837036095405,669,70999999.99999999,0.04034325523457144,0.01684054685510955,0.6376419717086933
