MarketCap Lower,MarketCap Upper,Cost Lower,Cost Upper
1,100000000,750000.0,750000.0
100000000,1000000000,750000.0,1125000.0
1000000000,10000000000,1125000.0,1500000.0
10000000000,50000000000,1500000.0,2897940.008672037
50000000000,1000000000000,2897940.008672037,3500000.0
1000000000000,999000000000000,3500000.0,3500000.0
