Mcap Lower,Mcap Upper,Factor Lower,Factor Upper
0,500000000,1.1,1.1
500000000,3000000000,1.1,1.05
3000000000,45000000000,1.05,1.0
45000000000,150000000000,1.0,0.9
150000000000,150000000000,0.9,0.9
