State,Code,Primary Type,ILF Type,Severity Type,Schedule Rating
New York (FTZ),NYFTZ,Standard,Standard,Standard,Standard
Alabama,AL,Standard,Standard,Standard,Standard
Alaska,AK,Standard,Standard,Standard,Standard
Arizona,AZ,Standard,Standard,Standard,Standard
Arkansas,AR,Standard,Standard,Standard,Standard
California,CA,Standard,Standard,Standard,Standard
Colorado,CO,Standard,Standard,Standard,Standard
Connecticut,CT,Standard,Standard,Standard,Standard
Delaware,DE,Standard,Standard,Standard,Standard
Florida,FL,Excl,Limited,Standard,Florida
Georgia,GA,Standard,Standard,Standard,Standard
Hawaii,HI,Excl,Standard,Standard,Standard
Idaho,ID,Standard,Standard,Standard,Standard
Illinois,IL,Standard,Standard,Standard,Standard
Indiana,IN,Standard,Standard,Standard,Standard
Iowa,IA,Standard,Standard,Standard,Standard
Kansas,KS,Standard,Standard,Standard,Standard
Kentucky,KY,Standard,Standard,Standard,Standard
Louisiana,LA,Standard,Standard,Standard,Standard
Maine,ME,Standard,Standard,Standard,Standard
Maryland,MD,Standard,Standard,Standard,Standard
Massachusetts,MA,Standard,Standard,Standard,Standard
Michigan,MI,Standard,Standard,Standard,Standard
Minnesota,MN,Standard,Standard,Standard,Standard
Mississippi,MS,Standard,Standard,Standard,Standard
Missouri,MO,Standard,Standard,Limited,Standard
Montana,MT,Standard,Standard,Standard,Standard
Nebraska,NE,Standard,Standard,Standard,Standard
Nevada,NV,Standard,Standard,Standard,Standard
New Hampshire,NH,Standard,Standard,Standard,Standard
New Jersey,NJ,Standard,Standard,Standard,Standard
New Mexico,NM,Standard,Standard,Standard,Standard
New York,NY,Standard,Standard,Standard,Standard
North Carolina,NC,Standard,Standard,Standard,Standard
North Dakota,ND,Standard,Standard,Standard,Standard
Ohio,OH,Standard,Standard,Standard,Standard
Oklahoma,OK,Standard,Standard,Standard,Standard
Oregon,OR,Standard,Standard,Standard,Standard
Pennsylvania,PA,Standard,Standard,Standard,Standard
Rhode Island,RI,Standard,Standard,Standard,Standard
South Carolina,SC,Standard,Standard,Standard,Standard
South Dakota,SD,Standard,Standard,Limited,Standard
Tennessee,TN,Standard,Standard,Standard,Standard
Texas,TX,Standard,Standard,Standard,Standard
Utah,UT,Standard,Standard,Standard,Standard
Vermont,VT,Standard,Standard,Standard,Standard
Virginia,VA,Standard,Standard,Standard,Standard
Washington,WA,Standard,Standard,Limited,Standard
West Virginia,WV,Standard,Standard,Standard,Standard
Wisconsin,WI,Standard,Standard,Standard,Standard
Wyoming,WY,Standard,Standard,Standard,Standard
District of Columbia,DC,Standard,Standard,Standard,Standard
