Country,HighOrLowRisk,BridgePricing
American Samoa,L,500
Anguilla,L,500
Antigua,L,500
Australia,H,1000
Austria,H,1000
Bahamas,L,500
Barbados,L,500
Belgium,H,1000
Bermuda,L,500
British Virgin Islands,L,500
Bulgaria,L,500
Canada,H,1000
Cayman Islands,L,500
Croatia,L,500
Cyprus,L,500
Czech Republic,L,500
Denmark,L,500
Dominica,L,500
Estonia,L,500
Falkland Islands,L,500
Finland,L,500
France,H,1000
French Guiana,L,500
French Polynesia,L,500
Germany,H,1000
Gibraltar,L,500
Greece,L,500
Grenada,L,500
Guadeloupe,L,500
Guam,L,500
Guernsey,L,500
Hong Kong SAR,L,500
Hungary,L,500
Iceland,L,500
Ireland,L,500
Isle of Man,L,500
Israel,L,500
Italy,H,1000
Jamaica,L,500
Jersey,L,500
Latvia,L,500
Liechtenstein,L,500
Lithuania,L,500
Luxembourg,L,500
Malawi,L,500
Malta,L,500
Martinique,L,500
Mauritius,L,500
Monaco,L,500
Netherlands,H,1000
New Caledonia,L,500
New Zealand,H,1000
Norway,L,500
Poland,L,500
Portugal,L,500
Reunion,L,500
Romania,L,500
Saint Martin,L,500
Saint Barthelemy,L,500
Singapore,L,500
Slovakia,L,500
Slovenia,L,500
South Africa,L,500
Spain,L,500
St Kitts & Nevis,L,500
St Lucia,L,500
St Vincent,L,500
Sweden,L,500
Switzerland,L,500
Trinidad & Tobago,L,500
UK,L,500
US Virgin Islands,L,500
Vanuatu,L,500
Wallis & Futuna,L,500
Zimbabwe,L,500
