ParameterName,Value
FreqSa,0.004707251258893918
FreqSb,15.065033096356204
FreqVa,0.004707251258893918
FreqVb,15.065033096356204
FreqWa,0.004707251258893918
FreqWb,15.065033096356204
MCapMin,25000000000.0
MinBand5Trigger,0.01
Side A MCapMin,5000000000.0
SCAFrequencyCap,0.16
DerivFrequencyCap,0.17
BaseMCap,375000000.0
InsiderShareMin,0.2
InsiderShareRate,0.6
CanadaFactor,0.95
