Indemnity Lower,Indemnity Upper,Difference,Factor,CumF
0,10000000,10000000,0.32,0.0
10000000,20000000,10000000,0.26,0.32
20000000,30000000,10000000,0.23,0.29
30000000,40000000,10000000,0.2,0.27
40000000,50000000,10000000,0.18,0.2525
50000000,75000000,25000000,0.16,0.238
75000000,100000000,25000000,0.14,0.212
100000000,1000100000000,1000000000000,0.12,0.194
