Name,Mode,CDS level,Coverage,Relative path,Rater Defined?,Type,Default,Label hx
insured_name,Input,cds/standard_fields,,/insured_name,N,str,,
policy_reference,Input,cds/standard_fields,,/policy_reference,N,str,,
rw_broker,Input,cds,,/rw_broker,Y,str,,Retail/Wholesale Broker
code,Input,cds/currencies,,/rates/code,N,str,,
quoted_premium,Output,cds/layers,,/quoted_premium,N,float,,Gross Quoted Premium
uw_rationale,Input,cds/standard_fields,,/uw_rationale,N,str,,Underwriter Rationale
benchmark_premium,Output,cds/layers,,/benchmark_premium,N,float,,Gross Benchmark Premium
bpi,Output,cds/layers,,/bpi,N,float,,BPI
technical_premium,Output,cds/layers,,/technical_premium,N,float,,Gross Technical Premium
tpi,Output,cds/layers,,/tpi,N,float,,TPI
technical_premium_pre_uw_adj,Output,cds/layers,,/technical_premium_pre_uw_adj,N,float,,Gross Technical Premium (Pre-UW Adjustment)
tpi_pre_uw_adj,Output,cds/layers,,/tpi_pre_uw_adj,N,float,,TPI (Pre-UW Adjustment)
profit,Output,cds/layers,,/profit,Y,float,,Profit
total_capital,Output,cds/layers,,/total_capital,Y,float,,Total Capital
uw_location,Output,cds,,/uw_location,Y,str,,
company_name,Input,cds,,/company_name,Y,str,,Company Name
company_search,Input,cds,,/company_search,Y,str,,Company Search
ticker,Input,cds,,/ticker,Y,str,,Ticker
company_country,Input,cds,,/company_country,Y,str,,Country
company_state,Input,cds,,/company_state,Y,str,,State
incorporated_state,Input,cds,,/incorporated_state,Y,str,,Incorporated State
hq_state,Input,cds,,/hq_state,Y,str,,HQ State
hq_city,Input,cds,,/hq_city,Y,str,,HQ City
airport_city,Input,cds,,/airport_city,Y,str,,Airport City
market_cap,Input,cds/exposure/aggregate,,/market_cap,Y,float,,Market Cap
market_cap_info,Output,cds/exposure/aggregate,,/market_cap_info,Y,str,,
insider_share,Input,cds/exposure/aggregate,,/insider_share,Y,float,0,Insider Share %
insider_share_info,Output,cds/exposure/aggregate,,/insider_share_info,Y,str,,
revised_market_cap,Output,cds/exposure/aggregate,,/revised_market_cap,Y,float,,Revised Market Cap
revised_market_cap_comment,Input,cds/exposure/aggregate,,/revised_market_cap_comment,Y,str,,Market Cap Comment
total_assets,Input,cds/exposure/aggregate,,/total_assets,Y,float,,Total Assets
ipo_date,Input,cds/exposure/aggregate,,/ipo_date,Y,date,,IPO Date
ipo_date_comment,Input,cds/exposure/aggregate,,/ipo_date_comment,Y,str,,IPO Date Comment
coverage,Input,cds,,/coverage,Y,str,ABC,"ABC, Side A or Armour"
is_abc,Output,cds,,/is_abc,Y,bool,,
is_side_a,Output,cds,,/is_side_a,Y,bool,,
pipeline_premium,Input,cds,,/pipeline_premium,Y,float,,Pipeline Premium
opportunity_code,Input,cds,,/opportunity_code,Y,str,,Opportunity Code
under_jobs_act,Input,cds,,/under_jobs_act,Y,bool,FALSE,Tick if Issued Under Jobs Act
core_account,Input,cds,,/core_account,Y,str,,Core Account
credit_rating,Input,cds/exposure/aggregate,,/credit_rating,Y,str,,Credit Rating
credit_rating_estimated,Input,cds/exposure/aggregate,,/credit_rating_estimated,Y,str,,Credit Rating Estimated?
credit_rating_override,Input,cds/exposure/aggregate,,/credit_rating_override,Y,str,,Credit Rating Override?
company_description,Input,cds,,/company_description,Y,str,,Company Description
comment,Input,cds,,/comment,Y,str,,General Comments
claims_history,Input,cds,,/claims_history,Y,str,,Claims History
t_and_c_comment,Input,cds,,/t_and_c_comment,Y,str,,T&C
minimum_trading_volume,Input,cds/exposure/aggregate,,/minimum_trading_volume,Y,float,,Minimum Trading Volume
volatility_of_trading,Input,cds/exposure/aggregate,,/volatility_of_trading,Y,float,,Volatility of Trading During Downturn
execs_under_age_50,Input,cds/exposure/aggregate,,/execs_under_age_50,Y,float,,Percentage of Execturives under age 50
year_founded,Input,cds/exposure/aggregate,,/year_founded,Y,float,,Year Founded
code_type,Output,cds/key_industry,,/code_type,N,str,,
code,Output,cds/key_industry,,/code,N,float,,
code_name,Input,cds/key_industry,,/code_name,N,str,,
sector_name,Input,cds/key_industry,,/sector_name,Y,str,,Sector
sic_percentage,Input,cds/key_industry,,/sic_percentage,Y,float,1,SIC Percentage
sector_id,Output,cds/key_industry,,/sector_id,Y,float,,
sector_message,Output,cds/key_industry,,/sector_message,Y,str,,Sector Message
sector_base_frequency,Output,cds/key_industry,,/sector_base_frequency,Y,float,,
sector_uw_override,Input,cds/key_industry,,/sector_uw_override,Y,float,,Underwriter Override
sector_uw_override_comment,Input,cds/key_industry,,/sector_uw_override_comment,Y,str,,Underwriter Override Comment
sector_unity_frequency,Output,cds/key_industry,,/sector_unity_frequency,Y,float,,Sector Base Frequency
sic_code_2,Output,cds/key_industry,,/sic_code_2,Y,str,,SIC Code 2
sic_description_2,Input,cds/key_industry,,/sic_description_2,Y,str,,SIC Description 2
sector_2,Input,cds/key_industry,,/sector_2,Y,str,,Sector 2
sic_percentage_2,Input,cds/key_industry,,/sic_percentage_2,Y,float,,SIC Percentage 2
sector_id_2,Output,cds/key_industry,,/sector_id_2,Y,float,,
