"Path","Name","Type","Mode","Label","Default Value"
"cds/exposure/granular/eo_ae_landscape_architecture/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_ae_landscape_architecture/show_row","show_row","bool","output","Landscape Architecture","n/a"
"cds/exposure/granular/eo_ae_landscape_architecture","eo_ae_landscape_architecture","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_ae_mechanical_engineering/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_ae_mechanical_engineering/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_ae_mechanical_engineering/show_row","show_row","bool","output","Mechanical Engineering","n/a"
"cds/exposure/granular/eo_ae_mechanical_engineering","eo_ae_mechanical_engineering","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_ae_project_coordination/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_ae_project_coordination/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_ae_project_coordination/show_row","show_row","bool","output","Project Coordination","n/a"
"cds/exposure/granular/eo_ae_project_coordination","eo_ae_project_coordination","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_ae_project_management/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_ae_project_management/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_ae_project_management/show_row","show_row","bool","output","Project Management","n/a"
"cds/exposure/granular/eo_ae_project_management","eo_ae_project_management","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_ae_quantity_surveying/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_ae_quantity_surveying/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_ae_quantity_surveying/show_row","show_row","bool","output","Quantity Surveying","n/a"
"cds/exposure/granular/eo_ae_quantity_surveying","eo_ae_quantity_surveying","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_ae_residential_surveys/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_ae_residential_surveys/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_ae_residential_surveys/show_row","show_row","bool","output","Residential Surveys","n/a"
"cds/exposure/granular/eo_ae_residential_surveys","eo_ae_residential_surveys","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_ae_soils_engineering/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_ae_soils_engineering/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_ae_soils_engineering/show_row","show_row","bool","output","Soils Engineering","n/a"
"cds/exposure/granular/eo_ae_soils_engineering","eo_ae_soils_engineering","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_ae_structural_engineering/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_ae_structural_engineering/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_ae_structural_engineering/show_row","show_row","bool","output","Structural Engineering","n/a"
"cds/exposure/granular/eo_ae_structural_engineering","eo_ae_structural_engineering","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_ae_structural_surveys/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_ae_structural_surveys/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_ae_structural_surveys/show_row","show_row","bool","output","Structural Surveys","n/a"
"cds/exposure/granular/eo_ae_structural_surveys","eo_ae_structural_surveys","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_ae_town_planning/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_ae_town_planning/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_ae_town_planning/show_row","show_row","bool","output","Town Planning","n/a"
"cds/exposure/granular/eo_ae_town_planning","eo_ae_town_planning","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_ae_valuations/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_ae_valuations/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_ae_valuations/show_row","show_row","bool","output","Valuations","n/a"
"cds/exposure/granular/eo_ae_valuations","eo_ae_valuations","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_ae_other/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_ae_other/relativity","relativity","float","output","Relativity","n/a"
