curve,LimitLow,LimitHigh,Ilf
Crime,0,100000,0.35
Crime,100000,250000,0.5
Crime,250000,500000,0.75
Crime,500000,750000,0.9
Crime,750000,1000000,1
Crime,1000000,2000000,1.366
Crime,2000000,2500000,1.51
Crime,2500000,3000000,1.639
Crime,3000000,4000000,1.866
Crime,4000000,5000000,2.063
Crime,5000000,7500000,2.476
Crime,7500000,10000000,2.818
Crime,10000000,15000000,3.383
Crime,15000000,20000000,4.257
Crime,20000000,30000000,4.713751142
Crime,30000000,40000000,5.3714166
Crime,40000000,50000000,5.9440983
Crime,50000000,75000000,6.498852359
Crime,75000000,100000000,7.717670047
Crime,100000000,150000000,8.718683176
Crime,150000000,200000000,10.35381576
Crime,200000000,300000000,11.69674769
EPL,0,100000,0.316387484
EPL,100000,250000,0.47158715
EPL,250000,500000,0.725
EPL,500000,750000,0.775
EPL,750000,1000000,0.825
EPL,1000000,2000000,1
EPL,2000000,2500000,1.15
EPL,2500000,3000000,1.3
EPL,3000000,4000000,1.55
EPL,4000000,5000000,1.75
EPL,5000000,7500000,2.075
EPL,7500000,10000000,2.4
EPL,10000000,15000000,2.8
EPL,15000000,20000000,3.175
EPL,20000000,30000000,3.79
EPL,30000000,40000000,4.302061623
EPL,40000000,50000000,4.741225687
EPL,50000000,75000000,5.016199597
EPL,75000000,100000000,5.899790051
EPL,100000000,150000000,6.619572806
EPL,150000000,200000000,7.785593262
EPL,200000000,300000000,8.735446684
Media (Low),0,100000,0.6
Media (Low),100000,250000,0.675
Media (Low),250000,500000,0.8
Media (Low),500000,750000,0.9
Media (Low),750000,1000000,1
Media (Low),1000000,2000000,1.32
Media (Low),2000000,2500000,1.491
Media (Low),2500000,3000000,1.625
Media (Low),3000000,4000000,1.9
Media (Low),4000000,5000000,2.15
Media (Low),5000000,7500000,2.5725
Media (Low),7500000,10000000,2.935
Media (Low),10000000,15000000,3.525
Media (Low),15000000,20000000,4.432171197
Media (Low),20000000,30000000,5.423177926
Media (Low),30000000,40000000,6.157819928
Media (Low),40000000,50000000,6.892461931
Media (Low),50000000,75000000,7
Media (Low),75000000,100000000,8.178121331
Media (Low),100000000,150000000,9.23747278
Media (Low),150000000,200000000,10.96758481
Media (Low),200000000,300000000,12.3882689
Media (High),0,100000,0.55
Media (High),100000,250000,0.6188
Media (High),250000,500000,0.7333
Media (High),500000,750000,0.86665
Media (High),750000,1000000,1
Media (High),1000000,2000000,1.5907
Media (High),2000000,2500000,1.886
Media (High),2500000,3000000,2.0786
Media (High),3000000,4000000,2.4638
Media (High),4000000,5000000,2.849
Media (High),5000000,7500000,3.5611
Media (High),7500000,10000000,4.2934
Media (High),10000000,15000000,5.2621
Media (High),15000000,20000000,6.230769231
Media (High),20000000,30000000,7.623931624
Media (High),30000000,40000000,8.656695157
Media (High),40000000,50000000,9.689458689
Media (High),50000000,75000000,10.97851602
Media (High),75000000,100000000,13.51820147
Media (High),100000000,150000000,15.66899683
Media (High),150000000,200000000,19.29374203
Media (High),200000000,300000000,22.36344704
CAL - 1 Light And Medium Trucks (Group 1),0,100000,1
CAL - 1 Light And Medium Trucks (Group 1),100000,250000,1.2
CAL - 1 Light And Medium Trucks (Group 1),250000,500000,1.38
CAL - 1 Light And Medium Trucks (Group 1),500000,750000,1.49
CAL - 1 Light And Medium Trucks (Group 1),750000,1000000,1.58
CAL - 1 Light And Medium Trucks (Group 1),1000000,2000000,1.83
CAL - 1 Light And Medium Trucks (Group 1),2000000,2500000,1.91
CAL - 1 Light And Medium Trucks (Group 1),2500000,3000000,1.99
CAL - 1 Light And Medium Trucks (Group 1),3000000,4000000,2.109547264
CAL - 1 Light And Medium Trucks (Group 1),4000000,5000000,2.21
CAL - 1 Light And Medium Trucks (Group 1),5000000,7500000,2.4
CAL - 1 Light And Medium Trucks (Group 1),7500000,10000000,2.56
CAL - 1 Light And Medium Trucks (Group 1),10000000,15000000,2.762642147
CAL - 1 Light And Medium Trucks (Group 1),15000000,20000000,2.929674133
CAL - 1 Light And Medium Trucks (Group 1),20000000,30000000,3.182380135
CAL - 1 Light And Medium Trucks (Group 1),30000000,40000000,3.374789882
CAL - 1 Light And Medium Trucks (Group 1),40000000,50000000,3.532010218
CAL - 1 Light And Medium Trucks (Group 1),50000000,75000000,3.659149418
CAL - 1 Light And Medium Trucks (Group 1),75000000,100000000,3.949619409
CAL - 1 Light And Medium Trucks (Group 1),100000000,150000000,4.169590069
CAL - 1 Light And Medium Trucks (Group 1),150000000,200000000,4.500579775
CAL - 1 Light And Medium Trucks (Group 1),200000000,300000000,4.751235699
CAL - 2 Heavy Trucks And Trucktractors (Group 1),0,100000,1
CAL - 2 Heavy Trucks And Trucktractors (Group 1),100000,250000,1.25
CAL - 2 Heavy Trucks And Trucktractors (Group 1),250000,500000,1.5
CAL - 2 Heavy Trucks And Trucktractors (Group 1),500000,750000,1.67
CAL - 2 Heavy Trucks And Trucktractors (Group 1),750000,1000000,1.79
CAL - 2 Heavy Trucks And Trucktractors (Group 1),1000000,2000000,2.12
CAL - 2 Heavy Trucks And Trucktractors (Group 1),2000000,2500000,2.23
CAL - 2 Heavy Trucks And Trucktractors (Group 1),2500000,3000000,2.33
CAL - 2 Heavy Trucks And Trucktractors (Group 1),3000000,4000000,2.496319324
CAL - 2 Heavy Trucks And Trucktractors (Group 1),4000000,5000000,2.62
CAL - 2 Heavy Trucks And Trucktractors (Group 1),5000000,7500000,2.89
CAL - 2 Heavy Trucks And Trucktractors (Group 1),7500000,10000000,3.12
CAL - 2 Heavy Trucks And Trucktractors (Group 1),10000000,15000000,3.456291437
CAL - 2 Heavy Trucks And Trucktractors (Group 1),15000000,20000000,3.709938656
CAL - 2 Heavy Trucks And Trucktractors (Group 1),20000000,30000000,4.099353798
CAL - 2 Heavy Trucks And Trucktractors (Group 1),30000000,40000000,4.400193502
CAL - 2 Heavy Trucks And Trucktractors (Group 1),40000000,50000000,4.64866523
CAL - 2 Heavy Trucks And Trucktractors (Group 1),50000000,75000000,4.840246796
CAL - 2 Heavy Trucks And Trucktractors (Group 1),75000000,100000000,5.305038291
CAL - 2 Heavy Trucks And Trucktractors (Group 1),100000000,150000000,5.66163652
CAL - 2 Heavy Trucks And Trucktractors (Group 1),150000000,200000000,6.205303116
CAL - 2 Heavy Trucks And Trucktractors (Group 1),200000000,300000000,6.622416053
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 1),0,100000,1
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 1),100000,250000,1.25
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 1),250000,500000,1.47
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 1),500000,750000,1.62
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 1),750000,1000000,1.73
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 1),1000000,2000000,2.02
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 1),2000000,2500000,2.12
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 1),2500000,3000000,2.2
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 1),3000000,4000000,2.369426497
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 1),4000000,5000000,2.47
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 1),5000000,7500000,2.73
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 1),7500000,10000000,2.96
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 1),10000000,15000000,3.218068673
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 1),15000000,20000000,3.439794656
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 1),20000000,30000000,3.778480838
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 1),30000000,40000000,4.038819402
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 1),40000000,50000000,4.253044018
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 1),50000000,75000000,4.414353491
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 1),75000000,100000000,4.811453426
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 1),100000000,150000000,5.114680634
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 1),150000000,200000000,5.574779572
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 1),200000000,300000000,5.926113086
CAL - 4 Zone Rated Risks (Group 1),0,100000,1
CAL - 4 Zone Rated Risks (Group 1),100000,250000,1.32
CAL - 4 Zone Rated Risks (Group 1),250000,500000,1.64
CAL - 4 Zone Rated Risks (Group 1),500000,750000,1.86
CAL - 4 Zone Rated Risks (Group 1),750000,1000000,2.02
CAL - 4 Zone Rated Risks (Group 1),1000000,2000000,2.41
CAL - 4 Zone Rated Risks (Group 1),2000000,2500000,2.54
CAL - 4 Zone Rated Risks (Group 1),2500000,3000000,2.66
CAL - 4 Zone Rated Risks (Group 1),3000000,4000000,2.8679283
CAL - 4 Zone Rated Risks (Group 1),4000000,5000000,3.01
CAL - 4 Zone Rated Risks (Group 1),5000000,7500000,3.34
CAL - 4 Zone Rated Risks (Group 1),7500000,10000000,3.62
CAL - 4 Zone Rated Risks (Group 1),10000000,15000000,4.127876497
CAL - 4 Zone Rated Risks (Group 1),15000000,20000000,4.468380018
CAL - 4 Zone Rated Risks (Group 1),20000000,30000000,4.99651467
CAL - 4 Zone Rated Risks (Group 1),30000000,40000000,5.408671099
CAL - 4 Zone Rated Risks (Group 1),40000000,50000000,5.75163663
CAL - 4 Zone Rated Risks (Group 1),50000000,75000000,5.985050117
CAL - 4 Zone Rated Risks (Group 1),75000000,100000000,6.624839169
CAL - 4 Zone Rated Risks (Group 1),100000000,150000000,7.119838503
CAL - 4 Zone Rated Risks (Group 1),150000000,200000000,7.880934006
CAL - 4 Zone Rated Risks (Group 1),200000000,300000000,8.469787105
CAL - 5 All Other Risks (Group 1),0,100000,1
CAL - 5 All Other Risks (Group 1),100000,250000,1.19
CAL - 5 All Other Risks (Group 1),250000,500000,1.34
CAL - 5 All Other Risks (Group 1),500000,750000,1.44
CAL - 5 All Other Risks (Group 1),750000,1000000,1.51
CAL - 5 All Other Risks (Group 1),1000000,2000000,1.7
CAL - 5 All Other Risks (Group 1),2000000,2500000,1.76
CAL - 5 All Other Risks (Group 1),2500000,3000000,1.82
CAL - 5 All Other Risks (Group 1),3000000,4000000,1.907046181
CAL - 5 All Other Risks (Group 1),4000000,5000000,1.97
CAL - 5 All Other Risks (Group 1),5000000,7500000,2.11
CAL - 5 All Other Risks (Group 1),7500000,10000000,2.23
CAL - 5 All Other Risks (Group 1),10000000,15000000,2.392544963
CAL - 5 All Other Risks (Group 1),15000000,20000000,2.513613707
CAL - 5 All Other Risks (Group 1),20000000,30000000,2.694724078
