Band,GLM ModelRelativity,"""Mid""-point",Lower,Upper,SelectedRelativityLower,SelectedRelativityUpper
0-2,1.0,1,0,1,0.573919637743322,0.573919637743322
0-2,1.0,1,1,2.5,0.573919637743322,1.0
2-3,1.742404222187,2.5,2.5,4.26,1.0,1.59106478299465
>=3,2.77227799566293,4.26,4.26,1000,1.59106478299465,1.59106478299465
