Band,GLM ModelRelativity,"""Mid""-point",Lower,Upper,SelectedRelativityLower,SelectedRelativityUpper
<250k,1.0,125000,0,125000,1.0,1.0
<250k,1.0,125000,125000,2125000,1.0,1.16920620936713
250k-4m,1.16920620936713,2125000,2125000,6800000,1.16920620936713,1.82063762951186
4m+,1.82063762951186,6800000,6800000,1000000000,1.82063762951186,1.82063762951186
