Country,Factor,ILFBand,SideBSelectedDiscount,SideAProposed,Message,Message Adjust,EPL Factor
TURKEY,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
TURKMENISTAN,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
TURKS AND CAICOS ISLANDS,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
UGANDA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
UKRAINE,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
UNITED ARAB EMIRATES,1.0,Low,0.05,0.35,"In a public joint stock company (PJSC), a director's liability arising from fraud, abuse of power, violation of the law or articles of association and management cannot be limited. Responsibility falls on all directors if the fault is due to a decision taken unanimously. However, if the decision in question was issued by a majority, any objectors will not be held responsible if their objections were recorded in the minutes of the meeting.
In a limited liability company (LLC) the liability of managers cannot be restricted or limited under the memorandum of association. The manager or managers of an LLC are liable to the same extent as a director of a PJSC. However, members of the supervisory board of an LLC are not liable for the actions of managers unless they became aware of the default and failed to refer their report to the partners' general assembly.",If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 10% discount.,0.2
UNITED KINGDOM,1.0,Medium,0.05,-0.5,Indemnification is permitted in most instances except for proven fraud/dishonesty,If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 80% discount.,0.2
URUGUAY,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
USA,4.0,Very High,0.2,-0.5,Indemnification is permitted in most instances except for proven fraud/dishonesty,If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 80% discount.,0.2
UZBEKISTAN,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
