Country,Factor,ILFBand,SideBSelectedDiscount,SideAProposed,Message,Message Adjust,EPL Factor
CHILE,1.0,Low,0.05,0.0,Law unclear - No provisions in law prohibiting indemnifation ,If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 40% discount.,0.2
CHINA,2.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
COLOMBIA,1.0,Low,0.05,-0.5,"Companies can agree to indemnify D&O for damages,that are a consequence of legal or administrative 
actions for acts performed in their corporate capacity and  in good faith. No Indemnification can be claimed 
 when damages  are a consequence of the claimer’s willful misconduct or negligent 
acts. ",If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 60% discount.,0.2
COMOROS,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
CONGO BRAZZIVILLE,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
CONGO REPUBLIC,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
COOK ISLANDS,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
COSTA RICA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
CROATIA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
CUBA,4.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
CURACAO & ARUBA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
CYPRUS,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
CZECH REPUBLIC,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
DENMARK,1.0,Medium,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
DJIBOUTI,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
DOMINICAN REPUBLIC,1.0,Low,0.05,0.0,Law unlcear - No epress prohinition of indemnification ,If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 40% discount.,0.2
EAST TIMOR,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
ECUADOR,1.0,Low,0.05,-0.5," The company may (but is not obliged and the law does not provide for any obligation to) indemnify a director 
or officer for any costs incurred in relation to his defense and for any damages, judgments and settlements. 
In other words, companies may assume the costs involved but there is no legal obligation in this 
connection, but it is a question of ethical behavior in those cases where the officer has properly performed 
his duties. Past experience in Ecuador indicates that companies usually assume defense costs if suits are 
brought against directors or officers by reason of the performance of their duties",If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 60% discount.,0.2
EGYPT,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
EL SALVADOR,1.0,Low,0.05,0.0,Law unclear - No provisons in law prohibiting indemnifation ,If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 40% discount.,0.2
EQUITORIAL GUINEA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
ERITREA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
ESTONIA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
ETHIOPIA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
FIJI,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
FINLAND,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
FLORIDA,1.0,Low,0.05,-0.5,Indemnification is permitted in most instances except for proven fraud/dishonesty,If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 80% discount.,0.2
FRANCE,1.0,Medium,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.3
FRENCH GUIANA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
FRENCH POLYNESIANS,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
GABON,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
GEORGIA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
GERMANY,2.5,Medium,0.05,0.25,"Indemnification is permitted in most instances (afterwards, not in advance), but certain committees need to agree (for limited company 'Gesellschafterausschuss', for listed company shareholder meeting)",If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 15% discount.,0.3
GHANA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
GIBRALTAR,1.0,Medium,0.05,-0.5,Indemnification is permitted in most instances except for proven fraud/dishonesty,If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 80% discount.,0.2
GRAND CAYMAN,1.0,Low,0.05,-0.5,Indemnification is permitted in most instances except for proven fraud/dishonesty,If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 80% discount.,0.2
GREATER ANTILLES,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
GREECE,2.0,Low,0.05,0.0,"Indemnification is permitted in most instances with the exception of proven fraud/dishonesty, however it is not common.",If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 40% discount.,0.2
GREENLAND,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
GRENADA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
GUAM,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
GUATEMALA,1.0,Low,0.05,-0.5,"A company can indemnify a director for his/her defense costs as well as damages Such act, per se, is not forbidden from the commercial law point of view. ",If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 60% discount.,0.2
GUINEA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
GUINEA BISSAU,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
GUINIA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
GUYANA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
HAITI,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
HAWAII,1.0,Low,0.05,-0.5,Indemnification is permitted in most instances except for proven fraud/dishonesty,If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 80% discount.,0.2
HONDURAS,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
HONG KONG,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
HUNGARY,1.1,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
ICELAND,1.0,Medium,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
ILLONIS,1.0,Low,0.05,-0.5,Indemnification is permitted in most instances except for proven fraud/dishonesty,If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 80% discount.,0.2
INDIA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
INDONESIA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
IRAN,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
IRAQ,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
IRELAND,1.2,Medium,0.05,0.45,"The extent to which Irish companies can indemnify directors is limited. A company can only indemnify a director for:
Liability that does not involve negligence, default, breach of duty or breach of trust.
Costs incurred by a director in successfully defending criminal or civil proceedings against him/her.
Where the constitution of a company or a contract seeks to indemnify a director in relation to matters restricted by the Companies Act, the provisions will be void",If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to between -50 and +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 50% discount - not more than this as there is general prohibition.,0.2
ISLE OF MANN,1.0,Low,0.05,-0.5,Indemnification is permitted in most instances except for proven fraud/dishonesty,If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 80% discount.,0.2
ISRAEL,2.0,Medium,0.05,-0.2,"The Israeli law provides the opportunity to pierce the corporate veil in limited circumstances but requires recklessness - for listed entities it  is also worth asking for the exemption deeds granted by companies to their D&Os as a defence against derivative actions, this will  reduce Israeli claims noise on low layers and A-side",If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 35% discount.,0.2
ITALY,1.0,Medium,0.05,-0.2,"Indemnification is permitted in most instances with the exception of proven fraud/dishonesty, however not all companies have indemnification agreements in place.",If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 50% discount.,0.3
IVORY COAST,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
JAMAICA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
JAPAN,1.0,Medium,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
JAVA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
JEBEL ALI (DUBAI),1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
JORDAN,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
KANSAS,1.0,Low,0.05,-0.5,Indemnification is permitted in most instances except for proven fraud/dishonesty,If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 80% discount.,0.2
KAZAKHSTAN,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
KENYA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
KOSOVO,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
KUWAIT,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
KYRGYZ REPUBLIC,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
LAOS,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
LATVIA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
LEBANON,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
LEEWARD ISLANDS,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
LEICHTENSTEIN,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
LESOTHO,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
LESSER ANTILLES,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
LIBERIA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
LIBYA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
LITHUANIA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
LUXEMBOURG,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"Directors can have their potential liability insured with an insurance company. Such insurance contract is, in practice, often concluded by the company itself and covers the company’s regularly appointed directors. The insurance will cover the liability of directors towards the company and third parties as well as the liability resulting from a management fault, a violation of the Company Law or of the articles of association and from torts. However, as a general matter, insurance law disallows claims if the damage was caused by a serious mistake, such as gross negligence or a wilful act of the insured. Significant indemnification assumptions to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
MACAU,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
MACEDONIA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
MADAGASCAR,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
