Lag,Sector,Factor,Comment
0,1,1.41,requested by underwriting to reflect their appraisal of claims cuased by ipos (act 33) versus drug failings (Act 34)
1,1,1.25,0
2,1,1.15,0
3,1,1.1,0
4,1,1.0,removed year 4 onwards
5,1,1.0,0
