SIC,Sector_Desc,InternationalIndustry,SICClass,Directors & Officers (D&O),Any One Claim (AOC),Employer Practice Liability (EPL),Corporate Legal Liability (CLL),Crime,Pension Trustee Liability (PTL)
7536,RETAIL SERVICES,Automobiles,AUTOMOTIVE GLASS REPLACEMENT SHOPS,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Check Health and Safety,Outside,Within
7537,RETAIL SERVICES,Automobiles,AUTOMOTIVE TRANSMISSION REPAIR SHOPS,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Check Health and Safety,Outside,Within
7538,RETAIL SERVICES,Automobiles,GENERAL AUTOMOTIVE REPAIR SHOPS,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Check Health and Safety,Outside,Within
7539,RETAIL SERVICES,Automobiles,"AUTOMOTIVE REPAIR SHOPS, N.E.C.",Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Check Health and Safety,Outside,Within
7542,RETAIL SERVICES,Automobiles,CARWASHES,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Within,Outside,Within
7549,RETAIL SERVICES,Automobiles,"AUTOMOTIVE SERVICES, N.E.C.",Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Check Health and Safety,Outside,Within
5000,WHOLESALE,Automobiles,AUTOMOBILES AND OTHER MOTOR VEHICLES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5010,WHOLESALE,Automobiles,AUTOMOBILES AND OTHER MOTOR VEHICLES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5012,WHOLESALE,Automobiles,AUTOMOBILES AND OTHER MOTOR VEHICLES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5013,WHOLESALE,Automobiles,MOTOR VEHICLE SUPPLIES AND NEW PARTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5014,WHOLESALE,Automobiles,TIRES AND TUBES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5015,WHOLESALE,Automobiles,"MOTOR VEHICLE PARTS, USED",Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5020,WHOLESALE,Automobiles,AUTOMOBILES AND OTHER MOTOR VEHICLES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5030,WHOLESALE,Automobiles,AUTOMOBILES AND OTHER MOTOR VEHICLES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5040,WHOLESALE,Automobiles,AUTOMOBILES AND OTHER MOTOR VEHICLES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5070,WHOLESALE,Automobiles,AUTOMOBILES AND OTHER MOTOR VEHICLES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5080,WHOLESALE,Automobiles,AUTOMOBILES AND OTHER MOTOR VEHICLES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5090,WHOLESALE,Automobiles,AUTOMOBILES AND OTHER MOTOR VEHICLES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5110,WHOLESALE,Automobiles,AUTOMOBILES AND OTHER MOTOR VEHICLES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5130,WHOLESALE,Automobiles,AUTOMOBILES AND OTHER MOTOR VEHICLES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5140,WHOLESALE,Automobiles,AUTOMOBILES AND OTHER MOTOR VEHICLES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5150,WHOLESALE,Automobiles,AUTOMOBILES AND OTHER MOTOR VEHICLES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5160,WHOLESALE,Automobiles,AUTOMOBILES AND OTHER MOTOR VEHICLES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5180,WHOLESALE,Automobiles,AUTOMOBILES AND OTHER MOTOR VEHICLES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5190,WHOLESALE,Automobiles,AUTOMOBILES AND OTHER MOTOR VEHICLES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
6011,FINANCE / FINANCE,Banks - Commercial,FEDERAL RESERVE BANKS,Outside,Outside,Outside,Outside,Outside,Outside
6019,FINANCE / FINANCE,Banks - Commercial,"CENTRAL RESERVE DEPOSITORY, N.E.C.",Outside,Outside,Outside,Outside,Outside,Outside
6020,FINANCE / FINANCE,Banks - Commercial,FEDERAL RESERVE BANKS,Outside,Outside,Outside,Outside,Outside,Outside
6021,FINANCE / FINANCE,Banks - Commercial,NATIONAL COMMERCIAL BANKS,Outside,Outside,Outside,Outside,Outside,Outside
6022,FINANCE / FINANCE,Banks - Commercial,STATE COMMERCIAL BANKS,Outside,Outside,Outside,Outside,Outside,Outside
6029,FINANCE / FINANCE,Banks - Commercial,"COMMERCIAL BANKS, N.E.C.",Outside,Outside,Outside,Outside,Outside,Outside
6035,FINANCE / FINANCE,Banks - Commercial,FEDERAL SAVINGS INSTITUTIONS,Outside,Outside,Outside,Outside,Outside,Outside
6036,FINANCE / FINANCE,Banks - Commercial,"SAVINGS INSTITUTIONS, EXCEPT FEDERAL",Outside,Outside,Outside,Outside,Outside,Outside
6061,FINANCE / FINANCE,Banks - Commercial,FEDERAL CREDIT UNIONS,Outside,Outside,Outside,Outside,Outside,Outside
6062,FINANCE / FINANCE,Banks - Commercial,STATE CREDIT UNIONS,Outside,Outside,Outside,Outside,Outside,Outside
6081,FINANCE / FINANCE,Banks - Commercial,FOREIGN BANK & BRANCHES & AGENCIES,Outside,Outside,Outside,Outside,Outside,Outside
6082,FINANCE / FINANCE,Banks - Commercial,FOREIGN TRADE & INTERNATIONAL BANKS,Outside,Outside,Outside,Outside,Outside,Outside
6091,FINANCE / FINANCE,Banks - Commercial,NONDEPOSIT TRUST FACILITIES,Outside,Outside,Outside,Outside,Outside,Outside
6099,FINANCE / FINANCE,Banks - Commercial,FUNCTIONS RELATED TO DEPOSIT BANKING,Outside,Outside,Outside,Outside,Outside,Outside
6111,FINANCE / FINANCE,Banks - Commercial,FEDERAL & FEDERALLY-SPONSORED CREDIT,Outside,Outside,Outside,Outside,Outside,Outside
6162,FINANCE / FINANCE,Banks - Commercial,MORTGAGE BANKERS AND CORRESPONDENTS,Outside,Outside,Outside,Outside,Outside,Outside
6163,FINANCE / FINANCE,Banks - Commercial,LOAN BROKERS,Outside,Outside,Outside,Outside,Outside,Outside
6172,FINANCE / FINANCE,Banks - Commercial,FINANCE LESSORS,Outside,Outside,Outside,Outside,Outside,Outside
6189,FINANCE / FINANCE,Banks - Commercial,ASSET-BACKED SECURITIES,Outside,Outside,Outside,Outside,Outside,Outside
6199,FINANCE / FINANCE,Banks - Commercial,FINANCE STORES,Outside,Outside,Outside,Outside,Outside,Outside
6200,FINANCE / FINANCE,Banks - Commercial,FEDERAL RESERVE BANKS,Outside,Outside,Outside,Outside,Outside,Outside
6211,FINANCE / FINANCE,Banks - Commercial,SECURITY BROKERS AND DEALERS,Outside,Outside,Outside,Outside,Outside,Outside
6221,FINANCE / FINANCE,Banks - Commercial,"COMMODITY CONTRACTS BROKERS, DEALERS",Outside,Outside,Outside,Outside,Outside,Outside
6231,FINANCE / FINANCE,Banks - Commercial,SECURITY AND COMMODITY EXCHANGES,Outside,Outside,Outside,Outside,Outside,Outside
6282,FINANCE / FINANCE,Banks - Commercial,INVESTMENT ADVICE,Outside,Outside,Outside,Outside,Outside,Outside
6289,FINANCE / FINANCE,Banks - Commercial,"SECURITY AND COMMODITY SERVICES, N.E.C.",Outside,Outside,Outside,Outside,Outside,Outside
6141,CREDIT INSTITUTIONS,Banks - Thrifts & Mortgage,PERSONAL CREDIT INSTITUTIONS,Outside,Outside,Outside,Outside,Outside,Outside
6153,CREDIT INSTITUTIONS,Banks - Thrifts & Mortgage,SHORT-TERM BUSINESS CREDIT,Outside,Outside,Outside,Outside,Outside,Outside
6159,CREDIT INSTITUTIONS,Banks - Thrifts & Mortgage,MISC. BUSINESS CREDIT INSTITUTIONS,Outside,Outside,Outside,Outside,Outside,Outside
2082,MANUFACTURING (NON DURABLE) EXC APPAREL,Beverages,MALT BEVERAGES,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2084,MANUFACTURING (NON DURABLE) EXC APPAREL,Beverages,"WINES, BRANDY, AND BRANDY SPIRITS",Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2085,MANUFACTURING (NON DURABLE) EXC APPAREL,Beverages,DISTILLED AND BLENDED LIQUORS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2086,MANUFACTURING (NON DURABLE) EXC APPAREL,Beverages,BOTTLED AND CANNED SOFT DRINKGS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
5921,NON/DISCRETIONARY RETAIL SECTOR,Beverages,LIQUOR STORES,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Within,Outside,Within
5181,WHOLESALE,Beverages,BEER AND ALE,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
5182,WHOLESALE,Beverages,WINE AND DISTILLED BEVEREAGES,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
8734,VARIOUS SERVICES,Biotechnology,TESTING LABORATORIES,Within,Outside,Within,Check for services exposures,Outside,Within
5961,NON/DISCRETIONARY RETAIL SECTOR,Building Products,CATALOG AND MAIL-ORDER HOUSES,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
5033,WHOLESALE,Building Products,"ROOFING, SIDING, & INSULATION",Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2812,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,ALKALIES AND CHLORINE,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2813,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,INDUSTRIAL GASES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2816,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,INORGANIC PIGMENTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
