ParameterName,Value,Comment
a,0.0,0
b,0.5347,0
c,5.1621,0
3rdpartyshare,0.9,0
sd_1,1.2,Changed - fixed sigma for bands 1-4
sd_2,1.2,Changed - fixed sigma for bands 5-8
sd_3,1.2,Changed - fixed sigma for bands 9-12
MC1,375000000.0,0
MC2,7500000000.0,0
AvgScalingForRegDrv,0.9265,"factor  to correct final total SCA costs back to observed levels, after initially loading up for Reg, Derivative Costs"
DefenseDismissalSCA_si,1.0,sigma to give variation around defense cost mean on SCA dismissals
