Value
Acera
"ACM Courtage - Strasbourg, France"
Acura
ADD
AFRICA REINSURANCE CONSULTANTS LIMITED
Allia Insurance Brokers
ALSFORD PAGE AND GEMS
ALWIN HOUGH JOHNSON
Amwins
AON AUSTRIA
AON Belgium
AON Canada
Aon Czech Republic
AON Denmark
"Aon France, Paris - France"
AON GERMANY
Aon Italy
Aon Latvia
AON LTD
AON Luxembourg
AON Netherlands
AON PORTUGAL
Aon Slovakia
AON SPAIN
AON Sweden
AON Switzerland
Aon UK
Ardonagh
Arthur J Gallagher - Latam
ARTHUR J GALLAGHER - UK
Arthur J Gallagher Canada
ARTUS GRUPPE
"Ascoma France - Paris, France"
Assa Reinsurance Brokers
Assigeco
Assiteca
Assured Partners
ASTERRA PARTNERS
AUDIT & RISK SOLUTIONS
Axiom RFM
Axis Canada
BALLANTYNE MCKEAN & SULLIVAN LTD
Bartlett & Company Ltd
BARTLETTE GROUP LTD
BdB
BDB Belgium
BENFIELD LTD
"BESSE S.A. France - Nantes, France"
BFL Canada
BLANCH CRAWLEY WARREN  LTD
BMS GROUP
Bruzon Correduria
BUECHNERBARELLA
BUTCHER ROBINSON & STAPLES INTERNATIONAL LTD
C J COLEMAN & CO LTD
CAMCA
CARL JASPERS
CARL RIECK
CBC INSURANCE
"Cegeas  - Paris, France"
CHESTERFIELD INSURANCE BROKERS LTD (U/A)
CLEAR INSURANCE MANAGEMENT
Concordia NV
COOPER GAY & CO LTD
CPC
CRAVEN AND PARTNERS LTD
DEAS
Delamain Ogilby
"Delta Assurances - Marseille, France"
"Diot-Siaci France - Paris, France"
DR. AXE
DR. HOERTKORN
DR. IHLAS
DVA
ECCLESIA
Elmore
Europa Brokers
EUROPEAN BROKERS ASSOCIATION
F. REGO
"Filhet Allard France, Bordeaux - France"
Finaxy
FINLEX
FT Premium
Fuchs & Partner
FUNK
Funk Austria
Galiléo Courtage
GGW
GLENCAIRN LTD
GLENRAND LTD
GRECO
GROSVENOR BROKERS
GUEST KRIEGER LTD
GUY CARPENTER - LONDON
Haefeli & Schroeder
HEATH LAMBERT LTD
Hemelraad en Keijzer
HENDRICKS
Hillewaere Groep 
Howden Belgium
"Howden France, Paris, France"
HOWDEN GERMANY
HOWDEN INSURANCE BROKERS
Howden Italy
Howden Netherlands
Howden Spain
HUB Canada
HUMPREYS HAGGAS SUTTON & CO LTD
HVD
Induver Clover Group
Infinco
INHOUSE BROKER
Initiative & Risk Partners
Interproteccion - Mexico
JASPER
Jhasa Brokers 
JOHNSON AND HIGGINS
Kessler
KLEIST
KOEBERICH
Kroller Boom Assurantien
KROSE
LAMPE & SCHWARTZE
Latin Re
Leons
LEUE & NILL
LOCKTON INTERNATIONAL LTD
London Global
LONDON WALL INSURANCE SERVICES LIMITED
MANNING WILLIAMS LTD
MARINE AVIATION & GENERAL (LONDON) LTD
MARSH AUSTRIA
Marsh Belgium
Marsh Canada
Marsh Denmark
"Marsh France - Paris, France"
MARSH GERMANY
Marsh Italy
MARSH LTD FINPRO DIVISION
Marsh Luxembourg
Marsh Netherlands
MARSH PORTUGAL
Marsh Romania
MARSH SPAIN
Marsh Sweden
Marsh Switzerland
MARTENS & PRAHL
MCGILL AND PARTNERS
MDS REINSURANCE SOLUTIONS S.A.
Media Assurances
Meijers
MILLER INSURANCE SERVICES LIMITED
Momentum Reinsurance
MRH.TROWE
N.I.B/LEES PRESTON LTD
Navacord Canada
NEW DAWN
NFP Canada
NMB - NEWMAN MARTIN AND BUCHAN LIMITED
Nordwest Assekuranzmakler
Ofracar
One Global Broking
OSKAR SCHUNCK
OTHER
OXFORD INSURANCE BROKERS
PIB Group Iberia
PP BUSINESS PROTECTION 
PRENTIS DONEGAN & PARTNERS LTD
PRIME INTERNATIONAL – UK
PROTEAN RISK
Purves Redmond
Rabo Assurantie Makelaardij
Raetsheren van Orden
RATTNER MACKENZIE LTD
REINSURANCE SOLUTIONS (MAURITIUS) LTD
Renomia Czech Republic
Renomia Latvia
Renomia Romania
RibeSalat
Risk Partners
ROBERT SCHUELER
Roederer
Sabseg Group
"Satec France - Paris, France"
Schuster Versicherungsmakler
"Servyr France - Paris, France"
"Sol Mondo, Paris - France"
Special Division - Argentina
Specialist Risk Group
SR INTERNATIONAL
Staple Hall Underwriting
Strategica
SUEDVERS
SVV
SWINGLEHURST TREW & PARTNERS
THEOREME
Thuega Assekuranz Munchen
Tower
TYSER & CO
UIB Group
ura
Van Dessel Insurance Brokers
Van Lanschot Chabot
Vanbreda Belgium
Vanbreda Netherlands
Vanbreda Risks & Benefits
Vercon
Verlingue France
Verspieren France
WAFF Spain
WILLIS LONDON
WTW Belgium
WTW Canada
WTW Denmark
WTW France
WTW GERMANY
WTW Italy
WTW Latam
WTW London
WTW Luxembourg
WTW Netherlands
WTW Portugal
WTW Spain
WTW Sweden
WTW Switzerland
ABD - UK
ALEXANDER FORBES RISK SERVICES UK LTD
BESSO
ED BROKING
EUROASSEKURANZ
FIRST CITY
GAWS
INTEGRO INSURANCE BROKERS LTD - LONDON
JLT
MILES SMITH PLC
PARAGON INTERNATIONAL INSURANCE BROKERS LTD
PRICE FORBES LTD
R K HARRISON INSURANCE BROKERS LTD
RFIB GROUP LIMITED
RIB
THB
