MarketCap_Lo,MarketCap_Hi,ILF_Lo,ILF_Hi
0,25000000,0.4,0.4
25000000,50000000,0.4,0.44
50000000,100000000,0.44,0.49
100000000,250000000,0.49,0.57
250000000,500000000,0.57,0.66
500000000,1000000000,0.66,0.67
1000000000,2500000000,0.67,0.68
2500000000,5000000000,0.68,0.7
5000000000,10000000000,0.7,0.7
10000000000,300000000000000,0.7,0.7
